ida_ea	name	gate	result	session	date	source_ref	detail
0x007D58E0	??0cdSimplePrelitShaderMat@@QAE@PAUnglTexture@@@Z	V3	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D58E0; src/render/cdSimplePrelitShader.cpp:98-119	Real body stores the texture, checks the shader global, sets the assert context, and binds the shader pointer.
0x007D58E0	??0cdSimplePrelitShaderMat@@QAE@PAUnglTexture@@@Z	V4	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D58E0; src/render/cdSimplePrelitShader.cpp:98-119	Release assert-ignore and assert-break paths, message, line, and final shader assignment match source.
0x007D5970	?InitCDSimplePrelitShader@@YAXXZ	V3	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D5970; src/render/cdSimplePrelitShader.cpp:122-138	Release allocation, init-list linkage, disabled flag, shader-switch bit clear, and global assignment are implemented in the port.
0x007D5970	?InitCDSimplePrelitShader@@YAXXZ	V4	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D5970; src/render/cdSimplePrelitShader.cpp:122-138	Release allocates 0x10 bytes, links the object, clears bit 5, and handles allocation failure identically; placement construction preserves the release object initialization.
0x007D59C0	?ToggleCDSimplePrelitShader@@YAXXZ	V3	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D59C0; src/render/cdSimplePrelitShader.cpp:143-148	Real body toggles the shared ShaderSwitching bit 5.
0x007D59C0	?ToggleCDSimplePrelitShader@@YAXXZ	V4	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D59C0; src/render/cdSimplePrelitShader.cpp:143-148	Release bitwise toggle expression and byte store match source.
0x007D59E0	?Register@cdSimplePrelitShader@@UAEXXZ	V3	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D59E0; src/render/cdSimplePrelitShader.cpp:156-164	Real body performs base registration followed by direct vertex and pixel registration using restored tables.
0x007D59E0	?Register@cdSimplePrelitShader@@UAEXXZ	V4	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D59E0; src/render/cdSimplePrelitShader.cpp:156-164	Release registration order, table indices, direct exports, and handle destinations match source.
0x007D5A10	?AddNode@cdSimplePrelitShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V3	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D5A10; src/render/cdSimplePrelitShader.cpp:166-182	Real body gates on bit 5, allocates and initializes the 0x18-byte node, links it to the opaque list, and increments the count.
0x007D5A10	?AddNode@cdSimplePrelitShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V4	PASS	ida-manual-cd-simple-prelit-20260830	2026-08-30	IDA decompile 0x007D5A10; src/render/cdSimplePrelitShader.cpp:166-182	Release gate, allocation/alignment, node field offsets, shader ID/list linkage, and count update match source.
