ida_ea	name	gate	result	session	date	source_ref	detail
0x007D68C0	??0cdSimpleShader@@QAE@XZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D68C0; src/render/cdSimpleShader.cpp:25-31	Shader constructor has real init-list linkage, Disabled initialization, and shared-bit clear.
0x007D68C0	??0cdSimpleShader@@QAE@XZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D68C0; src/render/cdSimpleShader.cpp:25-31	Release next/head, Disabled, and bit-clear stores match source.
0x007D68F0	?GetName@cdSimpleShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D68F0; src/render/cdSimpleShader.cpp:160-162	Real body constructs the fixed-string shader name.
0x007D68F0	?GetName@cdSimpleShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D68F0; src/render/cdSimpleShader.cpp:160-162	Release returns tlFixedString("cdSimple"), matching source.
0x007D6940	?GetVShader@cdSimpleRender@@YAKI@Z	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6940; src/render/cdSimpleShader.cpp:337-339	Real body returns the indexed vertex shader handle.
0x007D6940	?GetVShader@cdSimpleRender@@YAKI@Z	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6940; src/render/cdSimpleShader.cpp:337-339	Release indexed VS return matches source.
0x007D6950	?RegisterPShader@cdSimplePixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6950; src/render/cdSimpleShader.cpp:332-335	Real body registers the simple pixel shader.
0x007D6950	?RegisterPShader@cdSimplePixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6950; src/render/cdSimpleShader.cpp:332-335	Release destination and table entry match source.
0x007D6970	?GetPShader@cdSimplePixel@@YAPAKXZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6970; src/render/cdSimpleShader.cpp:338-340	Real body returns the simple pixel shader handle.
0x007D6970	?GetPShader@cdSimplePixel@@YAPAKXZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6970; src/render/cdSimpleShader.cpp:338-340	Release indexed PS return matches source.
0x007D6980	?RegisterPShader@cdSimpleFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6980; src/render/cdSimpleShader.cpp:343-346	Real body registers the fullbright pixel shader.
0x007D6980	?RegisterPShader@cdSimpleFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D6980; src/render/cdSimpleShader.cpp:343-346	Release destination and table entry match source.
0x007D69A0	?GetPShader@cdSimpleFullbrightPixel@@YAPAKXZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D69A0; src/render/cdSimpleShader.cpp:349-351	Real body returns the fullbright pixel shader handle.
0x007D69A0	?GetPShader@cdSimpleFullbrightPixel@@YAPAKXZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D69A0; src/render/cdSimpleShader.cpp:349-351	Release indexed PS return matches source.
0x007D69E0	??1cdSimpleShader@@UAE@XZ	V3	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D69E0; src/render/cdSimpleShader.cpp:32	Real shader destructor is present through the tlInitList base teardown.
0x007D69E0	??1cdSimpleShader@@UAE@XZ	V4	PASS	ida-manual-cd-simple-20260830	2026-08-30	IDA decompile 0x007D69E0; src/render/cdSimpleShader.cpp:32	Release resets the vtable to tlInitList; defaulted destructor emits the same base teardown.
