ida_ea	name	gate	result	session	date	source_ref	detail
0x007C7820	??0cdSimpleUVAnimShader@@QAE@XZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7820; src/render/cdSimpleUVAnimShader.cpp:108-114	Shader constructor has real init-list linkage, Disabled initialization, and shared-bit clear.
0x007C7820	??0cdSimpleUVAnimShader@@QAE@XZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7820; src/render/cdSimpleUVAnimShader.cpp:108-114	Release next/head, Disabled, and bit-clear stores match source.
0x007C7850	?GetName@cdSimpleUVAnimShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7850; src/render/cdSimpleUVAnimShader.cpp:168	Real body constructs the fixed-string shader name.
0x007C7850	?GetName@cdSimpleUVAnimShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7850; src/render/cdSimpleUVAnimShader.cpp:168	Release returns tlFixedString("cdSimpleUVAnim"), matching source.
0x007C7890	?RegisterShader@cdSimpleUVAnimRender@@YAXXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7890; src/render/cdSimpleUVAnimShader.cpp:46-51	Real body registers the vertex shader and stores its handle.
0x007C7890	?RegisterShader@cdSimpleUVAnimRender@@YAXXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7890; src/render/cdSimpleUVAnimShader.cpp:46-51	Release destination, table entry, and handle store match source.
0x007C78D0	?GetVShader@cdSimpleUVAnimRender@@YAKXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C78D0; src/render/cdSimpleUVAnimShader.cpp:54-56	Real body returns the vertex shader handle.
0x007C78D0	?GetVShader@cdSimpleUVAnimRender@@YAKXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C78D0; src/render/cdSimpleUVAnimShader.cpp:54-56	Release indexed handle return matches source.
0x007C78E0	?RegisterShader@cdSimpleUVAnimPixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C78E0; src/render/cdSimpleUVAnimShader.cpp:65-70	Real body registers the pixel shader and stores its handle.
0x007C78E0	?RegisterShader@cdSimpleUVAnimPixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C78E0; src/render/cdSimpleUVAnimShader.cpp:65-70	Release destination, table entry, and handle store match source.
0x007C7900	?RegisterPShader@cdSimpleUVAnimPixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7900; src/render/cdSimpleUVAnimShader.cpp:73	Real body registers the pixel shader and stores its handle.
0x007C7900	?RegisterPShader@cdSimpleUVAnimPixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7900; src/render/cdSimpleUVAnimShader.cpp:73	Release call and handle store match source helper delegation.
0x007C7920	?GetPShader@cdSimpleUVAnimPixel@@YAPAKXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7920; src/render/cdSimpleUVAnimShader.cpp:76	Real body returns the pixel shader handle.
0x007C7920	?GetPShader@cdSimpleUVAnimPixel@@YAPAKXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7920; src/render/cdSimpleUVAnimShader.cpp:76	Release indexed handle return matches source.
0x007C7930	?RegisterShader@cdSimpleUVAnimFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7930; src/render/cdSimpleUVAnimShader.cpp:79-84	Real body registers the fullbright pixel shader and stores its handle.
0x007C7930	?RegisterShader@cdSimpleUVAnimFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7930; src/render/cdSimpleUVAnimShader.cpp:79-84	Release destination, table entry, and handle store match source.
0x007C7950	?RegisterPShader@cdSimpleUVAnimFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7950; src/render/cdSimpleUVAnimShader.cpp:87-89	Real body registers the fullbright pixel shader and stores its handle.
0x007C7950	?RegisterPShader@cdSimpleUVAnimFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7950; src/render/cdSimpleUVAnimShader.cpp:87-89	Release call and handle store match source helper delegation.
0x007C7970	?GetPShader@cdSimpleUVAnimFullbrightPixel@@YAPAKXZ	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7970; src/render/cdSimpleUVAnimShader.cpp:92-94	Real body returns the fullbright pixel shader handle.
0x007C7970	?GetPShader@cdSimpleUVAnimFullbrightPixel@@YAPAKXZ	V4	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7970; src/render/cdSimpleUVAnimShader.cpp:92-94	Release indexed handle return matches source.
0x007C7A70	??0cdSimpleUVAnimShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimpleUVAnimShaderMat@@@Z	V3	PASS	ida-manual-cd-simple-uv-20260830	2026-08-30	IDA decompile 0x007C7A70; src/render/cdSimpleUVAnimShader.cpp:184-190	Node constructor has real MeshNode, Section, and material initialization.
