ida_ea	name	gate	result	session	date	source_ref	detail
0x004DD8C0	??1nalHeap@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:929	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (nalHeap::~nalHeap); no user logic is omitted.
0x004E5D40	??1DestructibleBankManager@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:12870	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (DestructibleBankManager::~DestructibleBankManager); no user logic is omitted.
0x004E5E70	??1PhysDataBankManager@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:12809	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (PhysDataBankManager::~PhysDataBankManager); no user logic is omitted.
0x004E5FD0	??1DbTablesetMgr@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:2503	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (DbTablesetMgr::~DbTablesetMgr); no user logic is omitted.
0x004BB5C0	?jobqueue_restart@@YAXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BB5C0;src/game/core/sys.cpp:130	IDA release decompiles the entry point as an empty body; source preserves the integer restart ABI and no-op behavior.
0x004BB5C0	?jobqueue_restart@@YAXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BB5C0	Release and source both contain no state-changing instructions.
0x004BC8C0	?FS_PureServerSetLoadedPaks@@YAXPBD0@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BC8C0;src/game/core/files.cpp:1086	IDA release decompiles the entry point as an empty body; source preserves the two-string ABI and no-op behavior.
0x004BC8C0	?FS_PureServerSetLoadedPaks@@YAXPBD0@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BC8C0	Release and source both contain no state-changing instructions.
0x004BC8D0	?FS_PureServerSetReferencedPaks@@YAXPBD0@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BC8D0;src/game/core/files.cpp:1093	IDA release decompiles the entry point as an empty body; source preserves the two-string ABI and no-op behavior.
0x004BC8D0	?FS_PureServerSetReferencedPaks@@YAXPBD0@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004BC8D0	Release and source both contain no state-changing instructions.
0x004DF340	?AdjustEffect_Scale@AbstractEffectLight@@UAEXPBDM@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004DF340;src/game/core/effect_events.cpp:3075	IDA release decompiles the entry point as an empty body; source preserves the const-string/float ABI and no-op behavior.
0x004DF340	?AdjustEffect_Scale@AbstractEffectLight@@UAEXPBDM@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x004DF340	Release and source both contain no state-changing instructions.
