ida_ea	name	gate	result	session	date	source_ref	detail
0x004835F0	?TossClientItems@@YAXPAVEntity@@@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_main.cpp:2630	Body is non-empty and uses the returned dropped-item handle.
0x004835F0	?TossClientItems@@YAXPAVEntity@@@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1003102	Release call sequence matches, including the three-argument RegisterDroppedItem return overload and handle value passed to DropWeapon.
0x005BC810	?SquareRootX@BrocSys@@YAMM@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_scr.cpp:3426	Non-empty body returns the square root of its input.
0x005BC810	?SquareRootX@BrocSys@@YAMM@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1177582	Release and source have the same single square-root operation and return; the decompiler emits a wider floating return while the map/source ABI is float.
0x005BC820	?ModXY@BrocSys@@YAHHH@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_scr.cpp:3079	Non-empty body returns integer remainder.
0x005BC820	?ModXY@BrocSys@@YAHHH@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1177588	Release and source both return x modulo y with no additional control flow.
0x005BC830	?FModXY@BrocSys@@YAMMM@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_scr.cpp:3085	Non-empty body returns floating-point remainder.
0x005BC830	?FModXY@BrocSys@@YAMMM@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1177594	Release and source both perform the floating modulo operation and return; the decompiler emits a wider floating return while the map/source ABI is float.
0x005BC840	?atoff@BrocSys@@YAMPBD@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_scr.cpp:2289	Non-empty body converts the supplied string to a float.
0x005BC840	?atoff@BrocSys@@YAMPBD@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1177600	Release and source both call the C string-to-floating conversion and return the float result.
0x00448B70	?RenderResources@MemGraph@@YAXXZ	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_main.cpp:149	Source body is an intentional empty release hook with the complete ABI.
0x00448B70	?RenderResources@MemGraph@@YAXXZ	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x00448B70	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x00448B80	?Init@DObjHandleDb@@QAEXXZ	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/render/tr_dobj2.cpp:303	Source body is an intentional empty release hook with the complete thiscall ABI.
0x00448B80	?Init@DObjHandleDb@@QAEXXZ	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x00448B80	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x00448E40	?G_RunClient@@YAXPAVEntity@@@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_client.cpp:476	Source body is an intentional empty release hook with the complete entity-pointer ABI.
0x00448E40	?G_RunClient@@YAXPAVEntity@@@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x00448E40	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x00449F50	?respawn@@YAXPAVEntity@@@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_client.cpp:464	Source body is an intentional empty release hook with the complete entity-pointer ABI.
0x00449F50	?respawn@@YAXPAVEntity@@@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x00449F50	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x0044A230	?G_UpdateInvalidatedNode@@YAXPAVEntity@@@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_dobj.cpp:135	Source body is an intentional empty release hook with the complete entity-pointer ABI.
0x0044A230	?G_UpdateInvalidatedNode@@YAXPAVEntity@@@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x0044A230	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x0044AB20	?Cmd_ProfileNodes_f@@YAXXZ	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_main.cpp:246	Source body is an intentional empty release hook with the complete ABI.
0x0044AB20	?Cmd_ProfileNodes_f@@YAXXZ	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x0044AB20	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x0044AE30	?Cmd_Thread_Debug_f@@YAXXZ	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_main.cpp:299	Source body is an intentional empty release hook with the complete ABI.
0x0044AE30	?Cmd_Thread_Debug_f@@YAXXZ	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x0044AE30	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x004A55C0	??0Dir3@math@@QAE@XZ	V3	PASS	manual-equivalence-20260827	2026-08-27	src/game/logic/g_accessors.cpp:706	Default Dir3 construction has no user body and only preserves the release object ABI.
0x004A55C0	??0Dir3@math@@QAE@XZ	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A55C0	Release decompiles to the constructor returning this without writes; source is the equivalent empty constructor.
0x004A55D0	??0Dir3@math@@QAE@MMM@Z	V3	PASS	manual-equivalence-20260827	2026-08-27	src/game/logic/g_accessors.cpp:710	Constructor writes the three supplied coordinates and clears the SIMD padding lane.
0x004A55D0	??0Dir3@math@@QAE@MMM@Z	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A55D0	Release stores x/y/z into the packed vector and returns this; source performs the same coordinate initialization.
0x004A5640	??0Dir3@math@@QAE@M@Z	V3	PASS	manual-equivalence-20260827	2026-08-27	src/game/logic/g_accessors.cpp:718	Scalar constructor broadcasts its argument into x/y/z and clears the padding lane.
0x004A5640	??0Dir3@math@@QAE@M@Z	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A5640	Release broadcasts the scalar to all three coordinates; source has the same resulting vector state.
0x004A56A0	?GetZ@Dir3@math@@QBEMXZ	V3	PASS	manual-equivalence-20260827	2026-08-27	src/game/logic/g_accessors.cpp:731	Accessor returns the packed z component.
0x004A56A0	?GetZ@Dir3@math@@QBEMXZ	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A56A0	Release uses the z-lane shuffle; source uses the equivalent SIMD z extraction.
0x004A56F0	?SetZ@Dir3@math@@QAEXM@Z	V3	PASS	manual-equivalence-20260827	2026-08-27	src/game/logic/g_accessors.cpp:746	Setter replaces only the packed z component.
0x004A56F0	?SetZ@Dir3@math@@QAEXM@Z	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A56F0	Release preserves x/y and inserts the supplied z value; source uses the matching shuffle sequence.
0x004A5790	??0Position3@math@@QAE@XZ	V3	PASS	manual-equivalence-20260827	2026-08-27	src/core/math_types.h:118	Default Position3 construction has an intentionally empty body.
0x004A5790	??0Position3@math@@QAE@XZ	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A5790	Release constructor returns this without writes; source preserves the same default-construction semantics.
0x004A5A90	??0Vector4@math@@QAE@XZ	V3	PASS	manual-equivalence-20260827	2026-08-27	src/core/math_types.h:279	Default Vector4 construction has an intentionally empty body.
0x004A5A90	??0Vector4@math@@QAE@XZ	V4	PASS	manual-equivalence-20260827	2026-08-27	IDA:0x004A5A90	Release constructor returns this without writes; source preserves the same default-construction semantics.
0x0044AF10	?handleDeathInvulnerability@@YAXPAVEntity@@HH@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_combat.cpp:84	Source body is an intentional empty release hook with the complete entity/int/int ABI.
0x0044AF10	?handleDeathInvulnerability@@YAXPAVEntity@@HH@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x0044AF10	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
0x0044B120	?HudElem_UpdateClient@@YAXPAUClient@@H@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_hudelem.cpp:25	Source body is an intentional empty release hook with the complete client/int ABI.
0x0044B120	?HudElem_UpdateClient@@YAXPAUClient@@H@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	IDA:0x0044B120	IDA decompiles the release function as a one-byte empty body; source preserves the same no-op behavior.
