ida_ea	name	gate	result	session	date	source_ref	detail
0x0044B0F0	?HudElem_Alloc@@YAPAUgame_hudelem_s@@XZ	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:10	Real HUD allocator scans the 16-element pool, selects HE_TYPE_FREE, applies defaults, and returns null when full.
0x0044B0F0	?HudElem_Alloc@@YAPAUgame_hudelem_s@@XZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0044B0F0;src/game/logic/g_hudelem.cpp:10	Release and source both scan g_hudelems[0..15], call HudElem_SetDefaults on the selected slot, and return nullptr after the bound check.
0x0044B120	?HudElem_UpdateClient@@YAXPAUClient@@H@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:20	Intentional exported no-op; source preserves the ABI and has no state-changing body.
0x0044B120	?HudElem_UpdateClient@@YAXPAUClient@@H@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0044B120;src/game/logic/g_hudelem.cpp:20	Release decompiles to an empty body and source is the same no-state-change contract.
0x0044CDE0	?Scr_ConstructMessageString@@YAXHPADHW4conMsgType_t@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:28	Dead-code assertion path initializes AeAssert context and conditionally breaks, matching the release contract.
0x0044CDE0	?Scr_ConstructMessageString@@YAXHPADHW4conMsgType_t@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0044CDE0;src/game/logic/g_hudelem.cpp:28	Release and source set the same file/line/expression and invoke IsIgnored/Assert before __debugbreak.
0x0044CE30	?Scr_LocalizationError@@YAXHPBD@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:41	Localization error forwards its index and message to Scr_ParamError.
0x0044CE30	?Scr_LocalizationError@@YAXHPBD@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0044CE30;src/game/logic/g_hudelem.cpp:41	Release and source both make the single Scr_ParamError call with unchanged arguments.
0x0044FF20	?G_SetEntityScriptVariable@@YAXPBD0PAVEntity@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:47	Intentional multiplayer export no-op; source consumes parameters and changes no state.
0x0044FF20	?G_SetEntityScriptVariable@@YAXPBD0PAVEntity@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0044FF20;src/game/logic/g_hudelem.cpp:47	Release body is empty and source preserves the same no-op ABI.
0x004504C0	?Scr_FreeHudElem@@YAXPAUgame_hudelem_s@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:57	Intentional script export no-op; HUD lifetime is handled by HudElem_Free.
0x004504C0	?Scr_FreeHudElem@@YAXPAUgame_hudelem_s@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x004504C0;src/game/logic/g_hudelem.cpp:57	Release body is empty and source preserves the same no-op ABI.
0x004504D0	?Scr_AddHudElem@@YAXPAUgame_hudelem_s@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:64	Intentional script export no-op; no secondary HUD list is maintained.
0x004504D0	?Scr_AddHudElem@@YAXPAUgame_hudelem_s@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x004504D0;src/game/logic/g_hudelem.cpp:64	Release body is empty and source preserves the same no-op ABI.
0x00457610	?HudElem_Free@@YAXPAUgame_hudelem_s@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:72	Free path validates null, pool range, and HUD type before marking the element free; threshold matches release's HE_TYPE_COUNT|HE_TYPE_TIMER_UP.
0x00457610	?HudElem_Free@@YAXPAUgame_hudelem_s@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00457610;src/game/logic/g_hudelem.cpp:72	Release and source match all three assert contexts, type threshold, and final HE_TYPE_FREE assignment.
0x00457720	?HudElem_DestroyAll@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/game/logic/g_hudelem.cpp:111	Destroy-all iterates all 16 slots, frees non-free entries, then clears the complete pool.
0x00457720	?HudElem_DestroyAll@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00457720;src/game/logic/g_hudelem.cpp:111	Release and source match the 16-entry loop, conditional HudElem_Free call, and final memset.
