ida_ea	name	gate	result	session	date	source_ref	detail
0x004F64C0	?ApplyLadderClimb@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	PASS	release-nullsub-review-20260826	2026-08-26	IDA MCP decompile 0x004F64C0	Release is a nullsub; empty source body is intentional.
0x004F64C0	?ApplyLadderClimb@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V4	PASS	release-nullsub-review-20260826	2026-08-26	IDA MCP decompile 0x004F64C0	Release is a nullsub; source body matches.
0x004FB510	?ApplyFootIK@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1065293	Source body is empty; release body is real.
0x004FBD10	?ApplyHandIK@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1065582	Source body is empty; release body is real.
0x004FCA40	?ApplyPainFlinch@AnimIK@@AAEXPAVEntity@@@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1066051	Source body is empty; release body is real.
0x004FDDC0	?ApplyTorsoRotations@AnimIK@@AAEXPAVEntity@@@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1066742	Source body is empty; release body is real.
0x004FFC30	?ApplyFire@AnimIK@@AAEXPAVEntity@@@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1068193	Source body is empty; release body is real.
0x00504C90	?ApplyVehicleSteering@AnimIK@@AAEXPAVEntity@@@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1071109	Source body is empty; release body is real.
0x005068F0	?ApplyADS@AnimIK@@AAEXPAVEntity@@@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1072043	Source body is empty; release body is real.
0x00507EC0	?ApplyTerrainMapping@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	FAIL	release-stub-audit-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1072768	Source body is empty; release body is real.
0x004FB510	?ApplyFootIK@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1130	Body is non-empty and calls the release-backed two-bone IK helper; V4 remains unverified.
0x004FBD10	?ApplyHandIK@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1141	Body is non-empty and calls the release-backed two-bone IK helper; V4 remains unverified.
0x004FCA40	?ApplyPainFlinch@AnimIK@@AAEXPAVEntity@@@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1196	Body is non-empty and processes pain events; release equivalence is not asserted.
0x004FDDC0	?ApplyTorsoRotations@AnimIK@@AAEXPAVEntity@@@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1239	Body is non-empty and applies torso rotations; release equivalence is not asserted.
0x004FFC30	?ApplyFire@AnimIK@@AAEXPAVEntity@@@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1277	Body is non-empty and processes fire events; release equivalence is not asserted.
0x00504C90	?ApplyVehicleSteering@AnimIK@@AAEXPAVEntity@@@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1357	Body is non-empty and processes seated vehicle steering; release equivalence is not asserted.
0x005068F0	?ApplyADS@AnimIK@@AAEXPAVEntity@@@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1433	Body is non-empty and processes ADS state; release equivalence is not asserted.
0x00507EC0	?ApplyTerrainMapping@AnimIK@@AAEXPAVEntity@@AAVnalMatrix4x4@@1@Z	V3	PASS	manual-v3-body-review-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:1447	Body is non-empty and processes terrain traces; release equivalence is not asserted.
0x004F6340	?WeaponRecoilTimeScale@AnimIK@@AAEMMMM@Z	V3	PASS	manual-equivalence-20260826	2026-08-26	src/game/logic/g_game2_misc.cpp:913	Non-empty body matches the release implementation.
0x004F6340	?WeaponRecoilTimeScale@AnimIK@@AAEMMMM@Z	V4	PASS	manual-equivalence-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:1061853	Control flow, constants, and named release locals match; the release decompiler emits a double return while the map/source ABI is float.
