ida_ea	name	gate	result	session	date	source_ref	detail
0x00C94E90	?BrocAnimInitialize@mp_level@@YAXXZ	V3	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222293	Release body is a nullsub; empty source body is intentional.
0x00C94E90	?BrocAnimInitialize@mp_level@@YAXXZ	V4	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222293	Release body is a nullsub; source body matches.
0x00C94EB0	?BrocAnimCleanup@mp_level@@YAXXZ	V3	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222299	Release body is a nullsub; empty source body is intentional.
0x00C94EB0	?BrocAnimCleanup@mp_level@@YAXXZ	V4	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222299	Release body is a nullsub; source body matches.
0x00C94F60	?BrocAnimDebug@mp_level@@YAXVentity@Broc@@@Z	V3	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222327	Release body is a nullsub; empty source body is intentional.
0x00C94F60	?BrocAnimDebug@mp_level@@YAXVentity@Broc@@@Z	V4	PASS	release-nullsub-review-20260826	2026-08-26	c3_bin/codmp_xboxr.xbe.c:2222327	Release body is a nullsub; source body matches.
0x00C95CC0	?InitScript@mp_level@@YAP6AXXZPAPAUBrocAPI@@AAUBrocExports@@@Z	V3	PASS	direct-release-api-layout-20260827	2026-08-27	src/broc/mp_level.cpp:665	Source installs the release Broc API pointer, validates the 4924/456 sizes, wires the animation hooks, and returns the internal entry point.
0x00C95CC0	?InitScript@mp_level@@YAP6AXXZPAPAUBrocAPI@@AAUBrocExports@@@Z	V4	PASS	direct-release-api-layout-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c:2222605	Release sequence is exports.mInit, gamesAPIptr assignment, kill-thread clear, size validation, helper initialization, and hook registration; source matches.
0x00C94E90	?BrocAnimInitialize@mp_level@@YAXXZ	V3	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimInitialize body is an intentional release no-op.
0x00C94E90	?BrocAnimInitialize@mp_level@@YAXXZ	V4	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimInitialize body is an intentional release no-op.
0x00C94EB0	?BrocAnimCleanup@mp_level@@YAXXZ	V3	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimCleanup body is an intentional release no-op.
0x00C94EB0	?BrocAnimCleanup@mp_level@@YAXXZ	V4	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimCleanup body is an intentional release no-op.
0x00C94F60	?BrocAnimDebug@mp_level@@YAXVentity@Broc@@@Z	V3	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimDebug body is an intentional release no-op.
0x00C94F60	?BrocAnimDebug@mp_level@@YAXVentity@Broc@@@Z	V4	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source BrocAnimDebug body is an intentional release no-op.
