ida_ea	name	gate	result	session	date	source_ref	detail
0x008730C0	?GetVersion@nalBaseSkeleton@@QBEIXZ	V3	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x008730C0; src/animation/nal.cpp:713	Real body returns the instance Version field.
0x008730C0	?GetVersion@nalBaseSkeleton@@QBEIXZ	V4	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	IDA decompile 0x008730C0 and src/animation/nal.cpp:713-716	Release field load and return match source.
0x00873350	?nalReleaseSkeleton@@YAHPAVnalBaseSkeleton@@@Z	V3	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x00873350; src/animation/nal.cpp:4036	Real body forwards the skeleton to nalSkeletonDirectory->Release with zero flags.
0x00873350	?nalReleaseSkeleton@@YAHPAVnalBaseSkeleton@@@Z	V4	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	IDA decompile 0x00873350 and src/animation/nal.cpp:4036-4039	Release directory target and Release arguments (0,false) match source.
0x008733A0	?nalReleaseAllSkeletons@@YAXXZ	V3	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x008733A0; src/animation/nal.cpp:4051	Real body invokes nalSkeletonDirectory->ReleaseAll for all skeletons.
0x008733A0	?nalReleaseAllSkeletons@@YAXXZ	V4	PASS	ida-manual-nal-skeleton-20260830	2026-08-30	IDA decompile 0x008733A0 and src/animation/nal.cpp:4051-4054	Release ReleaseAll arguments (false,false,1) match source; decorated release symbol is void despite decompiler incidental return typing.
0x008731E0	?StandardLoad@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEPAVnalBaseSkeleton@@ABVtlFixedString@@Z	V3	PASS	nal-skeleton-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1629920-1629974;src/animation/nal.cpp:3968-4003	Source builds the identical .xbskel path, reads with the same alignment/flags, warns and returns null on failure, constructs and stores the file buffer, compares all eight name words with the same assert, adds the skeleton, and returns it.
0x008731E0	?StandardLoad@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEPAVnalBaseSkeleton@@ABVtlFixedString@@Z	V4	PASS	nal-skeleton-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1629920-1629974	Release and source preserve path formatting, tlReadFile arguments, warning text, skeleton construction/FileBuf assignment, eight-word name comparison, assert metadata, directory Add call, and return paths.
0x00873300	?StandardRelease@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEHPAVnalBaseSkeleton@@H_N@Z	V3	PASS	nal-skeleton-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1629976-1630013;src/animation/nal.cpp:4005-4027	Source returns zero for null, decrements RefCount unless forced, retains live entries, and otherwise removes/releases the skeleton and releases its file buffer exactly as release.
0x00873300	?StandardRelease@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEHPAVnalBaseSkeleton@@H_N@Z	V4	PASS	nal-skeleton-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1629976-1630013	Release and source preserve null/force handling, reference-count decrement and retention test, Del/Release ordering, FileBuf null guard, cleanup, and return values.
