ida_ea	name	gate	result	session	date	source_ref	detail
0x0082A830	?nfsGetFile@@YAPAUnfsFile@@W4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568215-1568225;src/filesystem/nfl.cpp:521-524	Source indexes the file slot and returns the corresponding nfsFile or null for an invalid ID, matching release.
0x0082A830	?nfsGetFile@@YAPAUnfsFile@@W4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568215-1568225	Release uses txSlotIndex on nfs_filesPool and returns nfs_files[index]; source FileIndex/s_files is the same slot lookup.
0x0082A860	?nfsGetNativeFileID@@YA?AW4nflFileID@@W41@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568227-1568272;src/filesystem/nfl.cpp:527-543	Source resolves invalid IDs, returns native IDs unchanged, follows subfile parents, and asserts native parent type exactly as release.
0x0082A860	?nfsGetNativeFileID@@YA?AW4nflFileID@@W41@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568227-1568272	Release and source preserve subfile-parent traversal, invalid fallback, native-type assertions, and returned parent ID.
0x0082A950	?nfsGetNativeFile@@YAPAUnfsFile@@W4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568273-1568285;src/filesystem/nfl.cpp:546-549	Source resolves the native file ID, indexes the file pool, and returns null on invalid index exactly as release.
0x0082A950	?nfsGetNativeFile@@YAPAUnfsFile@@W4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568273-1568285	Release and source perform equivalent native-ID lookup and nfs_files slot return.
0x0082A990	?nfsGetFileDriver@@YAPAUnfdDriver@@W4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568287-1568303;src/filesystem/nfl.cpp:552-555	Source obtains the native file, rejects invalid/null entries, and returns the native driver exactly as release.
0x0082A990	?nfsGetFileDriver@@YAPAUnfdDriver@@W4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568287-1568303	Release and source preserve native lookup, null guards, and driver member return.
0x0082A9D0	?nflGetFileMedia@@YA?AW4nflMediaID@@W4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568305-1568321;src/filesystem/nfl.cpp:985-988	Source resolves the native file and returns its media ID or -1 for invalid entries, matching release.
0x0082A9D0	?nflGetFileMedia@@YA?AW4nflMediaID@@W4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568305-1568321	Release and source preserve native lookup, null handling, and mediaID return value.
0x0082AA10	?nflGetFileName@@YAPBDW4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568323-1568336;src/filesystem/nfl.cpp:991-994	Source resolves the native file and returns its filename or null, matching release.
0x0082AA10	?nflGetFileName@@YAPBDW4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568323-1568336	Release and source preserve the native lookup, invalid/null branch, and filename member return.
0x0082AA50	?nfsGetFileHandle@@YAPAXW4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568338-1568350;src/filesystem/nfl.cpp:571-575	Source resolves the native file ID and returns the indexed file-handle address or null, matching release.
0x0082AA50	?nfsGetFileHandle@@YAPAXW4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568338-1568350	Release and source preserve native lookup, invalid index handling, and handle-stride address calculation.
0x0082AA90	?nfsGetStream@@YAPAUnfsStream@@W4nflStreamID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568352-1568366;src/filesystem/nfl.cpp:558-561	Source substitutes the default stream ID for zero, indexes the stream pool, and returns null or the stream slot exactly as release.
0x0082AA90	?nfsGetStream@@YAPAUnfsStream@@W4nflStreamID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568352-1568366	Release and source preserve default-stream substitution and stream-pool index return.
0x0082AAD0	?nfsGetRequest@@YAPAUnfsRequest@@W4nflRequestID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568368-1568378;src/filesystem/nfl.cpp:565-568	Source indexes the request pool and returns null or the request slot exactly as release.
0x0082AAD0	?nfsGetRequest@@YAPAUnfsRequest@@W4nflRequestID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568368-1568378	Release and source preserve tx-slot index failure handling and request-slot address.
0x0082AB00	?nfsExportRequestState@@YA?AW4nflRequestState@@W4nfsRequestState@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568380-1568410;src/filesystem/nfl.cpp:579-591	Source maps waiting/working, workdone, canceling/canceled, timeout, I/O-error, and default states to the same exported values as release.
0x0082AB00	?nfsExportRequestState@@YA?AW4nflRequestState@@W4nfsRequestState@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568380-1568410	Release switch cases and source switch cases have identical state grouping and invalid fallback.
0x0082B4E0	?nflGetFileSize@@YAIW4nflFileID@@@Z	V3	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568901-1568915;src/filesystem/nfl.cpp:966-969	Source returns the indexed file size or unsigned -1 for invalid IDs, matching release.
0x0082B4E0	?nflGetFileSize@@YAIW4nflFileID@@@Z	V4	PASS	nfl-system-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1568901-1568915	Release and source preserve tx-slot lookup, invalid fallback, and size member return.
