ida_ea	name	gate	result	session	date	source_ref	detail
0x0084FC90	?Reset@nglDxRenderState@@QAEXXZ	V3	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	src/ngl/ngl_dx_state.cpp:41-48	Source contains the specular-enable cache reset and PrevBM invalidation.
0x0084FC90	?Reset@nglDxRenderState@@QAEXXZ	V4	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	IDA:0x0084FC90;src/ngl/ngl_dx_state.cpp:41-48	Release/source parameter check, dirty flag OR, dword_BC2DAC store, and PrevBM=-1 match.
0x0084FCC0	?SetBlendMode@nglDxRenderState@@QAEXI@Z	V3	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	src/ngl/ngl_dx_state.cpp:52-126	Source contains complete packed blend/alpha state decoding, cache updates, and parameter-check branches.
0x0084FCC0	?SetBlendMode@nglDxRenderState@@QAEXI@Z	V4	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	IDA:0x0084FCC0;src/ngl/ngl_dx_state.cpp:52-126	Release/source PrevBM guard, blend-enable/op/src/dst/color decoding, alpha-test branches, method/cache writes, and bitfield constants match; address/reference decompiler artifacts are ABI-equivalent.
0x0084FED0	?FSAAFixup@nglDxRenderState@@QAEXXZ	V3	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	src/ngl/ngl_dx_state.cpp:132-134	Source contains the complete PrevBM invalidation body.
0x0084FED0	?FSAAFixup@nglDxRenderState@@QAEXXZ	V4	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	IDA:0x0084FED0;src/ngl/ngl_dx_state.cpp:132-134	Release/source both assign PrevBM=-1.
0x0084FEE0	?Init@nglDxRenderState@@QAEXXZ	V3	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	src/ngl/ngl_dx_state.cpp:139-173	Source contains complete initial specular state and four-stage texture-state initialization.
0x0084FEE0	?Init@nglDxRenderState@@QAEXXZ	V4	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	IDA:0x0084FEE0;src/ngl/ngl_dx_state.cpp:139-173	Release/source specular setup, PrevBM reset, four-stage deferred/alpha/transform/filter checks, cache writes, and dirty flags match.
0x00850000	?SetBlendColor@nglDxRenderState@@QAEXI@Z	V3	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	src/ngl/ngl_dx_state.cpp:176-182	Source contains the complete blend-color parameter-check and cache update.
0x00850000	?SetBlendColor@nglDxRenderState@@QAEXI@Z	V4	PASS	ida-manual-ngl-dx-state-20260829	2026-08-29	IDA:0x00850000;src/ngl/ngl_dx_state.cpp:176-182	Release/source blend-color check, method write, and dword_BC2D3C cache assignment match; decompiler signed display is ABI-equivalent.
