ida_ea	name	gate	result	session	date	source_ref	detail
0x00822DC0	?nslAramGetBase@@YAPAXXZ	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561178-1561182;src/sound/nsl.cpp:5631-5632	Release returns nsl_aramBase; source returns the same global.
0x00822DC0	?nslAramGetBase@@YAPAXXZ	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561178-1561182;src/sound/nsl.cpp:5631-5632	Exact release/source getter behavior.
0x00822DD0	?nslAramGetSize@@YAIXZ	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561184-1561188;src/sound/nsl.cpp:5633-5634	Release returns nsl_aramSize; source returns the same global.
0x00822DD0	?nslAramGetSize@@YAIXZ	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561184-1561188;src/sound/nsl.cpp:5633-5634	Exact release/source getter behavior.
0x00822DE0	?nslAramGetFree@@YAIXZ	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561190-1561194;src/sound/nsl.cpp:5635-5636	Release returns nsl_aramFree; source returns the same global.
0x00822DE0	?nslAramGetFree@@YAIXZ	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561190-1561194;src/sound/nsl.cpp:5635-5636	Exact release/source getter behavior.
0x00822DF0	?nslAramSetAlignment@@YAXI@Z	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561196-1561200;src/sound/nsl.cpp:5637-5638	Release assigns nsl_aramAlignment; source performs the same assignment.
0x00822DF0	?nslAramSetAlignment@@YAXI@Z	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561196-1561200;src/sound/nsl.cpp:5637-5638	Exact release/source setter behavior.
0x00822E00	?nslAramGetAlignment@@YAIXZ	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561202-1561206;src/sound/nsl.cpp:5639-5640	Release returns nsl_aramAlignment; source returns the same global.
0x00822E00	?nslAramGetAlignment@@YAIXZ	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561202-1561206;src/sound/nsl.cpp:5639-5640	Exact release/source getter behavior.
0x00822E10	?nslAramInit@@YAXPAXI@Z	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561208-1561222;src/sound/nsl.cpp:5641-5655	Release validates pristine state, resets stack bounds, aligns base, and computes aligned size; source matches.
0x00822E10	?nslAramInit@@YAXPAXI@Z	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561208-1561222;src/sound/nsl.cpp:5641-5655	Equivalent release/source initialization checks, stack reset, and alignment arithmetic.
0x00822EA0	?nslAramGetFreeBlock@@YAIPAI0@Z	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561224-1561273;src/sound/nsl.cpp:5656-5691	Release cleans completed stack entries, sums top and bottom reservations, checks top<=bottom, writes optional outputs, updates nsl_aramFree, and returns it; source matches.
0x00822EA0	?nslAramGetFreeBlock@@YAIPAI0@Z	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561224-1561273;src/sound/nsl.cpp:5656-5691	Equivalent release/source free-block computation and state updates.
0x00822F90	?nslAramAlloc@@YAPAXII@Z	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561276-1561336;src/sound/nsl.cpp:5692-5728	Release rounds size to alignment, checks free space and stack bounds, allocates from top or bottom by flag, refreshes free space, and reports failures; source matches.
0x00822F90	?nslAramAlloc@@YAPAXII@Z	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561276-1561336;src/sound/nsl.cpp:5692-5728	Equivalent release/source aligned allocation paths and failure handling.
0x008230A0	?nslAramFree@@YAXPAX@Z	V3	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561338-1561410;src/sound/nsl.cpp:5729-5786	Release handles null, validates the buffer against aligned base/size and stack ownership, marks the matching stack entry, and recomputes free space; source matches.
0x008230A0	?nslAramFree@@YAXPAX@Z	V4	PASS	nslaram-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1561338-1561410;src/sound/nsl.cpp:5729-5786	Equivalent release/source free and stack-marking behavior.
