ida_ea	name	gate	result	session	date	source_ref	detail
0x008207A0	?nslSourcePtr@@YAPAUnslSource@@W4nslSourceID@@@Z	V3	PASS	nsl-source-manual-20260830	2026-08-30	src/sound/nsl.cpp:970-978	Body resolves the slot index and applies the release 0x148-byte source stride.
0x008207A0	?nslSourcePtr@@YAPAUnslSource@@W4nslSourceID@@@Z	V4	PASS	nsl-source-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1559230-1559240	Release slot validation and 328-byte source address calculation match source.
0x008207D0	?nslEmitterPtr@@YAPAUnslEmitter@@W4nslEmitterID@@@Z	V3	PASS	nsl-source-manual-20260830	2026-08-30	src/sound/nsl.cpp:980-988	Body resolves the slot index and applies the release 0x110-byte emitter stride.
0x008207D0	?nslEmitterPtr@@YAPAUnslEmitter@@W4nslEmitterID@@@Z	V4	PASS	nsl-source-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1559242-1559252	Release slot validation and 272-byte emitter address calculation match source.
0x00820800	?nslNewEmitter@@YA?AW4nslEmitterID@@PBM@Z	V3	PASS	nsl-source-manual-20260830	2026-08-30	src/sound/nsl.cpp:816-838	Body allocates a slot, clears 0x110 bytes, optionally copies position and marks the position parameters, and reports exhaustion.
0x00820800	?nslNewEmitter@@YA?AW4nslEmitterID@@PBM@Z	V4	PASS	nsl-source-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1559254-1559288	Release slot/clear/position/parameter-mask logic and failure return match source.
0x008208A0	?nslFreeEmitter@@YAXW4nslEmitterID@@@Z	V3	PASS	nsl-source-manual-20260830	2026-08-30	src/sound/nsl.cpp:840-842	Body frees the emitter slot.
0x008208A0	?nslFreeEmitter@@YAXW4nslEmitterID@@@Z	V4	PASS	nsl-source-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1559290-1559294	Release directly frees the emitter slot.
0x008208C0	?nslFreeSourceVoice@@YAXW4nslSourceID@@@Z	V3	PASS	nsl-source-manual-20260830	2026-08-30	src/sound/nsl.cpp:1449-1462	Body resolves the source, frees an assigned voice, clears the voice ID, and resets allocation failures.
0x008208C0	?nslFreeSourceVoice@@YAXW4nslSourceID@@@Z	V4	PASS	nsl-source-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1559296-1559319	Release source/voice checks and raw field resets match source.
