ida_ea	name	gate	result	session	date	source_ref	detail
0x00829DD0	?nslWaveBankFixup@@YAHPAUnslWaveBank@@@Z	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:2547-2615	Source fixes up bank-relative pointers, clears backing/MD5 state, adjusts wave/name/info records, resolves groups, and sets the fixed-up flag.
0x00829DD0	?nslWaveBankFixup@@YAHPAUnslWaveBank@@@Z	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1567647-1567716	Release null/flag guards, pointer fixups, wave/info loops, group resolution, sound flag normalization, and final flag update match source.
0x00820290	?nslVoiceGet@@YAPAUnslVoice@@H@Z	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:3388	Compatibility wrapper forwards the signed voice index directly to nslVoicePtr.
0x00820290	?nslVoiceGet@@YAPAUnslVoice@@H@Z	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1558940-1558944	Release wrapper returns nslVoicePtr(voiceIndex), matching source exactly.
0x008202A0	?nslGetGroup@@YAPAUnslGroup@@PBD@Z	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:3390	Compatibility wrapper forwards the group name to nslGroupGet.
0x008202A0	?nslGetGroup@@YAPAUnslGroup@@PBD@Z	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1558946-1558950	Release wrapper returns nslGroupGet(groupName), matching source exactly.
0x008202B0	?nslGetListenerGroup@@YAPAUnslGroup@@XZ	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:3392	Compatibility wrapper requests listener group zero.
0x008202B0	?nslGetListenerGroup@@YAPAUnslGroup@@XZ	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1558952-1558956	Release wrapper returns nslListenerGetGroup(0), matching source exactly.
0x008202C0	?nslGetMasterGroup@@YAPAUnslGroup@@XZ	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:3394-3395	Compatibility wrapper forwards to nslMasterGetGroup.
0x008202C0	?nslGetMasterGroup@@YAPAUnslGroup@@XZ	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.map:18988;c3_bin/codmp_xboxr.xbe.c:1564216-1564219	Release map locates the compatibility symbol in nslCompat.o; its target nslMasterGetGroup release body returns nslGroupGet("NSL_MASTER"), matching the source call chain.
0x00820310	?nslGetWave@@YA?AW4nslWaveID@@PBD@Z	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:1396	Compatibility wrapper forwards the wave name to nslWaveLookup.
0x00820310	?nslGetWave@@YA?AW4nslWaveID@@PBD@Z	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1558976-1558980	Release wrapper returns nslWaveLookup(name), matching source exactly.
0x00820320	?nslGetWaveLength@@YAHW4nslWaveID@@@Z	V3	PASS	ida-manual-nsl-20260828	2026-08-28	src/sound/nsl.cpp:1409	Compatibility wrapper returns the wave length as int.
0x00820320	?nslGetWaveLength@@YAHW4nslWaveID@@@Z	V4	PASS	ida-manual-nsl-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1558982-1558986	Release wrapper returns nslWaveGetLength(waveID), matching source exactly.
