ida_ea	name	gate	result	session	date	source_ref	detail
0x0082E400	?GetFileID@nvlMovieBase@@QAE?AW4nflFileID@@XZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571711-1571715;src/nvl/nvl.cpp:914-914	Source returns mFileID exactly as the release body.
0x0082E400	?GetFileID@nvlMovieBase@@QAE?AW4nflFileID@@XZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571711-1571715	Release returns this->mFileID; source matches the member read and return ABI.
0x0082E4C0	?SetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@W42@@Z	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571770-1571775;src/nvl/nvl.cpp:952-952	Source stores newState in mMovieState and returns it exactly as release.
0x0082E4C0	?SetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@W42@@Z	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571770-1571775	Release assigns mMovieState and returns newState; source matches.
0x0082E4D0	?GetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@XZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571777-1571781;src/nvl/nvl.cpp:954-954	Source returns mMovieState exactly as the release body.
0x0082E4D0	?GetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@XZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571777-1571781	Release returns this->mMovieState; source matches.
0x0082E4E0	?SetUserDataCallback@nvlMovieBase@@QAEXP6AXPAEI_NPAX@Z2@Z	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571783-1571791;src/nvl/nvl.cpp:956-959	Source stores callback and user in the same two members as release.
0x0082E4E0	?SetUserDataCallback@nvlMovieBase@@QAEXP6AXPAEI_NPAX@Z2@Z	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571783-1571791	Release assigns mUserDataCallback then mUserData; source matches order and ABI.
0x0082E500	?GetNumFrames@nvlMovieBase@@QAEHXZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571793-1571797;src/nvl/nvl.cpp:961-961	Source returns mTotalFrames exactly as release.
0x0082E500	?GetNumFrames@nvlMovieBase@@QAEHXZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571793-1571797	Release returns this->mTotalFrames; source matches.
0x0082E510	?GetFrameNumber@nvlMovieBase@@QAEHXZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571799-1571803;src/nvl/nvl.cpp:963-963	Source returns mFrameNumber exactly as release.
0x0082E510	?GetFrameNumber@nvlMovieBase@@QAEHXZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571799-1571803	Release returns this->mFrameNumber; source matches.
0x0082E520	?GetTexture@nvlMovieBase@@QAEPAUnglTexture@@XZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571805-1571809;src/nvl/nvl.cpp:965-965	Source returns mSwapTexture[0] exactly as release.
0x0082E520	?GetTexture@nvlMovieBase@@QAEPAUnglTexture@@XZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571805-1571809	Release returns this->mSwapTexture[0]; source matches.
0x0082E530	?DecodeFrame@nvlMovieBase@@UAE?AW4nvlFrameState@@XZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571811-1571815;src/nvl/nvl.cpp:967-967	Source returns NVL_FRAME_ERROR, whose declared value is -1, matching release.
0x0082E530	?DecodeFrame@nvlMovieBase@@UAE?AW4nvlFrameState@@XZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571811-1571815;src/nvl/nvl_api.h:36-40	Release returns -1; source enum NVL_FRAME_ERROR is explicitly -1.
0x0082E540	?SetConvertNTSCtoPAL@nvlMovieBase@@SAX_N@Z	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571817-1571821;src/nvl/nvl.cpp:969-970	Source stores the bool in static mConvertPal exactly as release.
0x0082E540	?SetConvertNTSCtoPAL@nvlMovieBase@@SAX_N@Z	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571817-1571821	Release assigns nvlMovieBase::mConvertPal; source matches the static setter ABI.
0x0082E550	?SetAudioTrack@nvlMovieBase@@QAE?AW4nvlResult@@H@Z	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571823-1571828;src/nvl/nvl.cpp:971-972	Source stores audioTrackID and returns NVL_RESULT_OK exactly as release.
0x0082E550	?SetAudioTrack@nvlMovieBase@@QAE?AW4nvlResult@@H@Z	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571823-1571828;src/nvl/nvl_api.h:44-47	Release returns 0; source NVL_RESULT_OK is explicitly 0.
0x0082E560	?IsBufferLoading@nvlMovieBase@@QAE_NXZ	V3	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571831-1571843;src/nvl/nvl.cpp:973-976	Source tests all four request IDs against NFL_REQUEST_ID_INVALID with equivalent OR semantics.
0x0082E560	?IsBufferLoading@nvlMovieBase@@QAE_NXZ	V4	PASS	nvl-base-manual-20260831	2026-08-31	c3_bin/codmp_xboxr.xbe.c:1571831-1571843	Release returns true if any of mRequestID[0..3] is valid; source is equivalent.
