ida_ea	name	gate	result	session	date	source_ref	detail
0x007C2A80	?RegisterVShader@cdGlowRender4@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C2A80;src/render/cdGlowShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007C2A80	?RegisterVShader@cdGlowRender4@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C2A80;src/render/cdGlowShader.cpp	Source matches the release registration and shader-handle assignment.
0x007C2AD0	?RegisterVShader@cdGlowRender1@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C2AD0;src/render/cdGlowShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007C2AD0	?RegisterVShader@cdGlowRender1@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C2AD0;src/render/cdGlowShader.cpp	Source matches the release registration and shader-handle assignment.
0x007C5DB0	?RegisterVShader@cdScratchShaderVertex@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C5DB0;src/render/cdScratchShader.cpp	Release body registers the scratch vertex shader with VShaderTable[0].
0x007C5DB0	?RegisterVShader@cdScratchShaderVertex@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C5DB0;src/render/cdScratchShader.cpp	Source matches the release registration call.
0x007C68E0	?RegisterVShader@cdDebugShaderRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C68E0;src/render/cdDebugShader.cpp	Release body registers the debug vertex shader with VShaderTable[0].
0x007C68E0	?RegisterVShader@cdDebugShaderRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C68E0;src/render/cdDebugShader.cpp	Source matches the release registration call.
0x007C78B0	?RegisterVShader@cdSimpleUVAnimRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C78B0;src/render/cdSimpleUVAnimShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007C78B0	?RegisterVShader@cdSimpleUVAnimRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C78B0;src/render/cdSimpleUVAnimShader.cpp	Source matches the release registration and shader-handle assignment.
0x007C8D80	?RegisterVShader@cdSimpleAlphaRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C8D80;src/render/cdSimpleAlphaShader.cpp	Release body registers both vertex shader entries.
0x007C8D80	?RegisterVShader@cdSimpleAlphaRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C8D80;src/render/cdSimpleAlphaShader.cpp	Source loop matches the two release registration calls.
0x007C9B30	?RegisterVShader@cdWheelMarkShaderVertex@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C9B30;src/render/cdWheelMarkShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007C9B30	?RegisterVShader@cdWheelMarkShaderVertex@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007C9B30;src/render/cdWheelMarkShader.cpp	Source matches the release registration and shader-handle assignment.
0x007CB8B0	?RegisterVShader@cdFlagVertex@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CB8B0;src/render/cdFlagShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007CB8B0	?RegisterVShader@cdFlagVertex@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CB8B0;src/render/cdFlagShader.cpp	Source matches the release registration and shader-handle assignment.
0x007CD2E0	?RegisterVShader@cdDynamicDecalRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CD2E0;src/render/cdDynamicDecalShader.cpp	Release thunk delegates to the exact two-entry RegisterShader loop.
0x007CD2E0	?RegisterVShader@cdDynamicDecalRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CD2E0;src/render/cdDynamicDecalShader.cpp	Source thunk and helper match the release call graph and loop.
0x007CDCD0	?RegisterVShader@cdGunSightSpecularRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CDCD0;src/render/cdGunSightSpecularShader.cpp	Release body registers both vertex shader entries.
0x007CDCD0	?RegisterVShader@cdGunSightSpecularRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CDCD0;src/render/cdGunSightSpecularShader.cpp	Source loop matches the two release registration calls.
0x007CE650	?RegisterVShader@cdGunSightRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CE650;src/render/cdGunSightShader.cpp	Release body registers VShaderTable[0].
0x007CE650	?RegisterVShader@cdGunSightRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CE650;src/render/cdGunSightShader.cpp	Source matches the release registration call.
0x007CF000	?RegisterVShader@cdGunRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CF000;src/render/cdGunShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007CF000	?RegisterVShader@cdGunRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CF000;src/render/cdGunShader.cpp	Source matches the release registration and shader-handle assignment.
0x007CFC10	?RegisterVShader@cdHeatHazeRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CFC10;src/render/cdHeatHazeShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007CFC10	?RegisterVShader@cdHeatHazeRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007CFC10;src/render/cdHeatHazeShader.cpp	Source matches the release registration and shader-handle assignment.
0x007D1D10	?RegisterVShader@cdDecalRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D1D10;src/render/cdDecalShader.cpp	Release body registers VShaderTable[0].
0x007D1D10	?RegisterVShader@cdDecalRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D1D10;src/render/cdDecalShader.cpp	Source matches the release registration call.
0x007D2720	?RegisterVShader@cdCharSpecularShaderRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D2720;src/render/cdCharSpecularShader.cpp	Release thunk delegates to the exact two-entry RegisterShader loop.
0x007D2720	?RegisterVShader@cdCharSpecularShaderRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D2720;src/render/cdCharSpecularShader.cpp	Source thunk and helper match the release call graph and loop.
0x007D3130	?RegisterVShader@cdCharShaderRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D3130;src/render/cdCharShader.cpp	Release body registers VShaderTable[0] and stores VS[0] in Shader.
0x007D3130	?RegisterVShader@cdCharShaderRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D3130;src/render/cdCharShader.cpp	Source matches the release registration and shader-handle assignment.
0x007D3CA0	?RegisterVShader@cdPrelitRender@@YAXXZ	V3	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D3CA0;src/render/cdPrelitShader.cpp	Release body registers VShaderTable[0].
0x007D3CA0	?RegisterVShader@cdPrelitRender@@YAXXZ	V4	PASS	ida-render-exports-20260829	2026-08-29	IDA:decompile:0x007D3CA0;src/render/cdPrelitShader.cpp	Source matches the release registration call.
