ida_ea	name	gate	result	session	date	source_ref	detail
0x00833B90	??0tlInstanceBank@@QAE@XZ	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833B90	Release constructor only initializes NIL and Head to null.
0x00833B90	??0tlInstanceBank@@QAE@XZ	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833B90 + src/core/tl_instbank.cpp	Source removes the premature Init allocation and preserves constructor ABI.
0x00833BA0	?NewNodeOfLevel@tlInstanceBank@@AAEPAUInstance@1@H@Z	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833BA0	Release allocates 4*l+44 bytes with alignment 8.
0x00833BA0	?NewNodeOfLevel@tlInstanceBank@@AAEPAUInstance@1@H@Z	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833BA0 + src/core/tl_instbank.cpp	Source uses the release size and alignment.
0x00833BC0	?RandomLevel@tlInstanceBank@@AAEHXZ	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833BC0	Release two-bit random walk, reseed cadence, and level clamp reviewed.
0x00833BC0	?RandomLevel@tlInstanceBank@@AAEHXZ	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833BC0 + src/core/tl_instbank.cpp	Source preserves RandomBits/RandomsLeft state transitions and MAX_LEVEL clamp.
0x00833C00	?Insert@tlInstanceBank@@QAEPAUInstance@1@ABVtlFixedString@@PAX@Z	V3	PASS	tl-instbank-20260827	2026-08-27	IDA disasm/decompile 0x833C00	Release skip-list ordering, duplicate refcount, node copy, splice, and new-node null return reviewed.
0x00833C00	?Insert@tlInstanceBank@@QAEPAUInstance@1@ABVtlFixedString@@PAX@Z	V4	PASS	tl-instbank-20260827	2026-08-27	IDA disasm 0x833C00 + src/core/tl_instbank.cpp	Source preserves eight-dword key comparison, 8-byte allocation alignment, and release return behavior.
0x00833D50	?Delete@tlInstanceBank@@QAEHABVtlFixedString@@@Z	V3	PASS	tl-instbank-20260827	2026-08-27	IDA disasm/decompile 0x833D50	Release search, refcount decrement, unlink, free, level shrink, and status returns reviewed.
0x00833D50	?Delete@tlInstanceBank@@QAEHABVtlFixedString@@@Z	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833D50 + src/core/tl_instbank.cpp	Source matches key ordering, update levels, unlinking, and counter-routed free.
0x00833EA0	?Search@tlInstanceBank@@QAEPAUInstance@1@ABVtlFixedString@@@Z	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833EA0	Release top-down skip-list search and null/not-found paths reviewed.
0x00833EA0	?Search@tlInstanceBank@@QAEPAUInstance@1@ABVtlFixedString@@@Z	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833EA0 + src/core/tl_instbank.cpp	Source preserves ordered descent and final base-level key check.
0x00833F50	?Destroy@tlInstanceBank@@QAEXXZ	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833F50	Release deletes all entries then frees NIL/head and nulls fields.
0x00833F50	?Destroy@tlInstanceBank@@QAEXXZ	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833F50 + src/core/tl_instbank.cpp	Source now iterates Delete on Forward[0] before freeing sentinel/head.
0x00833FB0	??1tlInstanceBank@@QAE@XZ	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833FB0	Release destructor delegates to Destroy.
0x00833FB0	??1tlInstanceBank@@QAE@XZ	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833FB0 + src/core/tl_instbank.cpp	Source destructor preserves Destroy delegation and ABI.
0x00833FC0	?Init@tlInstanceBank@@QAEXXZ	V3	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833FC0	Release sentinel initialization, random state, head allocation, and forward setup reviewed.
0x00833FC0	?Init@tlInstanceBank@@QAEXXZ	V4	PASS	tl-instbank-20260827	2026-08-27	IDA decompile 0x833FC0 + src/core/tl_instbank.cpp	Source preserves sentinel dwords, 0x6C head allocation, and all 17 forward links.
