ida_ea	name	gate	result	session	date	source_ref	detail
0x0082D0A0	_txPathFix	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2436-2469; c3_bin/codmp_xboxr.xbe.c:1570480-1570572	Release UNC prefix handling, separator collapse, dot-segment removal, capacity accounting, termination, and return match source.
0x0082D170	_txPathFormat	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2471-2478; c3_bin/codmp_xboxr.xbe.c:1570575-1570587	Release empty-source fallback, 256-byte copy/append, txPathFix call, and destination return match source.
0x0082D1E0	_txPathMake	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2481-2490; c3_bin/codmp_xboxr.xbe.c:1570590-1570609	Distinct release 255-byte copy, slash append, txPathFix call, and destination return match source.
0x0082D250	_txPathDirEnd	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2492-2496; c3_bin/codmp_xboxr.xbe.c:1570612-1570621	Last-slash lookup and pointer-to-character-after-slash return match source.
0x0082D270	_txPathFileStart	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2498-2502; c3_bin/codmp_xboxr.xbe.c:1570625-1570637	Last-slash lookup, fallback to source, and file-start pointer return match source.
0x0082D290	_txPathExtStart	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2504-2508; c3_bin/codmp_xboxr.xbe.c:1570641-1570650	File-start selection and extension lookup match source.
0x0082D2C0	_txPathFile	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2510-2518; c3_bin/codmp_xboxr.xbe.c:1570654-1570677	Release file-start selection, length clamp, terminator placement, copy, and return match source.
0x0082D320	_txPathExt	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2520-2529; c3_bin/codmp_xboxr.xbe.c:1570682-1570703	Release extension lookup, length clamp, terminator placement, copy, and return match source.
0x0082D390	_txPathDir	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2531-2539; c3_bin/codmp_xboxr.xbe.c:1570709-1570723	Release directory length calculation, clamp, terminator placement, copy, and return match source.
0x0082D3E0	_txPathName	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2541-2555; c3_bin/codmp_xboxr.xbe.c:1570728-1570761	Release file-start/secondary-slash handling, extension-based name length, clamp, terminator, copy, and return match source.
0x0082D450	_txPathNormalize	V4	PASS	ida-manual-txpath-20260830	2026-08-30	src/filesystem/nfl.cpp:2324-2378; c3_bin/codmp_xboxr.xbe.c:1570768-1570879	Release repeated-slash, dot-segment, parent-segment, in-place copy, and loop control match source.
