obj	name	status
AeAssert.o	??0IgnoredAssert@AeAssert@@QAE@XZ	PORTED
AeAssert.o	??0InfiniteRecursionStopper@AeAssert@@QAE@AA_N@Z	PORTED
AeAssert.o	??1InfiniteRecursionStopper@AeAssert@@QAE@XZ	PORTED
apk.o	?ApplyReferences@apkFile@apk@@QAEXAAPAIPAVtlFixedString@@@Z	FIXED
PtrFixupTable.o	??$FixupPointer@I@@YAXAAPAIPBX@Z	PORTED
ae_controller.o	?PollController@@YAHHPAH@Z	FIXED
cdDynamicDecalVertexDef.o	?InitCDDynamicDecalVertexDefBuilder@@YAXXZ	VERIFIED
ae_fixed_string.o	?ae_stricmpn@@YAHPBD0H@Z	FIXED
nal_ik.o	?nalIKSolve2D@@YAXABVnalMatrix4x4@@ABVDir3@math@@1MMMMAAV23@2AAM333@Z	FIXED
nal_ik.o	?nalIKMap2DTo3D@@YAXMMMMMABVDir3@math@@00MMAAVnalMatrix4x4@@1@Z	PORTED
apsPFD.o	?RecomputeOffsets@apsPFD@@AAEXXZ	VERIFIED
apsSuppliedDomains.o	?FloatRand@apsMath@@YAMXZ	PORTED
apsDebug.o	?Enabled@apsDebug@@SAIXZ	VERIFIED
apsSimpleMeshNode.o	?Set@apsSphere@@QAEXABUPacked@Dir3@math@@M@Z	PORTED
apsSimpleMeshNode.o	??0apsSphere@@QAE@ABUPacked@Dir3@math@@M@Z	PORTED
apsSimpleMeshNode.o	?Matrix@apsRenderNode@@QBEABVMat43@math@@XZ	PORTED
apsSimpleMeshNode.o	?Renderer@apsSimpleMeshNode@@QAEAAVapsSimpleMeshRenderer@@XZ	PORTED
apsSimpleMeshNode.o	?Texture@apsSimpleMeshRenderer@@QBEPAUnglTexture@@XZ	PORTED
apsSimpleMeshNode.o	?Mesh@apsSimpleMeshRenderer@@QBEPAUnglMesh@@XZ	PORTED
apsSimpleMeshNode.o	?GetVShader@apsSimpleMeshRender@@YAKXZ	PORTED
apsSimpleMeshNode.o	?GetPShader@apsSimpleMeshRenderPixel@@YAPAKXZ	PORTED
apsSimpleMeshNode.o	??0MeshParticleContext@@QAE@XZ	PORTED
ngl_dx_fsaa.o	?SetMultiSampleAntiAlias@nglDxRenderState@@QAEX_N@Z	VERIFIED
nvl_base.o	?GetVersion@nvlMovieBase@@SAIXZ	VERIFIED
nslSource.o	?tlIsPow2@@YA_NI@Z	VERIFIED
nfl_system.o	?nfsLock@@YAXXZ	VERIFIED
nfl_system.o	?nfsUnlock@@YAXXZ	VERIFIED
jobqueue.o	?jqCreateMutex@@YAHH@Z	PORTED
jobqueue.o	?jqDestroyMutex@@YAXH@Z	PORTED
jobqueue.o	?jqLockMutex@@YAXH@Z	PORTED
jobqueue.o	?jqUnlockMutex@@YAXH@Z	PORTED
