index	status	map_line
1	VERIFIED	0002:00048920 ??0Color@@QAE@XZ 00837E20 f i g.o
2	VERIFIED	0002:00048930 ??0Color@@QAE@MMMM@Z 00837E30 f i g.o
3	VERIFIED	0002:00048970 ??0Color@@QAE@ABV0@@Z 00837E70 f i g.o
4	VERIFIED	0002:000489a0 ??4Color@@QAEAAV0@ABV0@@Z 00837EA0 f i g.o
5	VERIFIED	0002:000489d0 ?Inst@DebugRender@@SAPAV1@XZ 00837ED0 f i g.o
6	SKIPPED	0002:000489e0 ??2@YAPAXIPAX@Z 00837EE0 f i g.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
7	SKIPPED	0002:000489f0 ??3@YAXPAX0@Z 00837EF0 f i g.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
8	SKIPPED	0002:00048a00 ?c_str@InplaceString@@QBEPBDXZ 00837F00 f i g.o  SKIPPED: inline template/container helper; supplied by its template definition
9	SKIPPED	0002:00048a10 ??BInplaceString@@QBEPBDXZ 00837F10 f i g.o  SKIPPED: inline template/container helper; supplied by its template definition
10	SKIPPED	0002:00048a20 ??MInplaceString@@QBE_NPBD@Z 00837F20 f i g.o  SKIPPED: inline template/container helper; supplied by its template definition
11	SKIPPED	0002:00048a50 ??8InplaceString@@QBE_NPBD@Z 00837F50 f i g.o  SKIPPED: inline template/container helper; supplied by its template definition
12	SKIPPED	0002:00048a80 ??9InplaceString@@QBE_NPBD@Z 00837F80 f i g.o  SKIPPED: inline template/container helper; supplied by its template definition
13	VERIFIED	0002:00048ab0 ?Inst@StreamZoneManager@@SAPAV1@XZ 00837FB0 f i g.o
14	VERIFIED	0002:00048ac0 ?GetLastCellNum@StreamZoneManager@@QBEHXZ 00837FC0 f i g.o
15	VERIFIED	0002:00048ad0 ?GetInitialCell@StreamZoneManager@@QBEHXZ 00837FD0 f i g.o
16	VERIFIED	0002:00048ae0 ?GetInitialPosition@StreamZoneManager@@QBE?AVPosition3@math@@XZ 00837FE0 f i g.o
17	VERIFIED	0002:00048b20 ?Inst@ServerTime@@SAPAV1@XZ 00838020 f i g.o
18	VERIFIED	0002:00048b30 ?GetTickMSec@ServerTime@@QBEHXZ 00838030 f i g.o
19	VERIFIED	0002:00048b40 ?GetTickDelta@ServerTime@@QBEMXZ 00838040 f i g.o
