ida_ea	name	signature	source_cpp
0x00448B50	?Init@StatusBar@@YAXXZ	void __cdecl StatusBar::Init(void)	
0x00448B70	?RenderResources@MemGraph@@YAXXZ	void __cdecl MemGraph::RenderResources(void)	
0x00448B80	?Init@DObjHandleDb@@QAEXXZ	public: void __thiscall DObjHandleDb::Init(void)	
0x00448BB0	?Player_CheckFriendlyFireUse@@YA_NPAVPlayerState@@@Z	bool __cdecl Player_CheckFriendlyFireUse(class PlayerState *)	
0x00448BD0	?G_SetClientSound@@YAXPAVEntity@@@Z	void __cdecl G_SetClientSound(class Entity *)	
0x00448BE0	?GetEntityTouchTriggerType@@YAHPAVEntity@@@Z	int __cdecl GetEntityTouchTriggerType(class Entity *)	
0x00448E40	?G_RunClient@@YAXPAVEntity@@@Z	void __cdecl G_RunClient(class Entity *)	
0x00448E50	?G_SetClientContents@@YAXPAVEntity@@@Z	void __cdecl G_SetClientContents(class Entity *)	
0x00448F00	?ClientInactivityTimer@@YAHPAVEntity@@@Z	int __cdecl ClientInactivityTimer(class Entity *)	
0x00448F10	?ClientSpectatorInactivityTimer@@YAHPAVEntity@@@Z	int __cdecl ClientSpectatorInactivityTimer(class Entity *)	
0x00448F20	?ClientIntermissionThink@@YAXPAVEntity@@PAUusercmd_s@@@Z	void __cdecl ClientIntermissionThink(class Entity *,struct usercmd_s *)	
0x00448F50	?IntermissionClientEndFrame@@YAXPAVEntity@@@Z	void __cdecl IntermissionClientEndFrame(class Entity *)	
0x00448FB0	?G_ClientCanSpectateTeam@@YAHPAVEntity@@W4team_t@@@Z	int __cdecl G_ClientCanSpectateTeam(class Entity *,enum team_t)	
0x00448FE0	?GetFollowPlayerState@@YAHHPAVPlayerState@@@Z	int __cdecl GetFollowPlayerState(int,class PlayerState *)	
0x00449060	?G_GetActorProneInfo@@YAPAUactor_prone_info_t@@PAUactor_s@@@Z	struct actor_prone_info_t * __cdecl G_GetActorProneInfo(struct actor_s *)	
0x004490D0	?G_InitActorProneInfo@@YAXPAUactor_s@@@Z	void __cdecl G_InitActorProneInfo(struct actor_s *)	
0x00449100	?G_ActorExitProne@@YAXPAUactor_s@@H@Z	void __cdecl G_ActorExitProne(struct actor_s *,int)	
0x004491D0	?G_ReduceOriginError@@YAXQAM0M@Z	void __cdecl G_ReduceOriginError(float * const,float * const,float)	
0x004492B0	?G_ReduceAnglesError@@YAXQAM0MM@Z	void __cdecl G_ReduceAnglesError(float * const,float * const,float,float)	
0x00449350	?GScr_GetStartOrigin@@YAXXZ	void __cdecl GScr_GetStartOrigin(void)	
0x00449360	?GScr_GetStartAngles@@YAXXZ	void __cdecl GScr_GetStartAngles(void)	
0x00449370	?GScr_GetCycleOriginOffset@@YAXXZ	void __cdecl GScr_GetCycleOriginOffset(void)	
0x00449380	?G_SetupSpawnPoint@@YAXPAVEntity@@@Z	void __cdecl G_SetupSpawnPoint(class Entity *)	
0x004493B0	?SP_info_player_start@@YAXPAVEntity@@@Z	void __cdecl SP_info_player_start(class Entity *)	
0x00449410	?SP_intermission@@YAXPAVEntity@@@Z	void __cdecl SP_intermission(class Entity *)	
0x00449440	?SP_deathmatch@@YAXPAVEntity@@@Z	void __cdecl SP_deathmatch(class Entity *)	
0x00449490	?SP_teamdeathmatch@@YAXPAVEntity@@@Z	void __cdecl SP_teamdeathmatch(class Entity *)	
0x004494E0	?SP_ctf_allies_primary@@YAXPAVEntity@@@Z	void __cdecl SP_ctf_allies_primary(class Entity *)	
0x00449530	?SP_ctf_allies_secondary@@YAXPAVEntity@@@Z	void __cdecl SP_ctf_allies_secondary(class Entity *)	
0x00449580	?SP_ctf_axis_primary@@YAXPAVEntity@@@Z	void __cdecl SP_ctf_axis_primary(class Entity *)	
0x004495D0	?SP_ctf_axis_secondary@@YAXPAVEntity@@@Z	void __cdecl SP_ctf_axis_secondary(class Entity *)	
0x00449620	?SP_hq_allies_primary@@YAXPAVEntity@@@Z	void __cdecl SP_hq_allies_primary(class Entity *)	
0x00449670	?SP_hq_allies_secondary@@YAXPAVEntity@@@Z	void __cdecl SP_hq_allies_secondary(class Entity *)	
0x004496C0	?SP_hq_axis_primary@@YAXPAVEntity@@@Z	void __cdecl SP_hq_axis_primary(class Entity *)	
0x00449710	?SP_hq_axis_secondary@@YAXPAVEntity@@@Z	void __cdecl SP_hq_axis_secondary(class Entity *)	
0x00449760	?HQ_Point@@YAXPAVEntity@@@Z	void __cdecl HQ_Point(class Entity *)	
0x004497B0	?SP_single_ctf_allies@@YAXPAVEntity@@@Z	void __cdecl SP_single_ctf_allies(class Entity *)	
0x00449800	?SP_single_ctf_axis@@YAXPAVEntity@@@Z	void __cdecl SP_single_ctf_axis(class Entity *)	
0x00449850	?SP_dom_allies@@YAXPAVEntity@@@Z	void __cdecl SP_dom_allies(class Entity *)	
0x004498A0	?SP_dom_axis@@YAXPAVEntity@@@Z	void __cdecl SP_dom_axis(class Entity *)	
0x004498F0	?SP_war_allies@@YAXPAVEntity@@@Z	void __cdecl SP_war_allies(class Entity *)	
0x00449940	?SP_war_axis@@YAXPAVEntity@@@Z	void __cdecl SP_war_axis(class Entity *)	
0x00449990	?SP_sd_allies@@YAXPAVEntity@@@Z	void __cdecl SP_sd_allies(class Entity *)	
0x004499E0	?SP_sd_axis@@YAXPAVEntity@@@Z	void __cdecl SP_sd_axis(class Entity *)	
0x00449A30	?SetClientOrigin@@YAXPAVEntity@@QBM@Z	void __cdecl SetClientOrigin(class Entity *,float const * const)	
0x00449BC0	?SetClientViewAngle@@YAXPAVEntity@@QBM@Z	void __cdecl SetClientViewAngle(class Entity *,float const * const)	
0x00449F50	?respawn@@YAXPAVEntity@@@Z	void __cdecl respawn(class Entity *)	
0x00449F60	?ChangePlayersMaxHealth@@YAXH@Z	void __cdecl ChangePlayersMaxHealth(int)	
0x0044A000	?G_SetPlayerSize@@YAXXZ	void __cdecl G_SetPlayerSize(void)	
0x0044A050	?G_AddLean@@YAXPAVEntity@@QAM@Z	void __cdecl G_AddLean(class Entity *,float * const)	
0x0044A190	?G_FindInvalidatedNode@@YAHPAVEntity@@PBUPathNode@PathNodes@@@Z	int __cdecl G_FindInvalidatedNode(class Entity *,struct PathNodes::PathNode const *)	
0x0044A230	?G_UpdateInvalidatedNode@@YAXPAVEntity@@@Z	void __cdecl G_UpdateInvalidatedNode(class Entity *)	
0x0044A240	?CheatsOk@@YAHPAVEntity@@@Z	int __cdecl CheatsOk(class Entity *)	
0x0044A290	?ConcatArgs@@YAPADH@Z	char * __cdecl ConcatArgs(int)	
0x0044A340	?SanitizeString@@YAXPAD0@Z	void __cdecl SanitizeString(char *,char *)	
0x0044A390	?Cmd_Take_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_Take_f(class Entity *)	
0x0044A780	?Cmd_Invinc_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_Invinc_f(class Entity *)	
0x0044A7A0	?Cmd_God_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_God_f(class Entity *)	
0x0044A850	?Cmd_Notarget_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_Notarget_f(class Entity *)	
0x0044A900	?Cmd_Noclip_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_Noclip_f(class Entity *)	
0x0044A9C0	?Cmd_UFO_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_UFO_f(class Entity *)	
0x0044AA60	?G_canPickupMelee@@YAHPAVEntity@@@Z	int __cdecl G_canPickupMelee(class Entity *)	
0x0044AAB0	?Cmd_SetSpawnPoint_f@@YAXPAVEntity@@@Z	void __cdecl Cmd_SetSpawnPoint_f(class Entity *)	
0x0044AAF0	?Cmd_NGLStats_f@@YAXXZ	void __cdecl Cmd_NGLStats_f(void)	
0x0044AB00	?Cmd_NGLStatDisplay_f@@YAXXZ	void __cdecl Cmd_NGLStatDisplay_f(void)	
0x0044AB10	?Cmd_ProfileShaders_f@@YAXXZ	void __cdecl Cmd_ProfileShaders_f(void)	
0x0044AB20	?Cmd_ProfileNodes_f@@YAXXZ	void __cdecl Cmd_ProfileNodes_f(void)	
