ida_ea	name	signature	source_cpp
0x004EBE60	?Controller_LockPort@@YAXH@Z	void __cdecl Controller_LockPort(int)	
0x004EBEA0	?Controller_UnlockPort@@YAXXZ	void __cdecl Controller_UnlockPort(void)	
0x004EBEB0	?IN_Shutdown@@YAXXZ	void __cdecl IN_Shutdown(void)	
0x004EBEC0	?RecalibrateInput@@YAHH@Z	int __cdecl RecalibrateInput(int)	
0x004EBF20	?EventAllKeysReleased@@YAXH@Z	void __cdecl EventAllKeysReleased(int)	
0x004EBFF0	??1TestFPS@@QAE@XZ	public: __thiscall TestFPS::~TestFPS(void)	
0x004EC020	?GetPath@TestFPS@@AAEXPAD@Z	private: void __thiscall TestFPS::GetPath(char *)	
0x004EC050	?ResetKeys@InspectorManager@@AAEXXZ	private: void __thiscall InspectorManager::ResetKeys(void)	
0x004EC090	?ReadKeys@InspectorManager@@AAEXXZ	private: void __thiscall InspectorManager::ReadKeys(void)	
0x004EC260	?AddSubMenu@InspectorManager@@QAEPAU_INSPECTOR_MENU@@PAU2@PAD@Z	public: struct _INSPECTOR_MENU * __thiscall InspectorManager::AddSubMenu(struct _INSPECTOR_MENU *,char *)	
0x004EC3B0	?AddItem@InspectorManager@@QAEPAU_INSPECTOR_MENU_ITEM@@PAU_INSPECTOR_MENU@@PADPAXH@Z	public: struct _INSPECTOR_MENU_ITEM * __thiscall InspectorManager::AddItem(struct _INSPECTOR_MENU *,char *,void *,int)	
0x004EC490	?FreeSubMenu@InspectorManager@@AAEXPAU_INSPECTOR_MENU@@@Z	private: void __thiscall InspectorManager::FreeSubMenu(struct _INSPECTOR_MENU *)	
0x004EC530	?UpdateInput@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::UpdateInput(void)	
0x004EC550	?ProfilerUpdate@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::ProfilerUpdate(void)	
0x004EC560	?RenderStart@InspectorManager@@AAEHXZ	private: int __thiscall InspectorManager::RenderStart(void)	
0x004EC570	?RenderFinish@InspectorManager@@AAEXXZ	private: void __thiscall InspectorManager::RenderFinish(void)	
0x004EC580	?RenderSetStates@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::RenderSetStates(void)	
0x004EC590	?RenderRestoreStates@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::RenderRestoreStates(void)	
0x004EC5A0	?SetFontColor@InspectorManager@@QAEXMMMM@Z	public: void __thiscall InspectorManager::SetFontColor(float,float,float,float)	
0x004EC5D0	?Print@InspectorManager@@QAEXPADHHM@Z	public: void __thiscall InspectorManager::Print(char *,int,int,float)	
0x004EC690	?GetTextSize@InspectorManager@@QAEXPADPAH1M@Z	public: void __thiscall InspectorManager::GetTextSize(char *,int *,int *,float)	
0x004EC6D0	?TakeCubeMapShot@@YAXXZ	void __cdecl TakeCubeMapShot(void)	
0x004EC6E0	?PlayRumble@@YAXXZ	void __cdecl PlayRumble(void)	
0x004EC720	?AddRenderMenus@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::AddRenderMenus(void)	
0x004EC8A0	?AddPhysicsMenus@InspectorManager@@QAEXXZ	public: void __thiscall InspectorManager::AddPhysicsMenus(void)	
0x004EC8D0	?reticleCenterSize_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reticleCenterSize_Function(int)	
0x004EC900	?reticleSideSize_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reticleSideSize_Function(int)	
0x004EC930	?reticleMinOfs_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reticleMinOfs_Function(int)	
0x004EC960	?duckedOfsF_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedOfsF_Function(float)	
0x004EC9A0	?duckedOfsR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedOfsR_Function(float)	
0x004EC9E0	?duckedOfsU_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedOfsU_Function(float)	
0x004ECA20	?proneOfsF_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneOfsF_Function(float)	
0x004ECA60	?proneOfsR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneOfsR_Function(float)	
0x004ECAA0	?proneOfsU_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneOfsU_Function(float)	
0x004ECAE0	?standMoveF_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::standMoveF_Function(float)	
0x004ECB20	?standMoveR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::standMoveR_Function(float)	
0x004ECB60	?standMoveU_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::standMoveU_Function(float)	
0x004ECBA0	?duckedMoveF_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedMoveF_Function(float)	
0x004ECBE0	?duckedMoveR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedMoveR_Function(float)	
0x004ECC20	?duckedMoveU_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedMoveU_Function(float)	
0x004ECC60	?proneMoveF_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneMoveF_Function(float)	
0x004ECCA0	?proneMoveR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneMoveR_Function(float)	
0x004ECCE0	?proneMoveU_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneMoveU_Function(float)	
0x004ECD20	?proneRotP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneRotP_Function(float)	
0x004ECD60	?proneRotY_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneRotY_Function(float)	
0x004ECDA0	?proneRotR_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneRotR_Function(float)	
0x004ECDE0	?standMoveMinSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::standMoveMinSpeed_Function(float)	
0x004ECE20	?duckedMoveMinSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::duckedMoveMinSpeed_Function(float)	
0x004ECE60	?proneMoveMinSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneMoveMinSpeed_Function(float)	
0x004ECEA0	?posProneRotRate_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::posProneRotRate_Function(float)	
0x004ECEE0	?proneRotMinSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::proneRotMinSpeed_Function(float)	
0x004ECF20	?damage_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damage_Function(int)	
0x004ECF50	?meleeDamage_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeDamage_Function(int)	
0x004ECF80	?sensitivityScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::sensitivityScale_Function(float)	
0x004ECFC0	?damageInnerRadius_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damageInnerRadius_Function(int)	
0x004ECFF0	?damageOuterRadius_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damageOuterRadius_Function(int)	
0x004ED020	?minDamagePercent_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::minDamagePercent_Function(int)	
0x004ED050	?fireDelay_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::fireDelay_Function(int)	
0x004ED080	?meleeDelay_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeDelay_Function(int)	
0x004ED0B0	?fireTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::fireTime_Function(int)	
0x004ED0E0	?rechamberTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::rechamberTime_Function(int)	
0x004ED110	?rechamberBoltTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::rechamberBoltTime_Function(int)	
0x004ED140	?holdFireTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::holdFireTime_Function(int)	
0x004ED170	?meleeTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeTime_Function(int)	
0x004ED1A0	?reloadTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadTime_Function(int)	
0x004ED1D0	?reloadEmptyTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadEmptyTime_Function(int)	
0x004ED200	?reloadAddTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadAddTime_Function(int)	
0x004ED230	?reloadStartTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadStartTime_Function(int)	
0x004ED260	?reloadStartAddTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadStartAddTime_Function(int)	
0x004ED290	?reloadEndTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::reloadEndTime_Function(int)	
0x004ED2C0	?dropTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::dropTime_Function(int)	
0x004ED2F0	?raiseTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::raiseTime_Function(int)	
0x004ED320	?altDropTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::altDropTime_Function(int)	
0x004ED350	?altRaiseTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::altRaiseTime_Function(int)	
0x004ED380	?fuseTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::fuseTime_Function(int)	
0x004ED3B0	?moveSpeedScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::moveSpeedScale_Function(float)	
0x004ED3F0	?gunMaxPitch_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::gunMaxPitch_Function(float)	
0x004ED430	?gunMaxYaw_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::gunMaxYaw_Function(float)	
0x004ED470	?swayMaxAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayMaxAngle_Function(float)	
0x004ED4B0	?swayLerpSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayLerpSpeed_Function(float)	
0x004ED4F0	?swayPitchScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayPitchScale_Function(float)	
0x004ED530	?swayYawScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayYawScale_Function(float)	
0x004ED570	?swayHorizScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayHorizScale_Function(float)	
0x004ED5B0	?swayVertScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayVertScale_Function(float)	
0x004ED5F0	?swayShellShockScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::swayShellShockScale_Function(float)	
0x004ED630	?adsSwayMaxAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayMaxAngle_Function(float)	
0x004ED670	?adsSwayLerpSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayLerpSpeed_Function(float)	
0x004ED6B0	?adsSwayPitchScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayPitchScale_Function(float)	
0x004ED6F0	?adsSwayYawScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayYawScale_Function(float)	
0x004ED730	?adsSwayHorizScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayHorizScale_Function(float)	
0x004ED770	?adsSwayVertScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSwayVertScale_Function(float)	
0x004ED7B0	?takedamage_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::takedamage_Function(int)	
0x004ED7E0	?explosionRadius_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionRadius_Function(int)	
0x004ED810	?explosionInnerDamage_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionInnerDamage_Function(int)	
0x004ED840	?explosionOuterDamage_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionOuterDamage_Function(int)	
0x004ED870	?projectileSpeed_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::projectileSpeed_Function(int)	
0x004ED8A0	?projectileSpeedUp_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::projectileSpeedUp_Function(int)	
0x004ED8D0	?triggerRadius_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::triggerRadius_Function(int)	
0x004ED900	?adsTransInTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsTransInTime_Function(int)	
0x004ED930	?adsTransOutTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsTransOutTime_Function(int)	
0x004ED960	?adsIdleAmount_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsIdleAmount_Function(float)	
0x004ED9A0	?adsZoomFov_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsZoomFov_Function(float)	
0x004ED9E0	?adsSensitivityScale_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSensitivityScale_Function(float)	
0x004EDA20	?adsZoomInFrac_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsZoomInFrac_Function(float)	
0x004EDA60	?adsZoomOutFrac_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsZoomOutFrac_Function(float)	
0x004EDAA0	?adsOverlayWidth_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsOverlayWidth_Function(float)	
0x004EDAE0	?adsOverlayHeight_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsOverlayHeight_Function(float)	
0x004EDB20	?adsBobFactor_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsBobFactor_Function(float)	
0x004EDB60	?adsViewBobMult_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewBobMult_Function(float)	
0x004EDBA0	?adsAimPitch_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsAimPitch_Function(float)	
0x004EDBE0	?adsCrosshairInFrac_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsCrosshairInFrac_Function(float)	
0x004EDC20	?adsCrosshairOutFrac_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsCrosshairOutFrac_Function(float)	
0x004EDC60	?adsReloadTransTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsReloadTransTime_Function(int)	
0x004EDC90	?adsTransBlendTime_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsTransBlendTime_Function(int)	
0x004EDCC0	?adsGunKickPitchMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickPitchMin_Function(float)	
0x004EDD00	?adsGunKickPitchMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickPitchMax_Function(float)	
0x004EDD40	?adsGunKickYawMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickYawMin_Function(float)	
0x004EDD80	?adsGunKickYawMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickYawMax_Function(float)	
0x004EDDC0	?adsGunKickAccel_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickAccel_Function(float)	
0x004EDE00	?adsGunKickSpeedMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickSpeedMax_Function(float)	
0x004EDE40	?adsGunKickSpeedDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickSpeedDecay_Function(float)	
0x004EDE80	?adsGunKickStaticDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsGunKickStaticDecay_Function(float)	
0x004EDEC0	?adsViewKickPitchMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewKickPitchMin_Function(float)	
0x004EDF00	?adsViewKickPitchMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewKickPitchMax_Function(float)	
0x004EDF40	?adsViewKickYawMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewKickYawMin_Function(float)	
0x004EDF80	?adsViewKickYawMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewKickYawMax_Function(float)	
0x004EDFC0	?adsViewKickCenterSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsViewKickCenterSpeed_Function(float)	
0x004EE000	?adsSpread_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpread_Function(float)	
0x004EE040	?adsSpreadDucked_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpreadDucked_Function(float)	
0x004EE080	?adsSpreadProne_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpreadProne_Function(float)	
0x004EE0C0	?hipSpreadStandMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadStandMin_Function(float)	
0x004EE100	?hipSpreadDuckedMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadDuckedMin_Function(float)	
0x004EE140	?hipSpreadProneMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadProneMin_Function(float)	
0x004EE180	?hipSpreadMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadMax_Function(float)	
0x004EE1C0	?hipSpreadDecayRate_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadDecayRate_Function(float)	
0x004EE200	?hipSpreadFireAdd_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadFireAdd_Function(float)	
0x004EE240	?hipSpreadTurnAdd_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadTurnAdd_Function(float)	
0x004EE280	?hipSpreadMoveAdd_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadMoveAdd_Function(float)	
0x004EE2C0	?hipSpreadDuckedDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadDuckedDecay_Function(float)	
0x004EE300	?hipSpreadProneDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadProneDecay_Function(float)	
0x004EE340	?hipReticleSidePos_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipReticleSidePos_Function(float)	
0x004EE380	?hipIdleAmount_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipIdleAmount_Function(float)	
0x004EE3C0	?hipGunKickPitchMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickPitchMin_Function(float)	
0x004EE400	?hipGunKickPitchMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickPitchMax_Function(float)	
0x004EE440	?hipGunKickYawMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickYawMin_Function(float)	
0x004EE480	?hipGunKickYawMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickYawMax_Function(float)	
0x004EE4C0	?hipGunKickAccel_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickAccel_Function(float)	
0x004EE500	?hipGunKickSpeedMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickSpeedMax_Function(float)	
0x004EE540	?hipGunKickSpeedDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickSpeedDecay_Function(float)	
0x004EE580	?hipGunKickStaticDecay_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipGunKickStaticDecay_Function(float)	
0x004EE5C0	?hipViewKickPitchMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipViewKickPitchMin_Function(float)	
0x004EE600	?hipViewKickPitchMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipViewKickPitchMax_Function(float)	
0x004EE640	?hipViewKickYawMin_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipViewKickYawMin_Function(float)	
0x004EE680	?hipViewKickYawMax_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipViewKickYawMax_Function(float)	
0x004EE6C0	?hipViewKickCenterSpeed_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipViewKickCenterSpeed_Function(float)	
0x004EE700	?aiEffectiveRange_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::aiEffectiveRange_Function(float)	
0x004EE740	?aiMissRange_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::aiMissRange_Function(float)	
0x004EE780	?aiDamageMod_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::aiDamageMod_Function(float)	
0x004EE7C0	?bulletConeAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::bulletConeAngle_Function(float)	
0x004EE800	?adsBulletConeAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsBulletConeAngle_Function(float)	
0x004EE840	?animIKOffsetTime_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKOffsetTime_Function(float)	
0x004EE880	?animIKOffsetForce_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKOffsetForce_Function(float)	
0x004EE8C0	?animIKOffsetDist_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKOffsetDist_Function(float)	
0x004EE900	?animIKPitchTime_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKPitchTime_Function(float)	
0x004EE940	?animIKPitchForce_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKPitchForce_Function(float)	
0x004EE980	?animIKPitchAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKPitchAngle_Function(float)	
0x004EE9C0	?animIKTorsoRecoilPitchTime_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKTorsoRecoilPitchTime_Function(float)	
0x004EEA00	?animIKTorsoRecoilPitchForce_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKTorsoRecoilPitchForce_Function(float)	
0x004EEA40	?animIKTorsoRecoilPitchAngle_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::animIKTorsoRecoilPitchAngle_Function(float)	
0x004EEA80	?damageMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damageMP_Function(int)	
0x004EEAB0	?meleeDamageMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeDamageMP_Function(int)	
0x004EEAE0	?damageInnerRadiusMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damageInnerRadiusMP_Function(int)	
0x004EEB10	?damageOuterRadiusMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::damageOuterRadiusMP_Function(int)	
0x004EEB40	?minDamagePercentMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::minDamagePercentMP_Function(int)	
0x004EEB70	?fireDelayMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::fireDelayMP_Function(int)	
0x004EEBA0	?meleeDelayMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeDelayMP_Function(int)	
0x004EEBD0	?fireTimeMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::fireTimeMP_Function(int)	
0x004EEC00	?meleeTimeMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::meleeTimeMP_Function(int)	
0x004EEC30	?explosionRadiusMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionRadiusMP_Function(int)	
0x004EEC60	?explosionInnerDamageMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionInnerDamageMP_Function(int)	
0x004EEC90	?explosionOuterDamageMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::explosionOuterDamageMP_Function(int)	
0x004EECC0	?maxAmmoMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::maxAmmoMP_Function(int)	
0x004EECF0	?sensitivityScaleMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::sensitivityScaleMP_Function(float)	
0x004EED30	?adsZoomFovMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsZoomFovMP_Function(float)	
0x004EED70	?adsTransInTimeMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsTransInTimeMP_Function(int)	
0x004EEDA0	?adsTransOutTimeMP_Function@weaponFuncs@@YAHH@Z	int __cdecl weaponFuncs::adsTransOutTimeMP_Function(int)	
0x004EEDD0	?adsSensitivityScaleMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSensitivityScaleMP_Function(float)	
0x004EEE10	?adsSpreadMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpreadMP_Function(float)	
0x004EEE50	?adsSpreadDuckedMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpreadDuckedMP_Function(float)	
0x004EEE90	?adsSpreadProneMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::adsSpreadProneMP_Function(float)	
0x004EEED0	?hipSpreadStandMinMP_Function@weaponFuncs@@YAMM@Z	float __cdecl weaponFuncs::hipSpreadStandMinMP_Function(float)	
