index	status	map_line
1	PORTED	0002:00201cc0 ?get_normal@cdlPlane@@QBEABVDir3@math@@XZ 009F11C0 f i game.o  PORTED: restored exact IDA accessor returning the plane normal view
2	PORTED	0002:00201cd0 ?get_sphere_radius@cdl_object_t@@QBEMXZ 009F11D0 f i game.o  PORTED: restored exact IDA sphere_radius accessor
3	PORTED	0002:00201ce0 ?get_sflags@cdl_object_t@@QBEHXZ 009F11E0 f i game.o  PORTED: restored exact IDA sflags accessor
4	VERIFIED	0002:00201cf0 ??0subdivision_visitor@@QAE@XZ 009F11F0 f i game.o
5	PORTED	0002:00201d00 ??0Color32@@QAE@EEEE@Z 009F1200 f i game.o  PORTED: restored exact IDA channel-ordering constructor
6	PORTED	0002:00201d30 ?to_color@Color32@@QAE?AVColor@@XZ 009F1230 f i game.o  PORTED: restored exact IDA byte-to-float conversion
7	VERIFIED	0002:00201da0 ?Inst@DCGBankManager@@SAPAV1@XZ 009F12A0 f i game.o  VERIFIED: existing source returns DCGBankManager::sInst exactly
8	PORTED	0002:00201db0 ?Count@CGBankManager@@QBEHXZ 009F12B0 f i game.o  PORTED: restored exact IDA mCount accessor
9	PORTED	0002:00201dc0 ?nullify_buffer@phys_memory_heap@@QAEXXZ 009F12C0 f i game.o  PORTED: restored exact IDA null-pointer reset
10	VERIFIED	0002:00201de0 ?set_buffer@phys_memory_heap@@QAEXQAXHH@Z 009F12E0 f i game.o
11	PORTED	0002:00201f00 ??0proxy_obj_t@@QAE@EGE@Z 009F1400 f i game.o  PORTED: restored exact IDA field-ordering constructor
12	SKIPPED	0002:00201f30 ?abs@@YAMM@Z 009F1430 f i game.o  SKIPPED: MSVC CRT supplies the exact float abs runtime helper
13	PORTED	0002:00201f40 ?IsNode@BspNode@@QBE_NXZ 009F1440 f i game.o  PORTED: restored exact IDA contents == -1 query on the authoritative local type
14	PORTED	0002:00201f50 ?Initialize@CachedLightGrid@@QAEXXZ 009F1450 f i game.o  PORTED: restored exact IDA lastPos FLT_MAX and moved initialization with IDA-sized types
15	PORTED	0002:00201f80 ?ae_stricmp@@YAHPBD0@Z 009F1480 f i game.o  PORTED: restored exact null handling and unbounded ae_stricmpn sentinel behavior from IDA
16	PORTED	0002:00201fb0 ?tlLockScratchpad@@YAXXZ 009F14B0 f i game.o  PORTED: restored exact IDA lock/assert state transition
17	PORTED	0002:00202000 ?tlUnlockScratchpad@@YAXXZ 009F1500 f i game.o  PORTED: restored exact IDA unlock/assert state transition
18	PORTED	0002:00202050 ?Set@Packed@Dir3@math@@QAEXABV23@@Z 009F1550 f i game.o  PORTED: restored exact IDA component extraction into packed storage
19	PORTED	0002:002020e0 ??4Packed@Dir3@math@@QAEABU012@ABV12@@Z 009F15E0 f i game.o  PORTED: restored exact IDA packed assignment
20	PORTED	0002:00202170 ?GetW@Position3@math@@QBEMXZ 009F1670 f i game.o  PORTED: restored exact IDA constant W accessor
21	PORTED	0002:00202180 ??0Packed@Position3@math@@QAE@ABV12@@Z 009F1680 f i game.o  PORTED: restored exact IDA packed-position constructor
22	PORTED	0002:00202210 ?get_bp_info@Entity@@QAEPAVbiped_phys_info@@XZ 009F1710 f i game.o  PORTED: restored exact IDA mBPInfo getter
23	VERIFIED	0002:00202220 ?set_bp_info@Entity@@QAEXPAVbiped_phys_info@@@Z 009F1720 f i game.o
24	PORTED	0002:002022c0 ??4Dir3@math@@QAEABV01@ABUPacked@01@@Z 009F17C0 f i game.o  PORTED: restored exact packed XYZ to SIMD assignment
25	PORTED	0002:00202330 ??4Position3@math@@QAEABV01@ABVDir3@1@@Z 009F1830 f i game.o  PORTED: restored exact Dir3 SIMD assignment
26	VERIFIED	0002:00202350 ??0AnimNotifyTask@@QAE@V?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@PBDI@Z 009F1850 f game.o
27	VERIFIED	0002:002023c0 ??0AnimNotifyTask@@QAE@V?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@II@Z 009F18C0 f game.o
28	VERIFIED	0002:002023f0 ?LanguageStr@AudioBankMgr@@ABEPBDW4ELanguage@@@Z 009F18F0 f game.o
29	VERIFIED	0002:002024a0 ?SyncLoadBank@SoundDevice@@AAE?AW4nslBankID@@PBD@Z 009F19A0 f game.o
30	VERIFIED	0002:002025a0 ?GetWaveDuration@SoundDevice@@QAEMW4nslWaveID@@@Z 009F1AA0 f game.o
31	VERIFIED	0002:00202600 ?GetPlaybackPosition@Sound@SoundDevice@@QBEMXZ 009F1B00 f game.o
32	VERIFIED	0002:00202610 ?SetReverb@Sound@SoundDevice@@QAEX_N@Z 009F1B10 f game.o
33	VERIFIED	0002:00202690 ?GetVolume@Sound@SoundDevice@@QBEMXZ 009F1B90 f game.o
34	VERIFIED	0002:002026b0 ?GetSourceName@Sound@SoundDevice@@QBEPBDXZ 009F1BB0 f game.o
35	VERIFIED	0002:002026d0 ?PlayQueued@Sound@SoundDevice@@QAEXXZ 009F1BD0 f game.o
36	VERIFIED	0002:00202730 ?Pause@Sound@SoundDevice@@QAEXXZ 009F1C30 f game.o
37	VERIFIED	0002:002027a0 ?Unpause@Sound@SoundDevice@@QAEXXZ 009F1CA0 f game.o
38	VERIFIED	0002:00202810 ?DampenGuard@Sound@SoundDevice@@QAEXXZ 009F1D10 f game.o
39	VERIFIED	0002:00202820 ?IsQueuing@Sound@SoundDevice@@QBE_NXZ 009F1D20 f game.o
40	VERIFIED	0002:00202890 ?IsQueued@Sound@SoundDevice@@QBE_NXZ 009F1D90 f game.o
41	VERIFIED	0002:00202900 ?IsPlaying@Sound@SoundDevice@@QBE_NXZ 009F1E00 f game.o
42	VERIFIED	0002:00202930 ?IsPaused@Sound@SoundDevice@@QBE_NXZ 009F1E30 f game.o
43	VERIFIED	0002:00202940 ?IsFinished@Sound@SoundDevice@@QBE_NXZ 009F1E40 f game.o
44	VERIFIED	0002:00202980 ?IsLooped@Sound@SoundDevice@@QBE_NXZ 009F1E80 f game.o
45	VERIFIED	0002:002029d0 ?GetLength@Sound@SoundDevice@@QBEMXZ 009F1ED0 f game.o
46	VERIFIED	0002:00202a10 ?ScaleVolume@SoundDevice@@QAEXM@Z 009F1F10 f game.o
47	VERIFIED	0002:00202a80 ?PauseAllSounds@SoundDevice@@QAEXXZ 009F1F80 f game.o
48	VERIFIED	0002:00202ab0 ?GetSoundFromSourceId@SoundDevice@@QAEPAVSound@1@W4nslSourceID@@@Z 009F1FB0 f game.o
49	VERIFIED	0002:00202ae0 ?UnpauseAllSounds@SoundDevice@@QAEXXZ 009F1FE0 f game.o
50	VERIFIED	0002:00202b10 ?GetNumberOfListeners@SoundDevice@@QAEHXZ 009F2010 f game.o
51	VERIFIED	0002:00202b20 ?SetNumberOfListeners@SoundDevice@@QAEXH@Z 009F2020 f game.o
52	VERIFIED	0002:00202b40 ?IsSoundReady@SoundDevice@@QAE_NXZ 009F2040 f game.o
53	VERIFIED	0002:00202b60 ?DampenAllSounds@SoundDevice@@QAEXM@Z 009F2060 f game.o
54	VERIFIED	0002:00202b80 ?UndampenAllSounds@SoundDevice@@QAEXXZ 009F2080 f game.o
55	VERIFIED	0002:00202b90 ?SetEnvironment@SoundDevice@@QAEXW4ESoundEnvironment@@@Z 009F2090 f game.o
