ida_ea	name	signature	source_cpp
0x00602350	??0AnimNotifyTask@@QAE@V?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@PBDI@Z	public: __thiscall AnimNotifyTask::AnimNotifyTask(class DbLinkedHandle<class EntityHandleDb,class Entity>,char const *,unsigned int)	
0x006023C0	??0AnimNotifyTask@@QAE@V?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@II@Z	public: __thiscall AnimNotifyTask::AnimNotifyTask(class DbLinkedHandle<class EntityHandleDb,class Entity>,unsigned int,unsigned int)	
0x006023F0	?LanguageStr@AudioBankMgr@@ABEPBDW4ELanguage@@@Z	private: char const * __thiscall AudioBankMgr::LanguageStr(enum ELanguage)const 	
0x006024A0	?SyncLoadBank@SoundDevice@@AAE?AW4nslBankID@@PBD@Z	private: enum nslBankID __thiscall SoundDevice::SyncLoadBank(char const *)	
0x006025A0	?GetWaveDuration@SoundDevice@@QAEMW4nslWaveID@@@Z	public: float __thiscall SoundDevice::GetWaveDuration(enum nslWaveID)	
0x00602600	?GetPlaybackPosition@Sound@SoundDevice@@QBEMXZ	public: float __thiscall SoundDevice::Sound::GetPlaybackPosition(void)const 	
0x00602610	?SetReverb@Sound@SoundDevice@@QAEX_N@Z	public: void __thiscall SoundDevice::Sound::SetReverb(bool)	
0x00602690	?GetVolume@Sound@SoundDevice@@QBEMXZ	public: float __thiscall SoundDevice::Sound::GetVolume(void)const 	
0x006026B0	?GetSourceName@Sound@SoundDevice@@QBEPBDXZ	public: char const * __thiscall SoundDevice::Sound::GetSourceName(void)const 	
0x006026D0	?PlayQueued@Sound@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::Sound::PlayQueued(void)	
0x00602730	?Pause@Sound@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::Sound::Pause(void)	
0x006027A0	?Unpause@Sound@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::Sound::Unpause(void)	
0x00602810	?DampenGuard@Sound@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::Sound::DampenGuard(void)	
0x00602820	?IsQueuing@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsQueuing(void)const 	
0x00602890	?IsQueued@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsQueued(void)const 	
0x00602900	?IsPlaying@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsPlaying(void)const 	
0x00602930	?IsPaused@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsPaused(void)const 	
0x00602940	?IsFinished@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsFinished(void)const 	
0x00602980	?IsLooped@Sound@SoundDevice@@QBE_NXZ	public: bool __thiscall SoundDevice::Sound::IsLooped(void)const 	
0x006029D0	?GetLength@Sound@SoundDevice@@QBEMXZ	public: float __thiscall SoundDevice::Sound::GetLength(void)const 	
0x00602A10	?ScaleVolume@SoundDevice@@QAEXM@Z	public: void __thiscall SoundDevice::ScaleVolume(float)	
0x00602A80	?PauseAllSounds@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::PauseAllSounds(void)	
0x00602AB0	?GetSoundFromSourceId@SoundDevice@@QAEPAVSound@1@W4nslSourceID@@@Z	public: class SoundDevice::Sound * __thiscall SoundDevice::GetSoundFromSourceId(enum nslSourceID)	
0x00602AE0	?UnpauseAllSounds@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::UnpauseAllSounds(void)	
0x00602B10	?GetNumberOfListeners@SoundDevice@@QAEHXZ	public: int __thiscall SoundDevice::GetNumberOfListeners(void)	
0x00602B20	?SetNumberOfListeners@SoundDevice@@QAEXH@Z	public: void __thiscall SoundDevice::SetNumberOfListeners(int)	
0x00602B40	?IsSoundReady@SoundDevice@@QAE_NXZ	public: bool __thiscall SoundDevice::IsSoundReady(void)	
0x00602B60	?DampenAllSounds@SoundDevice@@QAEXM@Z	public: void __thiscall SoundDevice::DampenAllSounds(float)	
0x00602B80	?UndampenAllSounds@SoundDevice@@QAEXXZ	public: void __thiscall SoundDevice::UndampenAllSounds(void)	
