ida_ea	va	name	signature	family
0x0071EF50	0x00B0E450	?CheckCommands@@YAXPBD@Z	void __cdecl CheckCommands(char const *)	game_xbox.o
0x0071EFF0	0x00B0E4F0	?Sys_Mkdir@@YAXPBD@Z	void __cdecl Sys_Mkdir(char const *)	game_xbox.o
0x0071F000	0x00B0E500	?Sys_Cwd@@YAPADXZ	char * __cdecl Sys_Cwd(void)	game_xbox.o
0x0071F010	0x00B0E510	?Sys_DefaultCDPath@@YAPADXZ	char * __cdecl Sys_DefaultCDPath(void)	game_xbox.o
0x0071F020	0x00B0E520	?Sys_DefaultBasePath@@YAPADXZ	char * __cdecl Sys_DefaultBasePath(void)	game_xbox.o
0x0071F030	0x00B0E530	?Sys_DefaultHomePath@@YAPADXZ	char * __cdecl Sys_DefaultHomePath(void)	game_xbox.o
0x0071F040	0x00B0E540	?Sys_DefaultInstallPath@@YAPADXZ	char * __cdecl Sys_DefaultInstallPath(void)	game_xbox.o
0x0071F050	0x00B0E550	?Sys_ListFilteredFiles@@YAXPBDPAD1PAPADPAH@Z	void __cdecl Sys_ListFilteredFiles(char const *,char *,char *,char * *,int *)	game_xbox.o
0x0071F1E0	0x00B0E6E0	?linelen@@YAHPBD@Z	int __cdecl linelen(char const *)	game_xbox.o
0x0071F210	0x00B0E710	?ReadLine@@YAHPBDPAD@Z	int __cdecl ReadLine(char const *,char *)	game_xbox.o
0x0071F260	0x00B0E760	?Sys_ListFiles@@YAPAPADPBD0PADPAHH@Z	char * * __cdecl Sys_ListFiles(char const *,char const *,char *,int *,int)	game_xbox.o
0x0071F420	0x00B0E920	?Sys_FreeFileList@@YAXPAPAD@Z	void __cdecl Sys_FreeFileList(char * *)	game_xbox.o
0x0071F460	0x00B0E960	?Sys_DirectoryHasContents@@YAHPBD@Z	int __cdecl Sys_DirectoryHasContents(char const *)	game_xbox.o
0x0071F520	0x00B0EA20	?Sys_InitStreamThread@@YAXXZ	void __cdecl Sys_InitStreamThread(void)	game_xbox.o
0x0071F530	0x00B0EA30	?Sys_ShutdownStreamThread@@YAXXZ	void __cdecl Sys_ShutdownStreamThread(void)	game_xbox.o
0x0071F540	0x00B0EA40	?Sys_BeginStreamedFile@@YAXHH@Z	void __cdecl Sys_BeginStreamedFile(int,int)	game_xbox.o
0x0071F550	0x00B0EA50	?Sys_EndStreamedFile@@YAXH@Z	void __cdecl Sys_EndStreamedFile(int)	game_xbox.o
0x0071F560	0x00B0EA60	?Sys_StreamedRead@@YAHPAXHHH@Z	int __cdecl Sys_StreamedRead(void *,int,int,int)	game_xbox.o
0x0071F580	0x00B0EA80	?Sys_StreamSeek@@YAXHHH@Z	void __cdecl Sys_StreamSeek(int,int,int)	game_xbox.o
0x0071F590	0x00B0EA90	?Sys_InitializeCriticalSection@@YAPAXXZ	void * __cdecl Sys_InitializeCriticalSection(void)	game_xbox.o
0x0071F5A0	0x00B0EAA0	?Sys_EnterCriticalSection@@YAXPAX@Z	void __cdecl Sys_EnterCriticalSection(void *)	game_xbox.o
0x0071F5B0	0x00B0EAB0	?Sys_LeaveCriticalSection@@YAXPAX@Z	void __cdecl Sys_LeaveCriticalSection(void *)	game_xbox.o
0x0071F5C0	0x00B0EAC0	?Sys_OutOfMemError@@YAXXZ	void __cdecl Sys_OutOfMemError(void)	game_xbox.o
0x0071F5D0	0x00B0EAD0	?Sys_ConfigureChecksumChanged@@YAHH@Z	int __cdecl Sys_ConfigureChecksumChanged(int)	game_xbox.o
0x0071F5E0	0x00B0EAE0	?GLimp_SetGamma@@YAXQAE00@Z	void __cdecl GLimp_SetGamma(unsigned char * const,unsigned char * const,unsigned char * const)	game_xbox.o
0x0071F5F0	0x00B0EAF0	_time	_time	game_xbox.o
0x0071F600	0x00B0EB00	?Sys_QueEvent@@YAXHW4sysEventType_t@@HHHPAX@Z	void __cdecl Sys_QueEvent(int,enum sysEventType_t,int,int,int,void *)	game_xbox.o
0x0071F6C0	0x00B0EBC0	?Sys_LoadingKeepAlive@@YAXXZ	void __cdecl Sys_LoadingKeepAlive(void)	game_xbox.o
0x0071F6D0	0x00B0EBD0	?Sys_GetEvent@@YA?AUsysEvent_t@@XZ	struct sysEvent_t __cdecl Sys_GetEvent(void)	game_xbox.o
