ida_ea	va	name	signature	family
0x00834E80	0x00C24380	?jqInit@@YAXXZ	void __cdecl jqInit(void)	jobqueue.o
0x00834E90	0x00C24390	?jqGetMaxWorkers@@YAHXZ	int __cdecl jqGetMaxWorkers(void)	jobqueue.o
0x00834EA0	0x00C243A0	?jqStop@@YAXXZ	void __cdecl jqStop(void)	jobqueue.o
0x00834EF0	0x00C243F0	?jqLockBatchPool@@YAXXZ	void __cdecl jqLockBatchPool(void)	jobqueue.o
0x00834F00	0x00C24400	?jqUnlockBatchPool@@YAXXZ	void __cdecl jqUnlockBatchPool(void)	jobqueue.o
0x00834F10	0x00C24410	?jqStart@@YAXH@Z	void __cdecl jqStart(int)	jobqueue.o
0x00834F90	0x00C24490	?jqSetBatchPoolSize@@YAXH@Z	void __cdecl jqSetBatchPoolSize(int)	jobqueue.o
0x008350A0	0x00C245A0	?jqAddBatch@@YAHABUjqBatch@@@Z	int __cdecl jqAddBatch(struct jqBatch const &)	jobqueue.o
0x008351F0	0x00C246F0	?jqSetBatchGroupPoolSize@@YAXH@Z	void __cdecl jqSetBatchGroupPoolSize(int)	jobqueue.o
0x00835280	0x00C24780	?jqAddBatchGroupDependency@@YAXHH@Z	void __cdecl jqAddBatchGroupDependency(int,int)	jobqueue.o
0x008352B0	0x00C247B0	?jqRemoveBatchGroupDependency@@YAXHH@Z	void __cdecl jqRemoveBatchGroupDependency(int,int)	jobqueue.o
0x00835320	0x00C24820	?jqCreateBatchGroup@@YAHXZ	int __cdecl jqCreateBatchGroup(void)	jobqueue.o
0x00835390	0x00C24890	?jqDestroyBatchGroup@@YAXH@Z	void __cdecl jqDestroyBatchGroup(int)	jobqueue.o
0x008353D0	0x00C248D0	?jqShutdown@@YAXXZ	void __cdecl jqShutdown(void)	jobqueue.o
