ida_ea	va	name	signature	family
0x0098AFC0	0x00D7A4C0	?RegisterHashStrings@mp_anim_wad@@YAXXZ	void __cdecl mp_anim_wad::RegisterHashStrings(void)	mp_anim_wad.o
0x0098C590	0x00D7BA90	?ResolveAnim@mp_anim_wad@@YAIIIPAII@Z	unsigned int __cdecl mp_anim_wad::ResolveAnim(unsigned int,unsigned int,unsigned int *,unsigned int)	mp_anim_wad.o
0x0098C710	0x00D7BC10	?ResolveAnimName@mp_anim_wad@@YAPBDI@Z	char const * __cdecl mp_anim_wad::ResolveAnimName(unsigned int)	mp_anim_wad.o
0x0098C790	0x00D7BC90	?ValidateAnimationIndices@mp_anim_wad@@YA_NXZ	bool __cdecl mp_anim_wad::ValidateAnimationIndices(void)	mp_anim_wad.o
0x0098C870	0x00D7BD70	?GetBroAnim@mp_anim_wad@@YAIII@Z	unsigned int __cdecl mp_anim_wad::GetBroAnim(unsigned int,unsigned int)	mp_anim_wad.o
0x0098C8C0	0x00D7BDC0	?GetEE_script_delay@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_delay(class Broc::entity)	mp_anim_wad.o
0x0098C910	0x00D7BE10	?IsEEDefined_script_delay@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_delay(class Broc::entity)	mp_anim_wad.o
0x0098C9C0	0x00D7BEC0	?GetEE_dontdropweapon@@YAAAUbint@@Ventity@Broc@@@Z	struct bint & __cdecl GetEE_dontdropweapon(class Broc::entity)	mp_anim_wad.o
0x0098CA10	0x00D7BF10	?IsEEDefined_dontdropweapon@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_dontdropweapon(class Broc::entity)	mp_anim_wad.o
0x0098CAC0	0x00D7BFC0	?GetEE_script_explodertype@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_explodertype(class Broc::entity)	mp_anim_wad.o
0x0098CB10	0x00D7C010	?IsEEDefined_script_explodertype@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_explodertype(class Broc::entity)	mp_anim_wad.o
0x0098CC10	0x00D7C110	?GetEE_script_friendname@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_friendname(class Broc::entity)	mp_anim_wad.o
0x0098CC60	0x00D7C160	?IsEEDefined_script_friendname@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_friendname(class Broc::entity)	mp_anim_wad.o
0x0098CD60	0x00D7C260	?GetEE_script_prespawn_delay@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_prespawn_delay(class Broc::entity)	mp_anim_wad.o
0x0098CDB0	0x00D7C2B0	?IsEEDefined_script_prespawn_delay@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_prespawn_delay(class Broc::entity)	mp_anim_wad.o
0x0098CE60	0x00D7C360	?GetEE_script_burst_max@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_burst_max(class Broc::entity)	mp_anim_wad.o
0x0098CEB0	0x00D7C3B0	?IsEEDefined_script_burst_max@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_burst_max(class Broc::entity)	mp_anim_wad.o
0x0098CF60	0x00D7C460	?GetEE_script_offradius@@YAAAUbint@@Ventity@Broc@@@Z	struct bint & __cdecl GetEE_script_offradius(class Broc::entity)	mp_anim_wad.o
0x0098CFB0	0x00D7C4B0	?IsEEDefined_script_offradius@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_offradius(class Broc::entity)	mp_anim_wad.o
0x0098D060	0x00D7C560	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_location(class Broc::entity)	mp_anim_wad.o
0x0098D0B0	0x00D7C5B0	?IsEEDefined_script_location@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_location(class Broc::entity)	mp_anim_wad.o
