ida_ea	name	signature	source_cpp
0x0098AFC0	?RegisterHashStrings@mp_anim_wad@@YAXXZ	void __cdecl mp_anim_wad::RegisterHashStrings(void)	
0x0098C590	?ResolveAnim@mp_anim_wad@@YAIIIPAII@Z	unsigned int __cdecl mp_anim_wad::ResolveAnim(unsigned int,unsigned int,unsigned int *,unsigned int)	
0x0098C710	?ResolveAnimName@mp_anim_wad@@YAPBDI@Z	char const * __cdecl mp_anim_wad::ResolveAnimName(unsigned int)	
0x0098C790	?ValidateAnimationIndices@mp_anim_wad@@YA_NXZ	bool __cdecl mp_anim_wad::ValidateAnimationIndices(void)	
0x0098C870	?GetBroAnim@mp_anim_wad@@YAIII@Z	unsigned int __cdecl mp_anim_wad::GetBroAnim(unsigned int,unsigned int)	
0x0098C8C0	?GetEE_script_delay@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_delay(class Broc::entity)	
0x0098C910	?IsEEDefined_script_delay@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_delay(class Broc::entity)	
0x0098C9C0	?GetEE_dontdropweapon@@YAAAUbint@@Ventity@Broc@@@Z	struct bint & __cdecl GetEE_dontdropweapon(class Broc::entity)	
0x0098CA10	?IsEEDefined_dontdropweapon@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_dontdropweapon(class Broc::entity)	
0x0098CAC0	?GetEE_script_explodertype@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_explodertype(class Broc::entity)	
0x0098CB10	?IsEEDefined_script_explodertype@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_explodertype(class Broc::entity)	
0x0098CC10	?GetEE_script_friendname@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_friendname(class Broc::entity)	
0x0098CC60	?IsEEDefined_script_friendname@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_friendname(class Broc::entity)	
0x0098CD60	?GetEE_script_prespawn_delay@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_prespawn_delay(class Broc::entity)	
0x0098CDB0	?IsEEDefined_script_prespawn_delay@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_prespawn_delay(class Broc::entity)	
0x0098CE60	?GetEE_script_burst_max@@YAAAUbfloat@@Ventity@Broc@@@Z	struct bfloat & __cdecl GetEE_script_burst_max(class Broc::entity)	
0x0098CEB0	?IsEEDefined_script_burst_max@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_burst_max(class Broc::entity)	
0x0098CF60	?GetEE_script_offradius@@YAAAUbint@@Ventity@Broc@@@Z	struct bint & __cdecl GetEE_script_offradius(class Broc::entity)	
0x0098CFB0	?IsEEDefined_script_offradius@@YA?AUbbool@@Ventity@Broc@@@Z	struct bbool __cdecl IsEEDefined_script_offradius(class Broc::entity)	
0x0098D060	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	class Broc::string & __cdecl GetEE_script_location(class Broc::entity)	
