ida_ea	name	signature	source_cpp
0x00C8F720	?RegisterHashStrings@mp_level_wad@@YAXXZ	void __cdecl mp_level_wad::RegisterHashStrings(void)	
0x00C8F740	?ResolveAnim@mp_level_wad@@YAIIIPAII@Z	unsigned int __cdecl mp_level_wad::ResolveAnim(unsigned int,unsigned int,unsigned int *,unsigned int)	
0x00C8F790	?ResolveAnimName@mp_level_wad@@YAPBDI@Z	char const * __cdecl mp_level_wad::ResolveAnimName(unsigned int)	
0x00C8F7D0	?ValidateAnimationIndices@mp_level_wad@@YA_NXZ	bool __cdecl mp_level_wad::ValidateAnimationIndices(void)	
0x00C8F830	?GetBroAnim@mp_level_wad@@YAIII@Z	unsigned int __cdecl mp_level_wad::GetBroAnim(unsigned int,unsigned int)	
0x00C8F880	?GetNextAnimTree@mp_level_wad@@YA_NHPADH@Z	bool __cdecl mp_level_wad::GetNextAnimTree(int,char *,int)	
0x00C8F8D0	?SpawnScriptThread@mp_level_wad@@YAII_NVentity@Broc@@11MMMAAUvector@3@@Z	unsigned int __cdecl mp_level_wad::SpawnScriptThread(unsigned int,bool,class Broc::entity,class Broc::entity,class Broc::entity,float,float,float,struct Broc::vector &)	
0x00C901E0	?ScriptThreadExists@mp_level_wad@@YA_NI@Z	bool __cdecl mp_level_wad::ScriptThreadExists(unsigned int)	
0x00C902F0	?mp_level_wad_EEGetFunctions@EEHelper@Broc@@YAXIPAP6AIPBD@ZPAP6AII@ZPAP6A_NI0@ZPAP6AXAAI@Z@Z	void __cdecl Broc::EEHelper::mp_level_wad_EEGetFunctions(unsigned int,unsigned int (__cdecl**)(char const *),unsigned int (__cdecl**)(unsigned int),bool (__cdecl**)(unsigned int,char const *),void (__cdecl**)(unsigned int &))	
0x00C94D50	?main@mp_level@@YAXXZ	void __cdecl mp_level::main(void)	
0x00C94D70	?hack_ps2_InitScript@mp_level@@YAXAAUBrocExports@@@Z	void __cdecl mp_level::hack_ps2_InitScript(struct BrocExports &)	
0x00C94E50	?AnimNamespaceVariableResolver@mp_level@@YAXHHHH@Z	void __cdecl mp_level::AnimNamespaceVariableResolver(int,int,int,int)	
0x00C94E90	?BrocAnimInitialize@mp_level@@YAXXZ	void __cdecl mp_level::BrocAnimInitialize(void)	
0x00C94EB0	?BrocAnimCleanup@mp_level@@YAXXZ	void __cdecl mp_level::BrocAnimCleanup(void)	
0x00C94ED0	?BrocAnimResolver@mp_level@@YAIPBD0@Z	unsigned int __cdecl mp_level::BrocAnimResolver(char const *,char const *)	
0x00C94F60	?BrocAnimDebug@mp_level@@YAXVentity@Broc@@@Z	void __cdecl mp_level::BrocAnimDebug(class Broc::entity)	
0x00C94F80	?MainThreadHook@mp_level@@YAXVentity@Broc@@@Z	void __cdecl mp_level::MainThreadHook(class Broc::entity)	
0x00C94FA0	?Shutdown@mp_level@@YAXXZ	void __cdecl mp_level::Shutdown(void)	
0x00C95160	?InternalMain@mp_level@@YAXXZ	void __cdecl mp_level::InternalMain(void)	
0x00C95CC0	?InitScript@mp_level@@YAP6AXXZPAPAUBrocAPI@@AAUBrocExports@@@Z	void (__cdecl*__cdecl mp_level::InitScript(struct BrocAPI * *,struct BrocExports &))(void)	
