index	status	map_line
1	PORTED	0002:0032af30 ??0sTime@knet@kuju@@QAE@XZ 00B1A430 f i mp.o
2	PORTED	0002:0032af40 ??0sTime@knet@kuju@@QAE@ABV012@@Z 00B1A440 f i mp.o
3	PORTED	0002:0032af60 ??HsTime@knet@kuju@@QBE?AV012@ABV012@@Z 00B1A460 f i mp.o
4	PORTED	0002:0032af80 ??8sTime@knet@kuju@@QBE_NABV012@@Z 00B1A480 f i mp.o
5	PORTED	0002:0032afa0 ??MsTime@knet@kuju@@QBE_NABV012@@Z 00B1A4A0 f i mp.o
6	PORTED	0002:0032afc0 ??OsTime@knet@kuju@@QBE_NABV012@@Z 00B1A4C0 f i mp.o
7	PORTED	0002:0032afe0 ?getMS@sTime@knet@kuju@@QBEJXZ 00B1A4E0 f i mp.o
8	PORTED	0002:0032aff0 ?bdMemcpy@@YAPAXQAXQBXI@Z 00B1A4F0 f i mp.o
9	PORTED	0002:0032b020 ?bdMemcmp@@YAHQBX0I@Z 00B1A520 f i mp.o
10	PORTED	0002:0032b050 ?bdMemset@@YAPAXQAXHI@Z 00B1A550 f i mp.o
11	PORTED	0002:0032b090 ?bdStrrchr@@YAPBDQBDH@Z 00B1A590 f i mp.o
12	PORTED	0002:0032b0a0 ?bdStrstr@@YAPBDQBD0@Z 00B1A5A0 f i mp.o
13	VERIFIED	0002:0032b0b0 ?bdFprintf@@YAHPAXPBDZZ 00B1A5B0 f i mp.o
14	PORTED	0002:0032b0d0 ?bdGetStderr@@YAPAXXZ 00B1A5D0 f i mp.o
15	PORTED	0002:0032b0e0 ?bdVsnprintf@@YAHPADIPBD0@Z 00B1A5E0 f i mp.o
16	PORTED	0002:0032b120 ??2bdLogImpl@@SAPAXI@Z 00B1A620 f i mp.o
17	PORTED	0002:0032b130 ??3bdLogImpl@@SAXPAX@Z 00B1A630 f i mp.o
18	PORTED	0002:0032b140 ??2bdSingletonRegistryImpl@@SAPAXI@Z 00B1A640 f i mp.o
19	PORTED	0002:0032b150 ??3bdSingletonRegistryImpl@@SAXPAX@Z 00B1A650 f i mp.o
20	PORTED	0002:0032b160 ??3bdString@@SAXPAX@Z 00B1A660 f i mp.o
21	PORTED	0002:0032b170 ??2bdString@@SAPAXIPAX@Z 00B1A670 f i mp.o
22	PORTED	0002:0032b180 ??3bdString@@SAXPAX0@Z 00B1A680 f i mp.o
23	VERIFIED	0002:0032b190 ?resetReadPosition@bdBitBuffer@@QAEXXZ 00B1A690 f i mp.o
24	VERIFIED	0002:0032b1a0 ?writeChar8@bdBitBuffer@@QAEXD@Z 00B1A6A0 f i mp.o
25	VERIFIED	0002:0032b1d0 ?writeUChar8@bdBitBuffer@@QAEXE@Z 00B1A6D0 f i mp.o
26	PORTED	0002:0032b200 ?writeString@bdBitBuffer@@QAEXABVbdString@@@Z 00B1A700 f i mp.o
27	VERIFIED	0002:0032b250 ?readBool@bdBitBuffer@@QAE_NAA_N@Z 00B1A750 f i mp.o
28	VERIFIED	0002:0032b2a0 ?testBool@bdBitBuffer@@QAE_NXZ 00B1A7A0 f i mp.o
29	VERIFIED	0002:0032b2f0 ?readUChar8@bdBitBuffer@@QAE_NAAE@Z 00B1A7F0 f i mp.o
30	VERIFIED	0002:0032b330 ?readChar8@bdBitBuffer@@QAE_NAAD@Z 00B1A830 f i mp.o
31	PORTED	0002:0032b370 ?readString@bdBitBuffer@@QAE_NQADI@Z 00B1A870 f i mp.o
32	PORTED	0002:0032b3e0 ??3bdInetAddr@@SAXPAX@Z 00B1A8E0 f i mp.o
33	PORTED	0002:0032b3f0 ??2bdCommonAddr@@SAPAXI@Z 00B1A8F0 f i mp.o
34	PORTED	0002:0032b400 ??3bdCommonAddr@@SAXPAX@Z 00B1A900 f i mp.o
35	PORTED	0002:0032b410 ?floor@@YAMM@Z 00B1A910 f i mp.o
36	VERIFIED	0002:0032b430 ?accept_input_from_all_controllers@controller@@QAEX_N@Z 00B1A930 f i mp.o
37	PORTED	0002:0032b460 ??0MPEntityHandle@@QAE@H@Z 00B1A960 f i mp.o
38	VERIFIED	0002:0032b480 ??0MPEntityHandle@@QAE@GG@Z 00B1A980 f i mp.o
39	PORTED	0002:0032b570 ?GetPeerId@MPEntityHandle@@QBEGXZ 00B1AA70 f i mp.o
40	PORTED	0002:0032b580 ?getUpdateTime@MultiplayerMgr@@QAE?AVsTime@knet@kuju@@XZ 00B1AA80 f i mp.o
41	PORTED	0002:0032b5a0 ?SetPlayerUpdateQueued@MultiplayerMgr@@QAEXXZ 00B1AAA0 f i mp.o
42	PORTED	0002:0032b5b0 ??2MPGameInfo@@SAPAXI@Z 00B1AAB0 f i mp.o
43	PORTED	0002:0032b5c0 ??3MPGameInfo@@SAXPAX@Z 00B1AAC0 f i mp.o
44	PORTED	0002:0032b5d0 ??0sAngle@kuju@@QAE@XZ 00B1AAD0 f i mp.o
45	PORTED	0002:0032b5e0 ?degrees@sAngle@kuju@@QBEMXZ 00B1AAE0 f i mp.o
46	PORTED	0002:0032b5f0 ?clamp@sAngle@kuju@@CAMM@Z 00B1AAF0 f i mp.o
47	VERIFIED	0002:0032b650 ??0MPMajorUpdate@@QAE@XZ 00B1AB50 f i mp.o
48	PORTED	0002:0032b710 ?Clear@MPMajorUpdate@@QAEXXZ 00B1AC10 f i mp.o
49	PORTED	0002:0032b7d0 ?GetVehicleId@MPPlayer@@QBEEXZ 00B1ACD0 f i mp.o
50	PORTED	0002:0032b7e0 ?IsMasterClient@MPPlayer@@QBE_NXZ 00B1ACE0 f i mp.o
51	PORTED	0002:0032b7f0 ?SetMasterClient@MPPlayer@@QAEX_N@Z 00B1ACF0 f i mp.o
52	PORTED	0002:0032b800 ?GetEntity@MPPlayer@@QBEPBVEntity@@XZ 00B1AD00 f i mp.o
53	VERIFIED	0002:0032b820 ?SetName@MPPlayer@@QAEXPBD@Z 00B1AD20 f i mp.o
54	PORTED	0002:0032b850 ?SetInVehicle@MPPlayer@@QAEX_NHE@Z 00B1AD50 f i mp.o
55	PORTED	0002:0032b870 ?IsInVehicle@MPPlayer@@QBE_NXZ 00B1AD70 f i mp.o
