ida_ea	va	name	signature	family
0x0072C480	0x00B1B980	?Stop@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::Stop(void)	mp.o
0x0072C4A0	0x00B1B9A0	?HandleDiscError@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::HandleDiscError(void)	mp.o
0x0072C4B0	0x00B1B9B0	?setSendInterval@MultiplayerMgr@@QAEXH@Z	public: void __thiscall MultiplayerMgr::setSendInterval(int)	mp.o
0x0072C4D0	0x00B1B9D0	?getSendInterval@MultiplayerMgr@@QBEMXZ	public: float __thiscall MultiplayerMgr::getSendInterval(void)const 	mp.o
0x0072C4E0	0x00B1B9E0	?AddTestClient@MultiplayerMgr@@QAEHXZ	public: int __thiscall MultiplayerMgr::AddTestClient(void)	mp.o
0x0072C4F0	0x00B1B9F0	?GetDroppedItemType@MultiplayerMgr@@QAE?AW4EDroppedItemTypes@@W4itemType_t@@@Z	public: enum EDroppedItemTypes __thiscall MultiplayerMgr::GetDroppedItemType(enum itemType_t)	mp.o
0x0072C530	0x00B1BA30	?getLocalTime@MultiplayerMgr@@QAE?AVsTime@knet@kuju@@XZ	public: class kuju::knet::sTime __thiscall MultiplayerMgr::getLocalTime(void)	mp.o
0x0072C610	0x00B1BB10	?publish@MPLogSubscriber@MultiplayerMgr@@EAEXQBD00I0@Z	private: virtual void __thiscall MultiplayerMgr::MPLogSubscriber::publish(char const * const,char const * const,char const * const,unsigned int,char const * const)	mp.o
0x0072C6F0	0x00B1BBF0	?oneOffCheckLinkStatus@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::oneOffCheckLinkStatus(void)	mp.o
0x0072C700	0x00B1BC00	?updateLinkStatus@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::updateLinkStatus(void)	mp.o
0x0072C780	0x00B1BC80	?getLinkStatus@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::getLinkStatus(void)	mp.o
0x0072C790	0x00B1BC90	?getValidNetConnection@MultiplayerMgr@@QAE_NPBD@Z	public: bool __thiscall MultiplayerMgr::getValidNetConnection(char const *)	mp.o
0x0072C7D0	0x00B1BCD0	?FromLobby@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::FromLobby(void)	mp.o
0x0072C7E0	0x00B1BCE0	?GetVoipGroup@@YA?AW4EVoipGroup@@H@Z	enum EVoipGroup __cdecl GetVoipGroup(int)	mp.o
0x0072C820	0x00B1BD20	??2MPPeer@@SAPAXI@Z	public: static void * __cdecl MPPeer::operator new(unsigned int)	mp.o
0x0072C840	0x00B1BD40	??3MPPeer@@SAXPAX@Z	public: static void __cdecl MPPeer::operator delete(void *)	mp.o
0x0072C850	0x00B1BD50	?LeaveSession@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::LeaveSession(void)	mp.o
0x0072C870	0x00B1BD70	?CancelJoin@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::CancelJoin(void)	mp.o
0x0072C890	0x00B1BD90	?GetSessionStatus@MPPeer@@QAE?AW4bdSessionStatus@bdSession@@XZ	public: enum bdSession::bdSessionStatus __thiscall MPPeer::GetSessionStatus(void)	mp.o
