ida_ea	name	signature	source_cpp
0x0072C480	?Stop@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::Stop(void)	
0x0072C4A0	?HandleDiscError@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::HandleDiscError(void)	
0x0072C4B0	?setSendInterval@MultiplayerMgr@@QAEXH@Z	public: void __thiscall MultiplayerMgr::setSendInterval(int)	
0x0072C4D0	?getSendInterval@MultiplayerMgr@@QBEMXZ	public: float __thiscall MultiplayerMgr::getSendInterval(void)const 	
0x0072C4E0	?AddTestClient@MultiplayerMgr@@QAEHXZ	public: int __thiscall MultiplayerMgr::AddTestClient(void)	
0x0072C4F0	?GetDroppedItemType@MultiplayerMgr@@QAE?AW4EDroppedItemTypes@@W4itemType_t@@@Z	public: enum EDroppedItemTypes __thiscall MultiplayerMgr::GetDroppedItemType(enum itemType_t)	
0x0072C530	?getLocalTime@MultiplayerMgr@@QAE?AVsTime@knet@kuju@@XZ	public: class kuju::knet::sTime __thiscall MultiplayerMgr::getLocalTime(void)	
0x0072C610	?publish@MPLogSubscriber@MultiplayerMgr@@EAEXQBD00I0@Z	private: virtual void __thiscall MultiplayerMgr::MPLogSubscriber::publish(char const * const,char const * const,char const * const,unsigned int,char const * const)	
0x0072C6F0	?oneOffCheckLinkStatus@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::oneOffCheckLinkStatus(void)	
0x0072C700	?updateLinkStatus@MultiplayerMgr@@QAEXXZ	public: void __thiscall MultiplayerMgr::updateLinkStatus(void)	
0x0072C780	?getLinkStatus@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::getLinkStatus(void)	
0x0072C790	?getValidNetConnection@MultiplayerMgr@@QAE_NPBD@Z	public: bool __thiscall MultiplayerMgr::getValidNetConnection(char const *)	
0x0072C7D0	?FromLobby@MultiplayerMgr@@QAE_NXZ	public: bool __thiscall MultiplayerMgr::FromLobby(void)	
0x0072C7E0	?GetVoipGroup@@YA?AW4EVoipGroup@@H@Z	enum EVoipGroup __cdecl GetVoipGroup(int)	
0x0072C820	??2MPPeer@@SAPAXI@Z	public: static void * __cdecl MPPeer::operator new(unsigned int)	
0x0072C840	??3MPPeer@@SAXPAX@Z	public: static void __cdecl MPPeer::operator delete(void *)	
0x0072C850	?LeaveSession@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::LeaveSession(void)	
0x0072C870	?CancelJoin@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::CancelJoin(void)	
0x0072C890	?GetSessionStatus@MPPeer@@QAE?AW4bdSessionStatus@bdSession@@XZ	public: enum bdSession::bdSessionStatus __thiscall MPPeer::GetSessionStatus(void)	
0x0072C8A0	?GetPlayerManager@MPPeer@@QAEPAVMPPlayerManager@@XZ	public: class MPPlayerManager * __thiscall MPPeer::GetPlayerManager(void)	
0x0072C8B0	?IsHost@MPPeer@@QAE_NXZ	public: bool __thiscall MPPeer::IsHost(void)	
0x0072C8D0	?IsPlayerTalking@MPPeer@@QAE_NPAVMPPlayer@@H@Z	public: bool __thiscall MPPeer::IsPlayerTalking(class MPPlayer *,int)	
0x0072C940	?onSessionConnectFail@MPPeer@@EAEXXZ	private: virtual void __thiscall MPPeer::onSessionConnectFail(void)	
0x0072CA00	?IsQosComplete@MPPeer@@QAE_NH@Z	public: bool __thiscall MPPeer::IsQosComplete(int)	
0x0072CA20	?IsQosSuccessful@MPPeer@@QAE_NH@Z	public: bool __thiscall MPPeer::IsQosSuccessful(int)	
0x0072CA50	?GetQosPing@MPPeer@@QAEHH@Z	public: int __thiscall MPPeer::GetQosPing(int)	
0x0072CA90	?DeleteQosProbes@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::DeleteQosProbes(void)	
0x0072CAC0	?FindAvailableQosSlot@MPPeer@@QAEHXZ	public: int __thiscall MPPeer::FindAvailableQosSlot(void)	
0x0072CAE0	?DebugPrintTTYSessionInfo@MPPeer@@QAEXXZ	public: void __thiscall MPPeer::DebugPrintTTYSessionInfo(void)	
0x0072CAF0	?Start@MPLanDiscovery@@QAEXXZ	public: void __thiscall MPLanDiscovery::Start(void)	
0x0072CB60	?IsDone@MPLanDiscovery@@QAE_NXZ	public: bool __thiscall MPLanDiscovery::IsDone(void)	
0x0072CB90	?GetNumResults@MPLanDiscovery@@QBEIXZ	public: unsigned int __thiscall MPLanDiscovery::GetNumResults(void)const 	
0x0072CBA0	?getAnimIndex@MPPlayer@@SAPAUMP_ANIM_INDEX@@HHH_N@Z	public: static struct MP_ANIM_INDEX * __cdecl MPPlayer::getAnimIndex(int,int,int,bool)	
0x0072CC20	?Reset@MPPlayer@@QAEX_N@Z	public: void __thiscall MPPlayer::Reset(bool)	
0x0072CE70	?IsValid@MPPlayer@@SA_NE@Z	public: static bool __cdecl MPPlayer::IsValid(unsigned char)	
0x0072CE80	?GetNullId@MPPlayer@@SAEXZ	public: static unsigned char __cdecl MPPlayer::GetNullId(void)	
0x0072CE90	?SetId@MPPlayer@@QAEXE@Z	public: void __thiscall MPPlayer::SetId(unsigned char)	
0x0072CEA0	?GetId@MPPlayer@@QBEEXZ	public: unsigned char __thiscall MPPlayer::GetId(void)const 	
0x0072CEB0	?GetPlayerAnimationPackFlags@MPPlayer@@IAEHPAVPlayerState@@H@Z	protected: int __thiscall MPPlayer::GetPlayerAnimationPackFlags(class PlayerState *,int)	
