index	status	map_line
1	FIXED	0002:0052e320 ?RegisterHashStrings@mp_util_wad@@YAXXZ 00D1D820 f mp_util_wad.o	FIXED: added IDA pointer-backed word_39C6FA registration for "flag"
2	VERIFIED	0002:0052eec0 ?ResolveAnim@mp_util_wad@@YAIIIPAII@Z 00D1E3C0 f mp_util_wad.o	VERIFIED: IDA 0x0092EEC0 matches direct mp_anim_wad::ResolveAnim forwarding and BOOL conversion
3	VERIFIED	0002:0052ef10 ?ResolveAnimName@mp_util_wad@@YAPBDI@Z 00D1E410 f mp_util_wad.o
4	VERIFIED	0002:0052ef50 ?ValidateAnimationIndices@mp_util_wad@@YA_NXZ 00D1E450 f mp_util_wad.o
5	VERIFIED	0002:0052efb0 ?GetBroAnim@mp_util_wad@@YAIII@Z 00D1E4B0 f mp_util_wad.o
6	FIXED	0002:0052f000 ?GetEE_flagEnd@@YAAAUvector@Broc@@Ventity@2@@Z 00D1E500 f mp_util_wad.o	VERIFIED: IDA 0x0092F000 matches handle lookup and GetRef key 0xAEB6D8F1  FIXED: IDA getter disassembly nullEnt fallback added
7	VERIFIED	0002:0052f050 ?IsEEDefined_flagEnd@@YA?AUbbool@@Ventity@Broc@@@Z 00D1E550 f mp_util_wad.o	VERIFIED: IDA 0x0092F050 matches entity/extended-entity guards, GetVal key 0xAEB6D8F1, and bbool result
8	VERIFIED	0002:0052f100 ??0bbool@@QAE@_N@Z 00D1E600 f i mp_util_wad.o	VERIFIED: IDA 0x0092F100 writes rhs to mVal and returns this
9	VERIFIED	0002:0052f130 ?IsDefined@Broc@@YA_NABVentity@1@@Z 00D1E630 f i mp_util_wad.o
10	VERIFIED	0002:0052f150 ?IsDefined@Broc@@YA_NABUvector@1@@Z 00D1E650 f i mp_util_wad.o
11	VERIFIED	0002:0052f170 ?IsDefined@entity@Broc@@QBE_NXZ 00D1E670 f i mp_util_wad.o
12	FIXED	0002:0052f1a0 ?GetEE_audio_indoor@@YAAAUbint@@Ventity@Broc@@@Z 00D1E6A0 f mp_util_wad.o	VERIFIED: IDA 0x0092F1A0 matches GetRef key 0xD9150A3C  FIXED: IDA getter disassembly nullEnt fallback added
13	VERIFIED	0002:0052f1f0 ?IsEEDefined_audio_indoor@@YA?AUbbool@@Ventity@Broc@@@Z 00D1E6F0 f mp_util_wad.o	VERIFIED: IDA 0x0092F1F0 matches guarded GetVal/IsDefined key 0xD9150A3C and bbool result
14	FIXED	0002:0052f2a0 ?GetEE_audio_ambmax@@YAAAUbfloat@@Ventity@Broc@@@Z 00D1E7A0 f mp_util_wad.o	VERIFIED: IDA 0x0092F2A0 matches GetRef key 0xC65889A7  FIXED: IDA getter disassembly nullEnt fallback added
15	VERIFIED	0002:0052f2f0 ?IsEEDefined_audio_ambmax@@YA?AUbbool@@Ventity@Broc@@@Z 00D1E7F0 f mp_util_wad.o	VERIFIED: IDA 0x0092F2F0 matches guarded GetVal/IsDefined key 0xC65889A7 and bbool result
16	FIXED	0002:0052f3a0 ?GetEE_sound@@YAAAUbint@@Ventity@Broc@@@Z 00D1E8A0 f mp_util_wad.o	VERIFIED: IDA 0x0092F3A0 matches GetRef key 0x085FE049  FIXED: IDA getter disassembly nullEnt fallback added
17	VERIFIED	0002:0052f3f0 ?IsEEDefined_sound@@YA?AUbbool@@Ventity@Broc@@@Z 00D1E8F0 f mp_util_wad.o	VERIFIED: IDA 0x0092F3F0 matches guarded GetVal/IsDefined key 0x085FE049 and bbool result
18	FIXED	0002:0052f4a0 ?GetEE_specialWeaponChangeClassFlag@@YAAAUbbool@@Ventity@Broc@@@Z 00D1E9A0 f mp_util_wad.o	VERIFIED: IDA 0x0092F4A0 matches GetRef key 0x4C3C14A1  FIXED: IDA getter disassembly nullEnt fallback added
