ida_ea	name	signature	source_cpp
0x008704D0	?StandardLoad@?$tlResourceDirectory@V?$nalAnimClass@VnalAnyPose@@@@@@QAEPAV?$nalAnimClass@VnalAnyPose@@@@ABVtlFixedString@@@Z	public: class nalAnimClass<class nalAnyPose> * __thiscall tlResourceDirectory<class nalAnimClass<class nalAnyPose> >::StandardLoad(class tlFixedString const &)	
0x008704E0	?StandardRelease@?$tlResourceDirectory@V?$nalAnimClass@VnalAnyPose@@@@@@QAEHPAV?$nalAnimClass@VnalAnyPose@@@@H_N@Z	public: int __thiscall tlResourceDirectory<class nalAnimClass<class nalAnyPose> >::StandardRelease(class nalAnimClass<class nalAnyPose> *,int,bool)	
0x008704F0	?nalGetAnim@@YAPAV?$nalAnimClass@VnalAnyPose@@@@ABVtlFixedString@@@Z	class nalAnimClass<class nalAnyPose> * __cdecl nalGetAnim(class tlFixedString const &)	
0x00870510	?nalGetFirstAnimInFile@@YAPAV?$nalAnimClass@VnalAnyPose@@@@PAVnalAnimFile@@@Z	class nalAnimClass<class nalAnyPose> * __cdecl nalGetFirstAnimInFile(class nalAnimFile *)	
0x00870530	?nalGetFirstAnimInFile@@YAPAV?$nalAnimClass@VnalAnyPose@@@@ABVtlFixedString@@@Z	class nalAnimClass<class nalAnyPose> * __cdecl nalGetFirstAnimInFile(class tlFixedString const &)	
0x00870550	?nalGetNextAnimInFile@@YAPAV?$nalAnimClass@VnalAnyPose@@@@PAV1@@Z	class nalAnimClass<class nalAnyPose> * __cdecl nalGetNextAnimInFile(class nalAnimClass<class nalAnyPose> *)	
0x00870570	?nalLoadAnimFileInternal@@YA_NPAVnalAnimFile@@@Z	bool __cdecl nalLoadAnimFileInternal(class nalAnimFile *)	
0x00870700	?StandardLoad@?$tlResourceDirectory@VnalAnimFile@@@@QAEPAVnalAnimFile@@ABVtlFixedString@@@Z	public: class nalAnimFile * __thiscall tlResourceDirectory<class nalAnimFile>::StandardLoad(class tlFixedString const &)	
0x00870810	?nalLoadAnimFile@@YAPAVnalAnimFile@@ABVtlFixedString@@@Z	class nalAnimFile * __cdecl nalLoadAnimFile(class tlFixedString const &)	
0x00870840	?nalLoadAnimFileInPlace@@YAPAVnalAnimFile@@ABVtlFixedString@@PAX@Z	class nalAnimFile * __cdecl nalLoadAnimFileInPlace(class tlFixedString const &,void *)	
0x008708D0	?StandardRelease@?$tlResourceDirectory@VnalAnimFile@@@@QAEHPAVnalAnimFile@@H_N@Z	public: int __thiscall tlResourceDirectory<class nalAnimFile>::StandardRelease(class nalAnimFile *,int,bool)	
0x00870960	?nalReleaseAnimFile@@YAHPAVnalAnimFile@@@Z	int __cdecl nalReleaseAnimFile(class nalAnimFile *)	
0x00870980	?nalReleaseAnimFile@@YAHABVtlFixedString@@@Z	int __cdecl nalReleaseAnimFile(class tlFixedString const &)	
0x008709B0	?nalReleaseAllAnimFiles@@YAXXZ	void __cdecl nalReleaseAllAnimFiles(void)	
0x008709D0	?nalGetSceneAnim@@YAPAVnalSceneAnim@@ABVtlFixedString@@@Z	class nalSceneAnim * __cdecl nalGetSceneAnim(class tlFixedString const &)	
0x008709F0	?nalLoadSceneAnimInternal@@YA_NPAVnalSceneAnim@@@Z	bool __cdecl nalLoadSceneAnimInternal(class nalSceneAnim *)	
0x00870B80	?nalReleaseSceneAnimInternal@@YAXPAVnalSceneAnim@@@Z	void __cdecl nalReleaseSceneAnimInternal(class nalSceneAnim *)	
0x00870BB0	?StandardLoad@?$tlResourceDirectory@VnalSceneAnim@@@@QAEPAVnalSceneAnim@@ABVtlFixedString@@@Z	public: class nalSceneAnim * __thiscall tlResourceDirectory<class nalSceneAnim>::StandardLoad(class tlFixedString const &)	
0x00870CC0	?nalLoadSceneAnim@@YAPAVnalSceneAnim@@ABVtlFixedString@@@Z	class nalSceneAnim * __cdecl nalLoadSceneAnim(class tlFixedString const &)	
0x00870CF0	?nalLoadSceneAnimInPlace@@YAPAVnalSceneAnim@@ABVtlFixedString@@PAX@Z	class nalSceneAnim * __cdecl nalLoadSceneAnimInPlace(class tlFixedString const &,void *)	
0x00870D80	?StandardRelease@?$tlResourceDirectory@VnalSceneAnim@@@@QAEHPAVnalSceneAnim@@H_N@Z	public: int __thiscall tlResourceDirectory<class nalSceneAnim>::StandardRelease(class nalSceneAnim *,int,bool)	
0x00870DD0	?nalReleaseSceneAnim@@YAHPAVnalSceneAnim@@@Z	int __cdecl nalReleaseSceneAnim(class nalSceneAnim *)	
0x00870DF0	?nalReleaseSceneAnim@@YAHABVtlFixedString@@@Z	int __cdecl nalReleaseSceneAnim(class tlFixedString const &)	
0x00870E20	?nalReleaseAllSceneAnims@@YAXXZ	void __cdecl nalReleaseAllSceneAnims(void)	
