index	status	map_line
1	VERIFIED	0002:004542c0 ??1nalBaseSkeleton@@UAE@XZ 00C437C0 f i nal_init.o
2	VERIFIED	0002:004542d0 ??0nalBasePose@@IAE@XZ 00C437D0 f i nal_init.o
3	VERIFIED	0002:004542e0 ??0nalInitListAnimType@@QAE@ABVtlFixedString@@PAX1@Z 00C437E0 f i nal_init.o
4	VERIFIED	0002:00454350 ?Register@nalInitListAnimType@@UAEXXZ 00C43850 f i nal_init.o
5	VERIFIED	0002:00454360 ??1nalInitListAnimType@@UAE@XZ 00C43860 f i nal_init.o
6	VERIFIED	0002:00454370 ?Init@nalAnimHeap@@QAEXH@Z 00C43870 f i nal_init.o
7	VERIFIED	0002:00454390 ??0nalAnimCache@@QAE@XZ 00C43890 f i nal_init.o
8	VERIFIED	0002:004543b0 ?Init@nalAnimCache@@QAEXAAVnalHeap@@@Z 00C438B0 f i nal_init.o
9	VERIFIED	0002:004543d0 ??1nalGenericSkeleton@nalGeneric@@UAE@XZ 00C438D0 f i nal_init.o
10	VERIFIED	0002:004543f0 ??0?$nalAnimClass@VnalGenericPose@nalGeneric@@@@QAE@XZ 00C438F0 f i nal_init.o
11	VERIFIED	0002:00454420 ??1?$nalAnimClass@VnalGenericPose@nalGeneric@@@@UAE@XZ 00C43920 f i nal_init.o
12	VERIFIED	0002:00454430 ??1nalGenericAnim@nalGeneric@@UAE@XZ 00C43930 f i nal_init.o
13	SKIPPED	0002:00454440 ??_G?$nalAnimClass@VnalGenericPose@nalGeneric@@@@UAEPAXI@Z 00C43940 f i nal_init.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
14	SKIPPED	0002:00454440 ??_E?$nalAnimClass@VnalGenericPose@nalGeneric@@@@UAEPAXI@Z 00C43940 f i nal_init.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
15	FIXED	0002:00454470 ??1nalComponentU8Base@@UAE@XZ 00C43970 f i nal_init.o
16	VERIFIED	0002:00454480 ??1nalAnimHeap@@UAE@XZ 00C43980 f i nal_init.o
17	VERIFIED	0002:00454490 ?nalSetAnimPath@@YAXPBD@Z 00C43990 f nal_init.o
18	VERIFIED	0002:004544c0 ?nalGetAnimPath@@YAPBDXZ 00C439C0 f nal_init.o
