index	status	map_line
1	VERIFIED	0002:004730c0 ?GetVersion@nalBaseSkeleton@@QBEIXZ 00C625C0 f i nal_skeleton.o
2	VERIFIED	0002:004730d0 ?nalGetSkeleton@@YAPAVnalBaseSkeleton@@ABVtlFixedString@@@Z 00C625D0 f nal_skeleton.o  VERIFIED: IDA directory lookup matches
3	VERIFIED	0002:004730f0 ?nalConstructSkeleton@@YAPAVnalBaseSkeleton@@PAX@Z 00C625F0 f nal_skeleton.o  VERIFIED: IDA type-bank lookup, version check, process, and buffer clear match
4	VERIFIED	0002:00473170 ?nalLoadSkeletonInPlace@@YAPAVnalBaseSkeleton@@PAX@Z 00C62670 f nal_skeleton.o  VERIFIED: IDA existing-entry assertion/refcount and construct/add path match
5	VERIFIED	0002:004731e0 ?StandardLoad@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEPAVnalBaseSkeleton@@ABVtlFixedString@@@Z 00C626E0 f nal_skeleton.o  VERIFIED: IDA path, file read, name comparison, warning, and add path match
6	VERIFIED	0002:004732d0 ?nalLoadSkeleton@@YAPAVnalBaseSkeleton@@ABVtlFixedString@@@Z 00C627D0 f nal_skeleton.o  VERIFIED: IDA find/load/refcount path matches
7	VERIFIED	0002:00473300 ?StandardRelease@?$tlResourceDirectory@VnalBaseSkeleton@@@@QAEHPAVnalBaseSkeleton@@H_N@Z 00C62800 f nal_skeleton.o  VERIFIED: IDA force/refcount, delete, release, and file-buffer path match
8	VERIFIED	0002:00473350 ?nalReleaseSkeleton@@YAHPAVnalBaseSkeleton@@@Z 00C62850 f nal_skeleton.o
9	FIXED	0002:00473370 ?nalReleaseSkeleton@@YAHABVtlFixedString@@@Z 00C62870 f nal_skeleton.o  FIXED: corrected IDA YAH integer return ABI and null-result path
10	VERIFIED	0002:004733a0 ?nalReleaseAllSkeletons@@YAXXZ 00C628A0 f nal_skeleton.o  VERIFIED: IDA ReleaseAll call and void ABI match
