index	status	map_line
1	VERIFIED	0002:0042a770 ??0nflStreamParams@@QAE@XZ 00C19C70 f i nfl_system.o
2	PENDING	0002:0042a780 ?nfsLock@@YAXXZ 00C19C80 f nfl_system.o
3	PENDING	0002:0042a7a0 ?nfsUnlock@@YAXXZ 00C19CA0 f nfl_system.o
4	VERIFIED	0002:0042a7c0 ?nfsGetMediaDriverIndex@@YAHW4nflMediaID@@@Z 00C19CC0 f nfl_system.o
5	VERIFIED	0002:0042a800 ?nfsGetMediaDriver@@YAPAUnfdDriver@@W4nflMediaID@@@Z 00C19D00 f nfl_system.o
6	VERIFIED	0002:0042a830 ?nfsGetFile@@YAPAUnfsFile@@W4nflFileID@@@Z 00C19D30 f nfl_system.o
7	VERIFIED	0002:0042a860 ?nfsGetNativeFileID@@YA?AW4nflFileID@@W41@@Z 00C19D60 f nfl_system.o
8	VERIFIED	0002:0042a950 ?nfsGetNativeFile@@YAPAUnfsFile@@W4nflFileID@@@Z 00C19E50 f nfl_system.o
9	VERIFIED	0002:0042a990 ?nfsGetFileDriver@@YAPAUnfdDriver@@W4nflFileID@@@Z 00C19E90 f nfl_system.o
10	VERIFIED	0002:0042a9d0 ?nflGetFileMedia@@YA?AW4nflMediaID@@W4nflFileID@@@Z 00C19ED0 f nfl_system.o
11	VERIFIED	0002:0042aa10 ?nflGetFileName@@YAPBDW4nflFileID@@@Z 00C19F10 f nfl_system.o
12	VERIFIED	0002:0042aa50 ?nfsGetFileHandle@@YAPAXW4nflFileID@@@Z 00C19F50 f nfl_system.o
13	VERIFIED	0002:0042aa90 ?nfsGetStream@@YAPAUnfsStream@@W4nflStreamID@@@Z 00C19F90 f nfl_system.o
14	VERIFIED	0002:0042aad0 ?nfsGetRequest@@YAPAUnfsRequest@@W4nflRequestID@@@Z 00C19FD0 f nfl_system.o
15	VERIFIED	0002:0042ab00 ?nfsExportRequestState@@YA?AW4nflRequestState@@W4nfsRequestState@@@Z 00C1A000 f nfl_system.o
16	VERIFIED	0002:0042ab60 ?nfsPreAllocate@@YAPAXII@Z 00C1A060 f nfl_system.o
17	VERIFIED	0002:0042ac30 ?nfsPreAllocateWorkSpace@@YAIPAX@Z 00C1A130 f nfl_system.o
18	VERIFIED	0002:0042ae20 ?nflInit@@YAIPBUnflInitParams@@@Z 00C1A320 f nfl_system.o
19	VERIFIED	0002:0042af00 ?nflShutdown@@YAXXZ 00C1A400 f nfl_system.o
20	VERIFIED	0002:0042af30 ?nflGetMediaAlignments@@YAPAUnflMediaAlignments@@W4nflMediaID@@PAU1@@Z 00C1A430 f nfl_system.o
21	VERIFIED	0002:0042af80 ?nflSetStreamPriority@@YAXW4nflStreamID@@W4nflPriority@@@Z 00C1A480 f nfl_system.o
22	VERIFIED	0002:0042b090 ?nflGetStreamPriority@@YA?AW4nflPriority@@W4nflStreamID@@@Z 00C1A590 f nfl_system.o
23	VERIFIED	0002:0042b0d0 ?nfsOpenFile@@YA?AW4nflFileID@@W4nflMediaID@@PBDW4nfdFileFlags@@PAI@Z 00C1A5D0 f nfl_system.o
24	VERIFIED	0002:0042b310 ?nflOpenSubFile@@YA?AW4nflFileID@@W41@IIII@Z 00C1A810 f nfl_system.o
25	VERIFIED	0002:0042b4e0 ?nflGetFileSize@@YAIW4nflFileID@@@Z 00C1A9E0 f nfl_system.o
26	VERIFIED	0002:0042b520 ?nflOpenFile@@YA?AW4nflFileID@@W4nflMediaID@@PBD@Z 00C1AA20 f nfl_system.o
