ida_ea	name	signature	source_cpp
0x0082A780	?nfsLock@@YAXXZ	void __cdecl nfsLock(void)	
0x0082A7A0	?nfsUnlock@@YAXXZ	void __cdecl nfsUnlock(void)	
0x0082A7C0	?nfsGetMediaDriverIndex@@YAHW4nflMediaID@@@Z	int __cdecl nfsGetMediaDriverIndex(enum nflMediaID)	
0x0082A800	?nfsGetMediaDriver@@YAPAUnfdDriver@@W4nflMediaID@@@Z	struct nfdDriver * __cdecl nfsGetMediaDriver(enum nflMediaID)	
0x0082A830	?nfsGetFile@@YAPAUnfsFile@@W4nflFileID@@@Z	struct nfsFile * __cdecl nfsGetFile(enum nflFileID)	
0x0082A860	?nfsGetNativeFileID@@YA?AW4nflFileID@@W41@@Z	enum nflFileID __cdecl nfsGetNativeFileID(enum nflFileID)	
0x0082A950	?nfsGetNativeFile@@YAPAUnfsFile@@W4nflFileID@@@Z	struct nfsFile * __cdecl nfsGetNativeFile(enum nflFileID)	
0x0082A990	?nfsGetFileDriver@@YAPAUnfdDriver@@W4nflFileID@@@Z	struct nfdDriver * __cdecl nfsGetFileDriver(enum nflFileID)	
0x0082A9D0	?nflGetFileMedia@@YA?AW4nflMediaID@@W4nflFileID@@@Z	enum nflMediaID __cdecl nflGetFileMedia(enum nflFileID)	
0x0082AA10	?nflGetFileName@@YAPBDW4nflFileID@@@Z	char const * __cdecl nflGetFileName(enum nflFileID)	
0x0082AA50	?nfsGetFileHandle@@YAPAXW4nflFileID@@@Z	void * __cdecl nfsGetFileHandle(enum nflFileID)	
0x0082AA90	?nfsGetStream@@YAPAUnfsStream@@W4nflStreamID@@@Z	struct nfsStream * __cdecl nfsGetStream(enum nflStreamID)	
0x0082AAD0	?nfsGetRequest@@YAPAUnfsRequest@@W4nflRequestID@@@Z	struct nfsRequest * __cdecl nfsGetRequest(enum nflRequestID)	
0x0082AB00	?nfsExportRequestState@@YA?AW4nflRequestState@@W4nfsRequestState@@@Z	enum nflRequestState __cdecl nfsExportRequestState(enum nfsRequestState)	
0x0082AB60	?nfsPreAllocate@@YAPAXII@Z	void * __cdecl nfsPreAllocate(unsigned int,unsigned int)	
0x0082AC30	?nfsPreAllocateWorkSpace@@YAIPAX@Z	unsigned int __cdecl nfsPreAllocateWorkSpace(void *)	
0x0082AE20	?nflInit@@YAIPBUnflInitParams@@@Z	unsigned int __cdecl nflInit(struct nflInitParams const *)	
0x0082AF00	?nflShutdown@@YAXXZ	void __cdecl nflShutdown(void)	
0x0082AF30	?nflGetMediaAlignments@@YAPAUnflMediaAlignments@@W4nflMediaID@@PAU1@@Z	struct nflMediaAlignments * __cdecl nflGetMediaAlignments(enum nflMediaID,struct nflMediaAlignments *)	
0x0082AF80	?nflSetStreamPriority@@YAXW4nflStreamID@@W4nflPriority@@@Z	void __cdecl nflSetStreamPriority(enum nflStreamID,enum nflPriority)	
0x0082B090	?nflGetStreamPriority@@YA?AW4nflPriority@@W4nflStreamID@@@Z	enum nflPriority __cdecl nflGetStreamPriority(enum nflStreamID)	
0x0082B0D0	?nfsOpenFile@@YA?AW4nflFileID@@W4nflMediaID@@PBDW4nfdFileFlags@@PAI@Z	enum nflFileID __cdecl nfsOpenFile(enum nflMediaID,char const *,enum nfdFileFlags,unsigned int *)	
0x0082B310	?nflOpenSubFile@@YA?AW4nflFileID@@W41@IIII@Z	enum nflFileID __cdecl nflOpenSubFile(enum nflFileID,unsigned int,unsigned int,unsigned int,unsigned int)	
0x0082B4E0	?nflGetFileSize@@YAIW4nflFileID@@@Z	unsigned int __cdecl nflGetFileSize(enum nflFileID)	
0x0082B520	?nflOpenFile@@YA?AW4nflFileID@@W4nflMediaID@@PBD@Z	enum nflFileID __cdecl nflOpenFile(enum nflMediaID,char const *)	
0x0082B540	?nflOpenFileEx@@YA?AW4nflFileID@@W4nflMediaID@@PBDPAI@Z	enum nflFileID __cdecl nflOpenFileEx(enum nflMediaID,char const *,unsigned int *)	
0x0082B560	?nflCreateFile@@YA?AW4nflFileID@@W4nflMediaID@@PBDI@Z	enum nflFileID __cdecl nflCreateFile(enum nflMediaID,char const *,unsigned int)	
0x0082B590	?nflGetRequestState@@YA?AW4nflRequestState@@W4nflRequestID@@@Z	enum nflRequestState __cdecl nflGetRequestState(enum nflRequestID)	
0x0082B5D0	?nflSetRequestPriority@@YAXW4nflRequestID@@W4nflPriority@@@Z	void __cdecl nflSetRequestPriority(enum nflRequestID,enum nflPriority)	
0x0082B640	?nflGetRequestPriority@@YA?AW4nflPriority@@W4nflRequestID@@@Z	enum nflPriority __cdecl nflGetRequestPriority(enum nflRequestID)	
0x0082B680	?nflGetRequestInfo@@YAPAUnflRequestInfo@@W4nflRequestID@@PAU1@@Z	struct nflRequestInfo * __cdecl nflGetRequestInfo(enum nflRequestID,struct nflRequestInfo *)	
0x0082B6D0	?nflGetRequestProgress@@YAMW4nflRequestID@@@Z	float __cdecl nflGetRequestProgress(enum nflRequestID)	
0x0082B740	?nfsResumeUpdateThread@@YAXXZ	void __cdecl nfsResumeUpdateThread(void)	
0x0082B760	?nflAddRequest@@YA?AW4nflRequestID@@PBUnflRequestParams@@@Z	enum nflRequestID __cdecl nflAddRequest(struct nflRequestParams const *)	
0x0082B910	?nflCancelRequest@@YAXW4nflRequestID@@@Z	void __cdecl nflCancelRequest(enum nflRequestID)	
0x0082B990	?nfsUpdateDriver@@YAHPAUnfdDriver@@@Z	int __cdecl nfsUpdateDriver(struct nfdDriver *)	
0x0082BBA0	?nfsScheduleRequest@@YA?AW4nflRequestID@@PAUnfdDriver@@@Z	enum nflRequestID __cdecl nfsScheduleRequest(struct nfdDriver *)	
0x0082BCC0	?nfsExecuteRequest@@YA?AW4nfdError@@PAUnfdDriver@@W4nflRequestID@@@Z	enum nfdError __cdecl nfsExecuteRequest(struct nfdDriver *,enum nflRequestID)	
0x0082BFA0	?nfsAddRequestToCallList@@YAXPAUnfsRequest@@H@Z	void __cdecl nfsAddRequestToCallList(struct nfsRequest *,int)	
0x0082C000	?nfsUpdate@@YAHXZ	int __cdecl nfsUpdate(void)	
0x0082C120	?nfsUpdateThread@@YGKPAX@Z	unsigned long __stdcall nfsUpdateThread(void *)	
0x0082C190	?nflUpdate@@YAXXZ	void __cdecl nflUpdate(void)	
0x0082C330	?nflGetFileHandle@@YAPAXW4nflFileID@@PAI111@Z	void * __cdecl nflGetFileHandle(enum nflFileID,unsigned int *,unsigned int *,unsigned int *,unsigned int *)	
0x0082C460	?nflGetState@@YA?AW4nflState@@XZ	enum nflState __cdecl nflGetState(void)	
0x0082C4D0	?nflGetStateText@@YAPBDW4nflState@@@Z	char const * __cdecl nflGetStateText(enum nflState)	
0x0082C520	?nflRetry@@YAXXZ	void __cdecl nflRetry(void)	
0x0082C5D0	?nflCreateStream@@YA?AW4nflStreamID@@PBUnflStreamParams@@@Z	enum nflStreamID __cdecl nflCreateStream(struct nflStreamParams const *)	
0x0082C600	?nflCancelStreamRequests@@YAXW4nflStreamID@@@Z	void __cdecl nflCancelStreamRequests(enum nflStreamID)	
0x0082C680	?nflDestroyStream@@YAXW4nflStreamID@@@Z	void __cdecl nflDestroyStream(enum nflStreamID)	
0x0082C6A0	?nflCancelFileRequests@@YAXW4nflFileID@@@Z	void __cdecl nflCancelFileRequests(enum nflFileID)	
0x0082C740	?nflCloseFile@@YAXW4nflFileID@@@Z	void __cdecl nflCloseFile(enum nflFileID)	
0x0082C860	?nflStart@@YAXPAX@Z	void __cdecl nflStart(void *)	
