index	status	map_line
1	VERIFIED	0002:003c2c70 ?GetKeyPtr@@YAPBVtlFixedString@@PBUnglMaterial@@@Z 00BB2170 f i ngl_aux.o
2	PORTED	0002:003c2c80 ?nglMeshAllocFnStub@@YAPAXHHH@Z 00BB2180 f ngl_aux.o
3	PORTED	0002:003c2cd0 ?auxGetSphereCenter@@YA?AVPosition3@math@@PAUnglMesh@@@Z 00BB21D0 f ngl_aux.o
4	VERIFIED	0002:003c2cf0 ?auxGetSphereRadius@@YAMPAUnglMesh@@@Z 00BB21F0 f ngl_aux.o
5	PORTED	0002:003c2d30 ?auxGetSphereCenter@@YA?AVPosition3@math@@PAUnglMeshSection@@@Z 00BB2230 f ngl_aux.o
6	VERIFIED	0002:003c2d50 ?auxGetSphereRadius@@YAMPAUnglMeshSection@@@Z 00BB2250 f ngl_aux.o
7	PORTED	0002:003c2d90 ?auxGetSphere@@YA?AVVector4@math@@PAUnglMesh@@@Z 00BB2290 f ngl_aux.o
8	PORTED	0002:003c2dc0 ?auxGetSphere@@YA?AVVector4@math@@PAUnglMeshSection@@@Z 00BB22C0 f ngl_aux.o
9	VERIFIED	0002:003c2df0 ?cdGetClipResult@@YAHPBUnglMeshSection@@PBVnglMeshNode@@PAUnglScene@@@Z 00BB22F0 f ngl_aux.o
10	VERIFIED	0002:003c2e90 ?auxGetHash@@YAIPBUnglTexture@@@Z 00BB2390 f ngl_aux.o
11	VERIFIED	0002:003c2ea0 ?auxSetScale@@YAXPAVnglMeshParams@@MMM@Z 00BB23A0 f ngl_aux.o
12	VERIFIED	0002:003c2f00 ?auxGetNBones@@YAHPAUnglMesh@@@Z 00BB2400 f ngl_aux.o
13	VERIFIED	0002:003c2f20 ?auxCreateScratchMesh@@YAPAUnglMesh@@HH@Z 00BB2420 f ngl_aux.o
14	VERIFIED	0002:003c2f30 ?auxCloseScratchMesh@@YAPAUnglMesh@@PAU1@@Z 00BB2430 f ngl_aux.o
15	PORTED	0002:003c2f40 ?auxIsTextureAnimated@@YA_NPAUnglTexture@@@Z 00BB2440 f ngl_aux.o
16	VERIFIED	0002:003c2f60 ??DauxMeshIterator@@QAEPAUnglMesh@@XZ 00BB2460 f ngl_aux.o
