ida_ea	name	signature	source_cpp
0x007C2C80	?nglMeshAllocFnStub@@YAPAXHHH@Z	void * __cdecl nglMeshAllocFnStub(int,int,int)	
0x007C2CD0	?auxGetSphereCenter@@YA?AVPosition3@math@@PAUnglMesh@@@Z	class math::Position3 __cdecl auxGetSphereCenter(struct nglMesh *)	
0x007C2CF0	?auxGetSphereRadius@@YAMPAUnglMesh@@@Z	float __cdecl auxGetSphereRadius(struct nglMesh *)	
0x007C2D30	?auxGetSphereCenter@@YA?AVPosition3@math@@PAUnglMeshSection@@@Z	class math::Position3 __cdecl auxGetSphereCenter(struct nglMeshSection *)	
0x007C2D50	?auxGetSphereRadius@@YAMPAUnglMeshSection@@@Z	float __cdecl auxGetSphereRadius(struct nglMeshSection *)	
0x007C2D90	?auxGetSphere@@YA?AVVector4@math@@PAUnglMesh@@@Z	class math::Vector4 __cdecl auxGetSphere(struct nglMesh *)	
0x007C2DC0	?auxGetSphere@@YA?AVVector4@math@@PAUnglMeshSection@@@Z	class math::Vector4 __cdecl auxGetSphere(struct nglMeshSection *)	
0x007C2DF0	?cdGetClipResult@@YAHPBUnglMeshSection@@PBVnglMeshNode@@PAUnglScene@@@Z	int __cdecl cdGetClipResult(struct nglMeshSection const *,class nglMeshNode const *,struct nglScene *)	
0x007C2E90	?auxGetHash@@YAIPBUnglTexture@@@Z	unsigned int __cdecl auxGetHash(struct nglTexture const *)	
0x007C2EA0	?auxSetScale@@YAXPAVnglMeshParams@@MMM@Z	void __cdecl auxSetScale(class nglMeshParams *,float,float,float)	
0x007C2F00	?auxGetNBones@@YAHPAUnglMesh@@@Z	int __cdecl auxGetNBones(struct nglMesh *)	
0x007C2F20	?auxCreateScratchMesh@@YAPAUnglMesh@@HH@Z	struct nglMesh * __cdecl auxCreateScratchMesh(int,int)	
0x007C2F30	?auxCloseScratchMesh@@YAPAUnglMesh@@PAU1@@Z	struct nglMesh * __cdecl auxCloseScratchMesh(struct nglMesh *)	
0x007C2F40	?auxIsTextureAnimated@@YA_NPAUnglTexture@@@Z	bool __cdecl auxIsTextureAnimated(struct nglTexture *)	
