ida_ea	name	signature	source_cpp
0x00847EF0	?CopyImage@nglDxFilters@@YAXPAUnglTexture@@0@Z	void __cdecl nglDxFilters::CopyImage(struct nglTexture *,struct nglTexture *)	
0x008481D0	?FilterCopy@nglDxFilters@@YAXPAUnglTexture@@0KQAUFilterSample@1@KK@Z	void __cdecl nglDxFilters::FilterCopy(struct nglTexture *,struct nglTexture *,unsigned long,struct nglDxFilters::FilterSample * const,unsigned long,unsigned long)	
0x00848A10	?RenderGlow@nglDxFilters@@YAXM@Z	void __cdecl nglDxFilters::RenderGlow(float)	
0x008490A0	?FillDepthPalette@nglDxFilters@@YAXXZ	void __cdecl nglDxFilters::FillDepthPalette(void)	
0x00849140	?FillFogPalette@nglDxFilters@@YAXXZ	void __cdecl nglDxFilters::FillFogPalette(void)	
0x00849280	?AllocFiltersTex@nglDxFilters@@YAXXZ	void __cdecl nglDxFilters::AllocFiltersTex(void)	
0x00849290	?FreeFiltersTex@nglDxFilters@@YAXXZ	void __cdecl nglDxFilters::FreeFiltersTex(void)	
0x008492A0	?nglSetFiltersTexSizes@@YAXII@Z	void __cdecl nglSetFiltersTexSizes(unsigned int,unsigned int)	
0x008492B0	?nglUpdateFilterTextures@@YAXXZ	void __cdecl nglUpdateFilterTextures(void)	
0x008492F0	?nglCreateFilterTextures@@YAXII@Z	void __cdecl nglCreateFilterTextures(unsigned int,unsigned int)	
0x008493D0	?nglDestroyFilterTextures@@YAXXZ	void __cdecl nglDestroyFilterTextures(void)	
0x00849400	?nglEdgeDetectionCallBack@@YAXPAX@Z	void __cdecl nglEdgeDetectionCallBack(void *)	
0x00849530	?nglFogCallBack@@YAXPAX@Z	void __cdecl nglFogCallBack(void *)	
0x00849540	?nglGlowCallBack@@YAXPAX@Z	void __cdecl nglGlowCallBack(void *)	
0x00849600	?nglPostProcessFiltersTex@@YAXXZ	void __cdecl nglPostProcessFiltersTex(void)	
0x00849610	?RenderBlur@nglDxFilters@@YAXPAUnglTexture@@0@Z	void __cdecl nglDxFilters::RenderBlur(struct nglTexture *,struct nglTexture *)	
0x00849F80	?nglBlurCallBack@@YAXPAX@Z	void __cdecl nglBlurCallBack(void *)	
0x00849FA0	?nglDepthOfFieldCallBack@@YAXPAX@Z	void __cdecl nglDepthOfFieldCallBack(void *)	
