ida_ea	name	signature	source_cpp
0x00851A30	?ngliSetRenderTarget@@YAXPAUnglTexture@@@Z	void __cdecl ngliSetRenderTarget(struct nglTexture *)	
0x00851AE0	?nglSetCubeMapRenderTarget@@YAXPAUnglTexture@@H@Z	void __cdecl nglSetCubeMapRenderTarget(struct nglTexture *,int)	
0x00851B70	?ngliSetZTarget@@YAXPAUnglTexture@@@Z	void __cdecl ngliSetZTarget(struct nglTexture *)	
0x00851BD0	?nglGetFSAAParams@@YA?AVVector4@math@@PAUnglTexture@@@Z	class math::Vector4 __cdecl nglGetFSAAParams(struct nglTexture *)	
0x00851CA0	?DeviceXBox@@YA?AVMat44@math@@PAUnglTexture@@ABVVector4@2@@Z	class math::Mat44 __cdecl DeviceXBox(struct nglTexture *,class math::Vector4 const &)	
0x00851E10	?ngliGetDeviceMatrix@@YA?AVMat44@math@@PAUnglTexture@@@Z	class math::Mat44 __cdecl ngliGetDeviceMatrix(struct nglTexture *)	
0x00851E50	?ngliCalculateMatrices@@YAXXZ	void __cdecl ngliCalculateMatrices(void)	
0x00851E60	?ngliSetClearStencil@@YAXI@Z	void __cdecl ngliSetClearStencil(unsigned int)	
0x00851E70	?nglDxSetGarbageStates@@YAXXZ	void __cdecl nglDxSetGarbageStates(void)	
0x00851F80	?nglDxSetupScene@@YAXPAUnglScene@@@Z	void __cdecl nglDxSetupScene(struct nglScene *)	
0x008523F0	?nglRenderScene@@YAXXZ	void __cdecl nglRenderScene(void)	
0x00852640	?ngliRenderSceneNode@@YAXPAX@Z	void __cdecl ngliRenderSceneNode(void *)	
0x00852690	?ngliSetDefaultSceneParams@@YAXXZ	void __cdecl ngliSetDefaultSceneParams(void)	
0x008526A0	?ngliSetupBeginSceneDefaults@@YAXPAUnglScene@@@Z	void __cdecl ngliSetupBeginSceneDefaults(struct nglScene *)	
0x008526C0	?ngliSetupBeginScene@@YAXPAUnglScene@@@Z	void __cdecl ngliSetupBeginScene(struct nglScene *)	
0x008526F0	?ngliEnableFog@@YAX_N@Z	void __cdecl ngliEnableFog(bool)	
0x00852720	?ngliEnableDepthOfField@@YAX_N@Z	void __cdecl ngliEnableDepthOfField(bool)	
