index	status	map_line
1	VERIFIED	0002:0044df00 ?nglDxRegisterVShader@@YAXPAKPBI@Z 00C3D400 f ngl_dx_shader.o
2	VERIFIED	0002:0044df10 ?nglDxRegisterPShader@@YAXPAPAKPBI@Z 00C3D410 f ngl_dx_shader.o
3	VERIFIED	0002:0044df20 ?nglDxSetBonesWorld@@YAXHPAVnglMeshNode@@PAUnglMeshSection@@@Z 00C3D420 f ngl_dx_shader.o
4	VERIFIED	0002:0044e7e0 ?nglDxSetupVShaderFog@@YAXHPAVnglMeshNode@@MMMM@Z 00C3DCE0 f ngl_dx_shader.o
5	VERIFIED	0002:0044e8c0 ?nglDxSetupVShaderLights@@YAXHPAVnglMeshNode@@@Z 00C3DDC0 f ngl_dx_shader.o
6	FIXED	0002:0044e910 ?nglDxRegisterInternalShaders@@YAXXZ 00C3DE10 f ngl_dx_shader.o
7	VERIFIED	0002:0044e950 ?nglDxInitShaders@@YAX_N@Z 00C3DE50 f ngl_dx_shader.o
8	VERIFIED	0002:0044eaf0 ?nglDxSetupVShaderBones@@YAXHPAVnglMeshNode@@PAUnglMeshSection@@@Z 00C3DFF0 f ngl_dx_shader.o
9	VERIFIED	0002:0044f1e0 ?nglDxSetBonesLocal@@YAXHPAVnglMeshNode@@PAUnglMeshSection@@@Z 00C3E6E0 f ngl_dx_shader.o
10	FIXED	0002:0044f930 ?gpuSetVertexConstant@@YAXHPAVMat44@math@@I@Z 00C3EE30 f i ngl_dx_shader.o
11	FIXED	0002:0044f960 ?RegisterShader@nglDOFPixelShader@@YAXXZ 00C3EE60 f i ngl_dx_shader.o
12	FIXED	0002:0044f970 ?RegisterPShader@nglDOFPixelShader@@YAXXZ 00C3EE70 f i ngl_dx_shader.o
13	FIXED	0002:0044f980 ?RegisterShader@nglGlowShaderPixelPreFX@@YAXXZ 00C3EE80 f i ngl_dx_shader.o
14	FIXED	0002:0044f990 ?RegisterPShader@nglGlowShaderPixelPreFX@@YAXXZ 00C3EE90 f i ngl_dx_shader.o
15	FIXED	0002:0044f9a0 ?RegisterShader@nglGlowShaderPixelFX@@YAXXZ 00C3EEA0 f i ngl_dx_shader.o
16	FIXED	0002:0044f9b0 ?RegisterPShader@nglGlowShaderPixelFX@@YAXXZ 00C3EEB0 f i ngl_dx_shader.o
17	FIXED	0002:0044f9c0 ?RegisterShader@nglGlowShaderPixelPostFX@@YAXXZ 00C3EEC0 f i ngl_dx_shader.o
18	FIXED	0002:0044f9d0 ?RegisterPShader@nglGlowShaderPixelPostFX@@YAXXZ 00C3EED0 f i ngl_dx_shader.o
