index	status	map_line
1	PORTED	0002:0044ac70 ?GetDepthStencilSurface@D3DDevice@@SGJPAPAUD3DSurface@@@Z 00C3A170 f i ngl_dx_tex_create.o
2	SKIPPED	0002:0044aca0 ?GetSurfaceLevel@D3DTexture@@QAGJIPAPAUD3DSurface@@@Z 00C3A1A0 f i ngl_dx_tex_create.o  SKIPPED: external D3D texture interface wrapper; supplied by the platform shim
3	PORTED	0002:0044acd0 ?GetCubeMapSurface@D3DCubeTexture@@QAGJW4_D3DCUBEMAP_FACES@@IPAPAUD3DSurface@@@Z 00C3A1D0 f i ngl_dx_tex_create.o
4	VERIFIED	0002:0044ad10 ?nglSaveTexture@@YAXPAUnglTexture@@PBD@Z 00C3A210 f ngl_dx_tex_create.o
5	VERIFIED	0002:0044adb0 ?nglCreateTextureFromFile@@YAPAUnglTexture@@PAXH@Z 00C3A2B0 f ngl_dx_tex_create.o
6	VERIFIED	0002:0044ae20 ?nglDestroyTexture@@YAXPAUnglTexture@@@Z 00C3A320 f ngl_dx_tex_create.o
7	VERIFIED	0002:0044aed0 ?nglCreateFrontBufferTexture@@YAXPAUnglTexture@@PAVtlFixedString@@@Z 00C3A3D0 f ngl_dx_tex_create.o
8	VERIFIED	0002:0044af30 ?nglCreateAuxBufferTexture@@YAXPAUnglTexture@@HH@Z 00C3A430 f ngl_dx_tex_create.o
9	VERIFIED	0002:0044afa0 ?nglCreatePrevBufferTexture@@YAXPAUnglTexture@@HH@Z 00C3A4A0 f ngl_dx_tex_create.o
10	VERIFIED	0002:0044b010 ?nglCreateBackBufferTexture@@YAXPAUnglTexture@@0@Z 00C3A510 f ngl_dx_tex_create.o
11	VERIFIED	0002:0044b0b0 ?nglInitFrameBufferTexture@@YAXXZ 00C3A5B0 f ngl_dx_tex_create.o
12	VERIFIED	0002:0044b100 ?nglUpdateInternalTextures@@YAXXZ 00C3A600 f ngl_dx_tex_create.o
13	VERIFIED	0002:0044b1a0 ?nglDestroyNormalCubeMap@@YAXXZ 00C3A6A0 f ngl_dx_tex_create.o
14	VERIFIED	0002:0044b1c0 ?nglCreateNormalCubeMap@@YAXI@Z 00C3A6C0 f ngl_dx_tex_create.o
15	PORTED	0002:0044b640 ?GetDesc@D3DSurface@@QAGJPAU_D3DSURFACE_DESC@@@Z 00C3AB40 f i ngl_dx_tex_create.o
16	PORTED	0002:0044b660 ?LockRect@D3DSurface@@QAGJPAU_D3DLOCKED_RECT@@PBUtagRECT@@K@Z 00C3AB60 f i ngl_dx_tex_create.o
17	PORTED	0002:0044b680 ?UnlockRect@D3DSurface@@QAGJXZ 00C3AB80 f i ngl_dx_tex_create.o
