ida_ea	name	signature	source_cpp
0x00843610	?nglCanReleaseMesh@@YA_NPAUnglMesh@@@Z	bool __cdecl nglCanReleaseMesh(struct nglMesh *)	
0x00843630	?nglProcessMaterial@@YAXPAUnglMaterial@@@Z	void __cdecl nglProcessMaterial(struct nglMaterial *)	
0x008436F0	?nglProcessSection@@YAXPAUnglMesh@@PAUnglMeshSection@@PAVapkFileEntry@apk@@@Z	void __cdecl nglProcessSection(struct nglMesh *,struct nglMeshSection *,class apk::apkFileEntry *)	
0x00843780	?nglProcessMesh@@YAXPAUnglMesh@@PAVapkFileEntry@apk@@@Z	void __cdecl nglProcessMesh(struct nglMesh *,class apk::apkFileEntry *)	
0x008437E0	?nglUnloadMesh@@YAXPAUnglMesh@@@Z	void __cdecl nglUnloadMesh(struct nglMesh *)	
0x00843830	?nglGetLOD@@YAIPAUnglMesh@@ABVMat43@math@@PAUnglScene@@@Z	unsigned int __cdecl nglGetLOD(struct nglMesh *,class math::Mat43 const &,struct nglScene *)	
0x00843A20	?nglListAddMesh_GetScaledMatrix@@YAPAVMat43@math@@ABV12@PAVnglMeshParams@@PAM@Z	class math::Mat43 * __cdecl nglListAddMesh_GetScaledMatrix(class math::Mat43 const &,class nglMeshParams *,float *)	
0x00843B90	?nglListAddMesh_Sections@@YAPAVnglMeshNode@@PAUnglMesh@@PAV1@@Z	class nglMeshNode * __cdecl nglListAddMesh_Sections(struct nglMesh *,class nglMeshNode *)	
0x00843C50	?nglListAddMesh_Setup@@YAPAVnglMeshNode@@PAUnglMesh@@ABVMat43@math@@PAVnglMeshParams@@PAUnglShaderParamSet@@P6AXPAV1@@Z@Z	class nglMeshNode * __cdecl nglListAddMesh_Setup(struct nglMesh *,class math::Mat43 const &,class nglMeshParams *,struct nglShaderParamSet *,void (__cdecl*)(class nglMeshNode *))	
0x00844250	?nglListAddMesh@@YAPAVnglMeshNode@@PAUnglMesh@@ABVMat43@math@@PAVnglMeshParams@@PAUnglShaderParamSet@@P6AXPAV1@@Z@Z	class nglMeshNode * __cdecl nglListAddMesh(struct nglMesh *,class math::Mat43 const &,class nglMeshParams *,struct nglShaderParamSet *,void (__cdecl*)(class nglMeshNode *))	
0x00844290	?nglAPKMeshLoadCallback@@YAXPAVapkFile@apk@@PAVapkFileEntry@2@PAX@Z	void __cdecl nglAPKMeshLoadCallback(class apk::apkFile *,class apk::apkFileEntry *,void *)	
0x00844310	?nglAPKMeshDeleteCallback@@YAXPAVapkFile@apk@@PAVapkFileEntry@2@PAX@Z	void __cdecl nglAPKMeshDeleteCallback(class apk::apkFile *,class apk::apkFileEntry *,void *)	
0x00844380	?nglAPKMaterialLoadCallback@@YAXPAVapkFile@apk@@PAVapkFileEntry@2@PAX@Z	void __cdecl nglAPKMaterialLoadCallback(class apk::apkFile *,class apk::apkFileEntry *,void *)	
0x008443E0	?nglAPKMaterialDeleteCallback@@YAXPAVapkFile@apk@@PAVapkFileEntry@2@PAX@Z	void __cdecl nglAPKMaterialDeleteCallback(class apk::apkFile *,class apk::apkFileEntry *,void *)	
0x00844420	?nglMeshInit@@YAXXZ	void __cdecl nglMeshInit(void)	
0x00844530	?nglGetMesh@@YAPAUnglMesh@@ABVtlFixedString@@_N@Z	struct nglMesh * __cdecl nglGetMesh(class tlFixedString const &,bool)	
0x00844580	?nglGetMaterial@@YAPAUnglMaterial@@ABVtlFixedString@@_N@Z	struct nglMaterial * __cdecl nglGetMaterial(class tlFixedString const &,bool)	
