ida_ea	name	signature	source_cpp
0x0083F6E0	?nglInitQuad@@YAXPAUnglQuad@@@Z	void __cdecl nglInitQuad(struct nglQuad *)	
0x0083F750	?nglSetQuadTex@@YAXPAUnglQuad@@PAUnglTexture@@@Z	void __cdecl nglSetQuadTex(struct nglQuad *,struct nglTexture *)	
0x0083F760	?nglSetQuadMapFlags@@YAXPAUnglQuad@@I@Z	void __cdecl nglSetQuadMapFlags(struct nglQuad *,unsigned int)	
0x0083F770	?nglSetQuadBlend@@YAXPAUnglQuad@@I@Z	void __cdecl nglSetQuadBlend(struct nglQuad *,unsigned int)	
0x0083F780	?nglSetQuadUV@@YAXPAUnglQuad@@MMMM@Z	void __cdecl nglSetQuadUV(struct nglQuad *,float,float,float,float)	
0x0083F7D0	?nglSetQuadColor@@YAXPAUnglQuad@@I@Z	void __cdecl nglSetQuadColor(struct nglQuad *,unsigned int)	
0x0083F7F0	?nglSetQuadRect@@YAXPAUnglQuad@@MMMM@Z	void __cdecl nglSetQuadRect(struct nglQuad *,float,float,float,float)	
0x0083F840	?nglSetQuadZ@@YAXPAUnglQuad@@M@Z	void __cdecl nglSetQuadZ(struct nglQuad *,float)	
0x0083F860	?nglSetQuadVPos@@YAXPAUnglQuad@@HMM@Z	void __cdecl nglSetQuadVPos(struct nglQuad *,int,float,float)	
0x0083F890	?nglSetQuadVUV@@YAXPAUnglQuad@@HMM@Z	void __cdecl nglSetQuadVUV(struct nglQuad *,int,float,float)	
0x0083F8C0	?nglSetQuadVColor@@YAXPAUnglQuad@@HI@Z	void __cdecl nglSetQuadVColor(struct nglQuad *,int,unsigned int)	
0x0083F8E0	?nglRotateQuad@@YAXPAUnglQuad@@MMM@Z	void __cdecl nglRotateQuad(struct nglQuad *,float,float,float)	
0x0083F970	?nglScaleQuad@@YAXPAUnglQuad@@MMMM@Z	void __cdecl nglScaleQuad(struct nglQuad *,float,float,float,float)	
0x0083FA40	?nglRotateQuadUV@@YAXPAUnglQuad@@MMM@Z	void __cdecl nglRotateQuadUV(struct nglQuad *,float,float,float)	
0x0083FAD0	?nglScaleQuadUV@@YAXPAUnglQuad@@MMMM@Z	void __cdecl nglScaleQuadUV(struct nglQuad *,float,float,float,float)	
0x0083FBA0	?nglSetQuadPos@@YAXPAUnglQuad@@MM@Z	void __cdecl nglSetQuadPos(struct nglQuad *,float,float)	
0x0083FC00	?nglListAddQuad@@YAXPAUnglQuad@@@Z	void __cdecl nglListAddQuad(struct nglQuad *)	
