ida_ea	name	signature	source_cpp
0x00839CA0	?nglGetSceneParams@@YAPAUnglSceneParamSet@@PAUnglScene@@@Z	struct nglSceneParamSet * __cdecl nglGetSceneParams(struct nglScene *)	
0x00839CB0	?nglSetRenderTarget@@YAXPAUnglTexture@@@Z	void __cdecl nglSetRenderTarget(struct nglTexture *)	
0x00839CC0	?nglSetZTarget@@YAXPAUnglTexture@@@Z	void __cdecl nglSetZTarget(struct nglTexture *)	
0x00839CD0	?nglSetClearStencil@@YAXI@Z	void __cdecl nglSetClearStencil(unsigned int)	
0x00839CE0	?nglSetClearFlags@@YAXI@Z	void __cdecl nglSetClearFlags(unsigned int)	
0x00839D00	?nglSetClearColor@@YAXMMMM@Z	void __cdecl nglSetClearColor(float,float,float,float)	
0x00839D80	?nglSetClearZ@@YAXM@Z	void __cdecl nglSetClearZ(float)	
0x00839DA0	?nglSetFBWriteMask@@YAXI@Z	void __cdecl nglSetFBWriteMask(unsigned int)	
0x00839DC0	?nglSetZWriteEnable@@YAX_N@Z	void __cdecl nglSetZWriteEnable(bool)	
0x00839DE0	?nglSetZTestEnable@@YAX_N@Z	void __cdecl nglSetZTestEnable(bool)	
0x00839E00	?nglSetFBCopy@@YAX_N0@Z	void __cdecl nglSetFBCopy(bool,bool)	
0x00839E30	?nglSetZCopy@@YAX_N0@Z	void __cdecl nglSetZCopy(bool,bool)	
0x00839E60	?nglSetRenderTiling@@YAXH@Z	void __cdecl nglSetRenderTiling(int)	
0x00839E80	?nglEnableFog@@YAX_N@Z	void __cdecl nglEnableFog(bool)	
0x00839EA0	?nglSetFogColor@@YAXMMM@Z	void __cdecl nglSetFogColor(float,float,float)	
0x00839F20	?nglSetFogRange@@YAXMMMM@Z	void __cdecl nglSetFogRange(float,float,float,float)	
0x00839FE0	?nglEnableDepthOfField@@YAX_N@Z	void __cdecl nglEnableDepthOfField(bool)	
0x0083A000	?nglSetFocusDepth@@YAXM@Z	void __cdecl nglSetFocusDepth(float)	
0x0083A020	?nglSetAnimTime@@YAXM@Z	void __cdecl nglSetAnimTime(float)	
0x0083A040	?Perspective@@YA?AVMat44@math@@MMMM@Z	class math::Mat44 __cdecl Perspective(float,float,float,float)	
0x0083A170	?Ortho@@YA?AVMat44@math@@MMMM@Z	class math::Mat44 __cdecl Ortho(float,float,float,float)	
0x0083A290	?Viewport@@YA?AVMat44@math@@MMMM@Z	class math::Mat44 __cdecl Viewport(float,float,float,float)	
0x0083A3F0	?InvScissor@@YA?AVMat44@math@@MMMM@Z	class math::Mat44 __cdecl InvScissor(float,float,float,float)	
0x0083A540	?ViewportToWorld@@YA?AVMat44@math@@PAUnglScene@@@Z	class math::Mat44 __cdecl ViewportToWorld(struct nglScene *)	
0x0083AC40	?UI@@YA?AVMat44@math@@PAUnglScene@@@Z	class math::Mat44 __cdecl UI(struct nglScene *)	
0x0083ADB0	?nglSetView@@YAXMMMM@Z	void __cdecl nglSetView(float,float,float,float)	
0x0083AE10	?nglSetAspectRatio@@YAXM@Z	void __cdecl nglSetAspectRatio(float)	
0x0083AE40	?nglSetPerspectiveMatrix@@YAXMMM@Z	void __cdecl nglSetPerspectiveMatrix(float,float,float)	
0x0083AED0	?nglSetOrthoMatrix@@YAXMM@Z	void __cdecl nglSetOrthoMatrix(float,float)	
0x0083AF60	?nglSetWorldToViewMatrix@@YAXABVMat43@math@@@Z	void __cdecl nglSetWorldToViewMatrix(class math::Mat43 const &)	
0x0083B0E0	?nglSetCameraMatrix@@YAXABVMat43@math@@@Z	void __cdecl nglSetCameraMatrix(class math::Mat43 const &)	
0x0083B1F0	?nglSetSceneCallBack@@YAXW4nglSceneCallbackType@@P6AXPAX@Z1@Z	void __cdecl nglSetSceneCallBack(enum nglSceneCallbackType,void (__cdecl*)(void *),void *)	
0x0083B3E0	?nglSetEndOfRenderCallback@@YAXP6AXPAX@Z0@Z	void __cdecl nglSetEndOfRenderCallback(void (__cdecl*)(void *),void *)	
0x0083B400	?nglSetEndOfFrameCallback@@YAXP6AXPAX@Z0@Z	void __cdecl nglSetEndOfFrameCallback(void (__cdecl*)(void *),void *)	
