ida_ea	va	name	signature	family
0x00826580	0x00C15A80	?nslMasterGetGroup@@YAPAUnslGroup@@XZ	struct nslGroup * __cdecl nslMasterGetGroup(void)	nslMaster.o
0x00826590	0x00C15A90	?nslIsBusVolumeName@@YA_NI@Z	bool __cdecl nslIsBusVolumeName(unsigned int)	nslMaster.o
0x008265B0	0x00C15AB0	?nslSetBusVolume@@YAXIM@Z	void __cdecl nslSetBusVolume(unsigned int,float)	nslMaster.o
0x008265E0	0x00C15AE0	?nslSetBusPitch@@YAXIM@Z	void __cdecl nslSetBusPitch(unsigned int,float)	nslMaster.o
0x00826610	0x00C15B10	?nslSetBusVolume@@YAXM@Z	void __cdecl nslSetBusVolume(float)	nslMaster.o
0x00826630	0x00C15B30	?nslSetBusPitch@@YAXM@Z	void __cdecl nslSetBusPitch(float)	nslMaster.o
0x00826650	0x00C15B50	?nslSetBusVolumeAddBus@@YAXI@Z	void __cdecl nslSetBusVolumeAddBus(unsigned int)	nslMaster.o
0x00826670	0x00C15B70	?nslSetBusPitchAddBus@@YAXI@Z	void __cdecl nslSetBusPitchAddBus(unsigned int)	nslMaster.o
0x00826690	0x00C15B90	?nslGetBusIdVolumeCount@@YAHXZ	int __cdecl nslGetBusIdVolumeCount(void)	nslMaster.o
0x008266A0	0x00C15BA0	?nslGetBusIdPitchCount@@YAHXZ	int __cdecl nslGetBusIdPitchCount(void)	nslMaster.o
0x008266B0	0x00C15BB0	?nslSetBusVolumeRemoveBus@@YAXI@Z	void __cdecl nslSetBusVolumeRemoveBus(unsigned int)	nslMaster.o
0x00826710	0x00C15C10	?nslSetBusPitchRemoveBus@@YAXI@Z	void __cdecl nslSetBusPitchRemoveBus(unsigned int)	nslMaster.o
0x00826770	0x00C15C70	?nslGetBusIdVolume@@YAIH@Z	unsigned int __cdecl nslGetBusIdVolume(int)	nslMaster.o
0x00826780	0x00C15C80	?nslGetBusIdPitch@@YAIH@Z	unsigned int __cdecl nslGetBusIdPitch(int)	nslMaster.o
0x00826790	0x00C15C90	?nslGetBusVolume@@YAMXZ	float __cdecl nslGetBusVolume(void)	nslMaster.o
0x008267A0	0x00C15CA0	?nslGetBusPitch@@YAMXZ	float __cdecl nslGetBusPitch(void)	nslMaster.o
