ida_ea	name	signature	source_cpp
0x00826580	?nslMasterGetGroup@@YAPAUnslGroup@@XZ	struct nslGroup * __cdecl nslMasterGetGroup(void)	
0x00826590	?nslIsBusVolumeName@@YA_NI@Z	bool __cdecl nslIsBusVolumeName(unsigned int)	
0x008265B0	?nslSetBusVolume@@YAXIM@Z	void __cdecl nslSetBusVolume(unsigned int,float)	
0x008265E0	?nslSetBusPitch@@YAXIM@Z	void __cdecl nslSetBusPitch(unsigned int,float)	
0x00826610	?nslSetBusVolume@@YAXM@Z	void __cdecl nslSetBusVolume(float)	
0x00826630	?nslSetBusPitch@@YAXM@Z	void __cdecl nslSetBusPitch(float)	
0x00826650	?nslSetBusVolumeAddBus@@YAXI@Z	void __cdecl nslSetBusVolumeAddBus(unsigned int)	
0x00826670	?nslSetBusPitchAddBus@@YAXI@Z	void __cdecl nslSetBusPitchAddBus(unsigned int)	
0x00826690	?nslGetBusIdVolumeCount@@YAHXZ	int __cdecl nslGetBusIdVolumeCount(void)	
0x008266A0	?nslGetBusIdPitchCount@@YAHXZ	int __cdecl nslGetBusIdPitchCount(void)	
0x008266B0	?nslSetBusVolumeRemoveBus@@YAXI@Z	void __cdecl nslSetBusVolumeRemoveBus(unsigned int)	
0x00826710	?nslSetBusPitchRemoveBus@@YAXI@Z	void __cdecl nslSetBusPitchRemoveBus(unsigned int)	
0x00826770	?nslGetBusIdVolume@@YAIH@Z	unsigned int __cdecl nslGetBusIdVolume(int)	
0x00826780	?nslGetBusIdPitch@@YAIH@Z	unsigned int __cdecl nslGetBusIdPitch(int)	
0x00826790	?nslGetBusVolume@@YAMXZ	float __cdecl nslGetBusVolume(void)	
0x008267A0	?nslGetBusPitch@@YAMXZ	float __cdecl nslGetBusPitch(void)	
