index	status	map_line
1	PENDING	0002:00420410 ?tlIsPow2@@YA_NI@Z 00C0F910 f i nslSource.o
2	VERIFIED	0002:004207a0 ?nslSourcePtr@@YAPAUnslSource@@W4nslSourceID@@@Z 00C0FCA0 f nslSource.o
3	VERIFIED	0002:004207d0 ?nslEmitterPtr@@YAPAUnslEmitter@@W4nslEmitterID@@@Z 00C0FCD0 f nslSource.o
4	VERIFIED	0002:00420800 ?nslNewEmitter@@YA?AW4nslEmitterID@@PBM@Z 00C0FD00 f nslSource.o
5	VERIFIED	0002:004208a0 ?nslFreeEmitter@@YAXW4nslEmitterID@@@Z 00C0FDA0 f nslSource.o
6	VERIFIED	0002:004208c0 ?nslFreeSourceVoice@@YAXW4nslSourceID@@@Z 00C0FDC0 f nslSource.o
7	VERIFIED	0002:00420920 ?nslFreeSource@@YAXW4nslSourceID@@@Z 00C0FE20 f nslSource.o
8	VERIFIED	0002:00420980 ?nslQueueSource@@YAXW4nslSourceID@@@Z 00C0FE80 f nslSource.o
9	VERIFIED	0002:004209c0 ?nslPlaySource@@YAXW4nslSourceID@@@Z 00C0FEC0 f nslSource.o
10	VERIFIED	0002:00420b50 ?nslStopSource@@YAXW4nslSourceID@@@Z 00C10050 f nslSource.o
11	VERIFIED	0002:00420b60 ?nslSetSourceCallback@@YAXW4nslSourceID@@IP6AXPAX10I1H@Z11@Z 00C10060 f nslSource.o
12	VERIFIED	0002:00420bc0 ?nslPauseSource@@YAXW4nslSourceID@@@Z 00C100C0 f nslSource.o
13	VERIFIED	0002:00420c30 ?nslUnpauseSource@@YAXW4nslSourceID@@@Z 00C10130 f nslSource.o
14	VERIFIED	0002:00420cb0 ?nslGetSourceWaveID@@YA?AW4nslWaveID@@W4nslSourceID@@@Z 00C101B0 f nslSource.o
15	VERIFIED	0002:00420cf0 ?nslGetSourceWave@@YA?AW4nslWaveID@@W4nslSourceID@@@Z 00C101F0 f nslSource.o
16	VERIFIED	0002:00420d30 ?nslGetSourceName@@YAPBDW4nslSourceID@@@Z 00C10230 f nslSource.o
17	VERIFIED	0002:00420d70 ?nslGetSourceGroup@@YAPBDW4nslSourceID@@@Z 00C10270 f nslSource.o
18	VERIFIED	0002:00420dd0 ?nslGetSourceLength@@YAIW4nslSourceID@@@Z 00C102D0 f nslSource.o
19	VERIFIED	0002:00420e10 ?nslGetSourceState@@YA?AW4nslSourceState@@W4nslSourceID@@@Z 00C10310 f nslSource.o
20	VERIFIED	0002:00420e90 ?nslSetSourceOffset@@YAXW4nslSourceID@@I@Z 00C10390 f nslSource.o
21	VERIFIED	0002:00420ed0 ?nslGetSourceOffset@@YAIW4nslSourceID@@@Z 00C103D0 f nslSource.o
22	VERIFIED	0002:00420f10 ?nslSetSourceParam@@YAXW4nslSourceID@@HM@Z 00C10410 f nslSource.o
23	VERIFIED	0002:00420f80 ?nslSetEmitterParam@@YAXW4nslEmitterID@@HM@Z 00C10480 f nslSource.o
24	VERIFIED	0002:00420ff0 ?nslGetSourceParam@@YAMW4nslSourceID@@HM@Z 00C104F0 f nslSource.o
25	VERIFIED	0002:00421050 ?nslGetEmitterParam@@YAMW4nslEmitterID@@HM@Z 00C10550 f nslSource.o
26	VERIFIED	0002:004210b0 ?nslSetSourcePosition@@YAXW4nslSourceID@@QBM@Z 00C105B0 f nslSource.o
