ida_ea	va	name	signature	family
0x008207A0	0x00C0FCA0	?nslSourcePtr@@YAPAUnslSource@@W4nslSourceID@@@Z	struct nslSource * __cdecl nslSourcePtr(enum nslSourceID)	nslSource.o
0x008207D0	0x00C0FCD0	?nslEmitterPtr@@YAPAUnslEmitter@@W4nslEmitterID@@@Z	struct nslEmitter * __cdecl nslEmitterPtr(enum nslEmitterID)	nslSource.o
0x00820800	0x00C0FD00	?nslNewEmitter@@YA?AW4nslEmitterID@@PBM@Z	enum nslEmitterID __cdecl nslNewEmitter(float const *)	nslSource.o
0x008208A0	0x00C0FDA0	?nslFreeEmitter@@YAXW4nslEmitterID@@@Z	void __cdecl nslFreeEmitter(enum nslEmitterID)	nslSource.o
0x008208C0	0x00C0FDC0	?nslFreeSourceVoice@@YAXW4nslSourceID@@@Z	void __cdecl nslFreeSourceVoice(enum nslSourceID)	nslSource.o
0x00820920	0x00C0FE20	?nslFreeSource@@YAXW4nslSourceID@@@Z	void __cdecl nslFreeSource(enum nslSourceID)	nslSource.o
0x00820980	0x00C0FE80	?nslQueueSource@@YAXW4nslSourceID@@@Z	void __cdecl nslQueueSource(enum nslSourceID)	nslSource.o
0x008209C0	0x00C0FEC0	?nslPlaySource@@YAXW4nslSourceID@@@Z	void __cdecl nslPlaySource(enum nslSourceID)	nslSource.o
0x00820B50	0x00C10050	?nslStopSource@@YAXW4nslSourceID@@@Z	void __cdecl nslStopSource(enum nslSourceID)	nslSource.o
0x00820B60	0x00C10060	?nslSetSourceCallback@@YAXW4nslSourceID@@IP6AXPAX10I1H@Z11@Z	void __cdecl nslSetSourceCallback(enum nslSourceID,unsigned int,void (__cdecl*)(void *,void *,enum nslSourceID,unsigned int,void *,int),void *,void *)	nslSource.o
0x00820BC0	0x00C100C0	?nslPauseSource@@YAXW4nslSourceID@@@Z	void __cdecl nslPauseSource(enum nslSourceID)	nslSource.o
0x00820C30	0x00C10130	?nslUnpauseSource@@YAXW4nslSourceID@@@Z	void __cdecl nslUnpauseSource(enum nslSourceID)	nslSource.o
0x00820CB0	0x00C101B0	?nslGetSourceWaveID@@YA?AW4nslWaveID@@W4nslSourceID@@@Z	enum nslWaveID __cdecl nslGetSourceWaveID(enum nslSourceID)	nslSource.o
0x00820CF0	0x00C101F0	?nslGetSourceWave@@YA?AW4nslWaveID@@W4nslSourceID@@@Z	enum nslWaveID __cdecl nslGetSourceWave(enum nslSourceID)	nslSource.o
0x00820D30	0x00C10230	?nslGetSourceName@@YAPBDW4nslSourceID@@@Z	char const * __cdecl nslGetSourceName(enum nslSourceID)	nslSource.o
0x00820D70	0x00C10270	?nslGetSourceGroup@@YAPBDW4nslSourceID@@@Z	char const * __cdecl nslGetSourceGroup(enum nslSourceID)	nslSource.o
0x00820DD0	0x00C102D0	?nslGetSourceLength@@YAIW4nslSourceID@@@Z	unsigned int __cdecl nslGetSourceLength(enum nslSourceID)	nslSource.o
0x00820E10	0x00C10310	?nslGetSourceState@@YA?AW4nslSourceState@@W4nslSourceID@@@Z	enum nslSourceState __cdecl nslGetSourceState(enum nslSourceID)	nslSource.o
0x00820E90	0x00C10390	?nslSetSourceOffset@@YAXW4nslSourceID@@I@Z	void __cdecl nslSetSourceOffset(enum nslSourceID,unsigned int)	nslSource.o
0x00820ED0	0x00C103D0	?nslGetSourceOffset@@YAIW4nslSourceID@@@Z	unsigned int __cdecl nslGetSourceOffset(enum nslSourceID)	nslSource.o
0x00820F10	0x00C10410	?nslSetSourceParam@@YAXW4nslSourceID@@HM@Z	void __cdecl nslSetSourceParam(enum nslSourceID,int,float)	nslSource.o
0x00820F80	0x00C10480	?nslSetEmitterParam@@YAXW4nslEmitterID@@HM@Z	void __cdecl nslSetEmitterParam(enum nslEmitterID,int,float)	nslSource.o
0x00820FF0	0x00C104F0	?nslGetSourceParam@@YAMW4nslSourceID@@HM@Z	float __cdecl nslGetSourceParam(enum nslSourceID,int,float)	nslSource.o
0x00821050	0x00C10550	?nslGetEmitterParam@@YAMW4nslEmitterID@@HM@Z	float __cdecl nslGetEmitterParam(enum nslEmitterID,int,float)	nslSource.o
0x008210B0	0x00C105B0	?nslSetSourcePosition@@YAXW4nslSourceID@@QBM@Z	void __cdecl nslSetSourcePosition(enum nslSourceID,float const * const)	nslSource.o
0x008211C0	0x00C106C0	?nslSetEmitterPosition@@YAXW4nslEmitterID@@QBM@Z	void __cdecl nslSetEmitterPosition(enum nslEmitterID,float const * const)	nslSource.o
0x008212D0	0x00C107D0	?nslGetSourcePosition@@YAXW4nslSourceID@@QAM@Z	void __cdecl nslGetSourcePosition(enum nslSourceID,float * const)	nslSource.o
0x00821320	0x00C10820	?nslGetEmitterPosition@@YAXW4nslEmitterID@@QAM@Z	void __cdecl nslGetEmitterPosition(enum nslEmitterID,float * const)	nslSource.o
0x00821370	0x00C10870	?nslSetSourceVelocity@@YAXW4nslSourceID@@QBM@Z	void __cdecl nslSetSourceVelocity(enum nslSourceID,float const * const)	nslSource.o
0x00821480	0x00C10980	?nslSetEmitterVelocity@@YAXW4nslEmitterID@@QBM@Z	void __cdecl nslSetEmitterVelocity(enum nslEmitterID,float const * const)	nslSource.o
0x00821590	0x00C10A90	?nslGetSourceVelocity@@YAXW4nslSourceID@@QAM@Z	void __cdecl nslGetSourceVelocity(enum nslSourceID,float * const)	nslSource.o
0x008215E0	0x00C10AE0	?nslGetEmitterVelocity@@YAXW4nslEmitterID@@QAM@Z	void __cdecl nslGetEmitterVelocity(enum nslEmitterID,float * const)	nslSource.o
