ida_ea	name	signature	source_cpp
0x008207A0	?nslSourcePtr@@YAPAUnslSource@@W4nslSourceID@@@Z	struct nslSource * __cdecl nslSourcePtr(enum nslSourceID)	
0x008207D0	?nslEmitterPtr@@YAPAUnslEmitter@@W4nslEmitterID@@@Z	struct nslEmitter * __cdecl nslEmitterPtr(enum nslEmitterID)	
0x00820800	?nslNewEmitter@@YA?AW4nslEmitterID@@PBM@Z	enum nslEmitterID __cdecl nslNewEmitter(float const *)	
0x008208A0	?nslFreeEmitter@@YAXW4nslEmitterID@@@Z	void __cdecl nslFreeEmitter(enum nslEmitterID)	
0x008208C0	?nslFreeSourceVoice@@YAXW4nslSourceID@@@Z	void __cdecl nslFreeSourceVoice(enum nslSourceID)	
0x00820920	?nslFreeSource@@YAXW4nslSourceID@@@Z	void __cdecl nslFreeSource(enum nslSourceID)	
0x00820980	?nslQueueSource@@YAXW4nslSourceID@@@Z	void __cdecl nslQueueSource(enum nslSourceID)	
0x008209C0	?nslPlaySource@@YAXW4nslSourceID@@@Z	void __cdecl nslPlaySource(enum nslSourceID)	
0x00820B50	?nslStopSource@@YAXW4nslSourceID@@@Z	void __cdecl nslStopSource(enum nslSourceID)	
0x00820B60	?nslSetSourceCallback@@YAXW4nslSourceID@@IP6AXPAX10I1H@Z11@Z	void __cdecl nslSetSourceCallback(enum nslSourceID,unsigned int,void (__cdecl*)(void *,void *,enum nslSourceID,unsigned int,void *,int),void *,void *)	
0x00820BC0	?nslPauseSource@@YAXW4nslSourceID@@@Z	void __cdecl nslPauseSource(enum nslSourceID)	
0x00820C30	?nslUnpauseSource@@YAXW4nslSourceID@@@Z	void __cdecl nslUnpauseSource(enum nslSourceID)	
0x00820CB0	?nslGetSourceWaveID@@YA?AW4nslWaveID@@W4nslSourceID@@@Z	enum nslWaveID __cdecl nslGetSourceWaveID(enum nslSourceID)	
0x00820CF0	?nslGetSourceWave@@YA?AW4nslWaveID@@W4nslSourceID@@@Z	enum nslWaveID __cdecl nslGetSourceWave(enum nslSourceID)	
0x00820D30	?nslGetSourceName@@YAPBDW4nslSourceID@@@Z	char const * __cdecl nslGetSourceName(enum nslSourceID)	
0x00820D70	?nslGetSourceGroup@@YAPBDW4nslSourceID@@@Z	char const * __cdecl nslGetSourceGroup(enum nslSourceID)	
0x00820DD0	?nslGetSourceLength@@YAIW4nslSourceID@@@Z	unsigned int __cdecl nslGetSourceLength(enum nslSourceID)	
0x00820E10	?nslGetSourceState@@YA?AW4nslSourceState@@W4nslSourceID@@@Z	enum nslSourceState __cdecl nslGetSourceState(enum nslSourceID)	
0x00820E90	?nslSetSourceOffset@@YAXW4nslSourceID@@I@Z	void __cdecl nslSetSourceOffset(enum nslSourceID,unsigned int)	
0x00820ED0	?nslGetSourceOffset@@YAIW4nslSourceID@@@Z	unsigned int __cdecl nslGetSourceOffset(enum nslSourceID)	
0x00820F10	?nslSetSourceParam@@YAXW4nslSourceID@@HM@Z	void __cdecl nslSetSourceParam(enum nslSourceID,int,float)	
0x00820F80	?nslSetEmitterParam@@YAXW4nslEmitterID@@HM@Z	void __cdecl nslSetEmitterParam(enum nslEmitterID,int,float)	
0x00820FF0	?nslGetSourceParam@@YAMW4nslSourceID@@HM@Z	float __cdecl nslGetSourceParam(enum nslSourceID,int,float)	
0x00821050	?nslGetEmitterParam@@YAMW4nslEmitterID@@HM@Z	float __cdecl nslGetEmitterParam(enum nslEmitterID,int,float)	
0x008210B0	?nslSetSourcePosition@@YAXW4nslSourceID@@QBM@Z	void __cdecl nslSetSourcePosition(enum nslSourceID,float const * const)	
0x008211C0	?nslSetEmitterPosition@@YAXW4nslEmitterID@@QBM@Z	void __cdecl nslSetEmitterPosition(enum nslEmitterID,float const * const)	
