index	status	map_line
1	VERIFIED	0002:00426ea0 ?nslWaveNameCompareText@@YAHPBTnslWaveName@@0@Z 00C163A0 f nslWaveBank.o
2	VERIFIED	0002:00426ec0 ?nslWaveNameCompareHash@@YAHPBTnslWaveName@@0@Z 00C163C0 f nslWaveBank.o
3	VERIFIED	0002:00426ee0 ?nslWaveBankGetSlot@@YAPAUnslWaveBankSlot@@W4nslWaveBankID@@@Z 00C163E0 f nslWaveBank.o
4	VERIFIED	0002:00426f20 ?nslWaveBankGetAram@@YAPAXW4nslWaveBankID@@@Z 00C16420 f nslWaveBank.o
5	VERIFIED	0002:00426f70 ?nslWavePtr@@YAPAUnslWave@@W4nslWaveID@@@Z 00C16470 f nslWaveBank.o
6	VERIFIED	0002:00426fe0 ?nslWaveGetBank@@YA?AW4nslWaveBankID@@W4nslWaveID@@@Z 00C164E0 f nslWaveBank.o
7	VERIFIED	0002:00427040 ?nslWaveGetName@@YAPBDW4nslWaveID@@@Z 00C16540 f nslWaveBank.o
8	VERIFIED	0002:004270b0 ?nslWaveGetHash@@YAIW4nslWaveID@@@Z 00C165B0 f nslWaveBank.o
9	VERIFIED	0002:00427140 ?nslWaveGetGroupName@@YAPBDW4nslWaveID@@@Z 00C16640 f nslWaveBank.o
10	VERIFIED	0002:00427170 ?nslWaveGetParam@@YAMW4nslWaveID@@HM@Z 00C16670 f nslWaveBank.o
11	VERIFIED	0002:004271f0 ?nslWaveGetLength@@YAHW4nslWaveID@@@Z 00C166F0 f nslWaveBank.o
12	VERIFIED	0002:00427220 ?nslWaveIsStreaming@@YAHW4nslWaveID@@@Z 00C16720 f nslWaveBank.o
13	VERIFIED	0002:00427250 ?nslWaveIsLooping@@YAHW4nslWaveID@@@Z 00C16750 f nslWaveBank.o
14	VERIFIED	0002:00427280 ?nslWaveGetChannelCount@@YAHW4nslWaveID@@@Z 00C16780 f nslWaveBank.o
15	VERIFIED	0002:004272d0 ?nslWaveIsImportant@@YAHW4nslWaveID@@@Z 00C167D0 f nslWaveBank.o
16	VERIFIED	0002:00427300 ?nslWaveBankLoad@@YA?AW4nslWaveBankID@@W4nflFileID@@II@Z 00C16800 f nslWaveBank.o
17	VERIFIED	0002:004273c0 ?nslWaveBankGetState@@YA?AW4nslWaveBankState@@W4nslWaveBankID@@@Z 00C168C0 f nslWaveBank.o
18	VERIFIED	0002:00427420 ?nslWaveBankPtr@@YAPAUnslWaveBank@@W4nslWaveBankID@@@Z 00C16920 f nslWaveBank.o
19	VERIFIED	0002:00427470 ?nslWaveBankGetName@@YAPBDW4nslWaveBankID@@@Z 00C16970 f nslWaveBank.o
20	VERIFIED	0002:004274c0 ?nslWaveBankGetFile@@YA?AW4nflFileID@@W4nslWaveBankID@@@Z 00C169C0 f nslWaveBank.o
21	VERIFIED	0002:00427510 ?nslWaveBankGetFileOffset@@YAIW4nslWaveBankID@@@Z 00C16A10 f nslWaveBank.o
22	VERIFIED	0002:00427560 ?nslWaveBankGetWave@@YA?AW4nslWaveID@@W4nslWaveBankID@@H@Z 00C16A60 f nslWaveBank.o
23	VERIFIED	0002:004275c0 ?nslWaveBankGetWaveName@@YAPBDW4nslWaveBankID@@H@Z 00C16AC0 f nslWaveBank.o
24	VERIFIED	0002:004275e0 ?nslWaveBankGetWaveCount@@YAHW4nslWaveBankID@@@Z 00C16AE0 f nslWaveBank.o
25	VERIFIED	0002:00427630 ?nslWaveBankGetAramSize@@YAHW4nslWaveBankID@@@Z 00C16B30 f nslWaveBank.o
26	VERIFIED	0002:00427680 ?nslWaveBankGetTextSize@@YAHW4nslWaveBankID@@@Z 00C16B80 f nslWaveBank.o
27	VERIFIED	0002:004276d0 ?nslWaveBankGetInfoSize@@YAHW4nslWaveBankID@@@Z 00C16BD0 f nslWaveBank.o
28	VERIFIED	0002:00427720 ?nslWaveBankGetStreamSize@@YAHW4nslWaveBankID@@@Z 00C16C20 f nslWaveBank.o
29	VERIFIED	0002:00427770 ?nslWaveBankGet@@YA?AW4nslWaveBankID@@H@Z 00C16C70 f nslWaveBank.o
30	VERIFIED	0002:004277a0 ?nslWaveBankSlotsGetCount@@YAIXZ 00C16CA0 f nslWaveBank.o
31	VERIFIED	0002:004277b0 ?nslWaveBankSlotsGetUsedCount@@YAIXZ 00C16CB0 f nslWaveBank.o
32	VERIFIED	0002:004277e0 ?nslWaveBankSlotsGetLoadingCount@@YAIXZ 00C16CE0 f nslWaveBank.o
33	VERIFIED	0002:00427810 ?nslWaveBankSlotsGetLoadedCount@@YAIXZ 00C16D10 f nslWaveBank.o
34	VERIFIED	0002:00427840 ?nslWaveBankLookup@@YAHPBUnslWaveBank@@PBTnslWaveName@@@Z 00C16D40 f nslWaveBank.o
35	VERIFIED	0002:00427a00 ?nslWaveBankGetFile@@YA?AW4nflFileID@@PBUnslWaveBank@@PAI@Z 00C16F00 f nslWaveBank.o
36	VERIFIED	0002:00427a30 ?nslWaveBankSetFile@@YAHPAUnslWaveBank@@W4nflFileID@@I@Z 00C16F30 f nslWaveBank.o
37	VERIFIED	0002:00427aa0 ?nslWaveBankSetAram@@YAHPAUnslWaveBank@@PAX@Z 00C16FA0 f nslWaveBank.o
38	VERIFIED	0002:00427b00 ?nslWaveBankGetAram@@YAPAXPBUnslWaveBank@@@Z 00C17000 f nslWaveBank.o
39	VERIFIED	0002:00427b20 ?nslWaveBankFree@@YAXPAUnslWaveBank@@@Z 00C17020 f nslWaveBank.o
40	VERIFIED	0002:00427bd0 ?nslWaveLookup@@YA?AW4nslWaveID@@PBTnslWaveName@@@Z 00C170D0 f nslWaveBank.o
41	VERIFIED	0002:00427c40 ?nslWaveGetFile@@YA?AW4nflFileID@@W4nslWaveID@@@Z 00C17140 f nslWaveBank.o
42	VERIFIED	0002:00427c90 ?nslWaveBankFree@@YAXW4nslWaveBankID@@@Z 00C17190 f nslWaveBank.o
43	VERIFIED	0002:00427dc0 ?nslWaveBankLookup@@YAHPBUnslWaveBank@@PBD@Z 00C172C0 f nslWaveBank.o
44	VERIFIED	0002:00427e10 ?nslWaveBankLookup@@YAHPBUnslWaveBank@@I@Z 00C17310 f nslWaveBank.o
45	VERIFIED	0002:00427e40 ?nslWaveLookup@@YA?AW4nslWaveID@@PBD@Z 00C17340 f nslWaveBank.o
46	VERIFIED	0002:00427ef0 ?nslWaveLookup@@YA?AW4nslWaveID@@I@Z 00C173F0 f nslWaveBank.o
47	VERIFIED	0002:00427f80 ?nslUpdateBanks@@YAXXZ 00C17480 f nslWaveBank.o
48	VERIFIED	0002:004281a0 ?nslWaveBankLoadBlocking@@YA?AW4nslWaveBankID@@W4nflFileID@@II@Z 00C176A0 f nslWaveBank.o
