ida_ea	va	name	signature	family
0x00826EA0	0x00C163A0	?nslWaveNameCompareText@@YAHPBTnslWaveName@@0@Z	int __cdecl nslWaveNameCompareText(union nslWaveName const *,union nslWaveName const *)	nslWaveBank.o
0x00826EC0	0x00C163C0	?nslWaveNameCompareHash@@YAHPBTnslWaveName@@0@Z	int __cdecl nslWaveNameCompareHash(union nslWaveName const *,union nslWaveName const *)	nslWaveBank.o
0x00826EE0	0x00C163E0	?nslWaveBankGetSlot@@YAPAUnslWaveBankSlot@@W4nslWaveBankID@@@Z	struct nslWaveBankSlot * __cdecl nslWaveBankGetSlot(enum nslWaveBankID)	nslWaveBank.o
0x00826F20	0x00C16420	?nslWaveBankGetAram@@YAPAXW4nslWaveBankID@@@Z	void * __cdecl nslWaveBankGetAram(enum nslWaveBankID)	nslWaveBank.o
0x00826F70	0x00C16470	?nslWavePtr@@YAPAUnslWave@@W4nslWaveID@@@Z	struct nslWave * __cdecl nslWavePtr(enum nslWaveID)	nslWaveBank.o
0x00826FE0	0x00C164E0	?nslWaveGetBank@@YA?AW4nslWaveBankID@@W4nslWaveID@@@Z	enum nslWaveBankID __cdecl nslWaveGetBank(enum nslWaveID)	nslWaveBank.o
0x00827040	0x00C16540	?nslWaveGetName@@YAPBDW4nslWaveID@@@Z	char const * __cdecl nslWaveGetName(enum nslWaveID)	nslWaveBank.o
0x008270B0	0x00C165B0	?nslWaveGetHash@@YAIW4nslWaveID@@@Z	unsigned int __cdecl nslWaveGetHash(enum nslWaveID)	nslWaveBank.o
0x00827140	0x00C16640	?nslWaveGetGroupName@@YAPBDW4nslWaveID@@@Z	char const * __cdecl nslWaveGetGroupName(enum nslWaveID)	nslWaveBank.o
0x00827170	0x00C16670	?nslWaveGetParam@@YAMW4nslWaveID@@HM@Z	float __cdecl nslWaveGetParam(enum nslWaveID,int,float)	nslWaveBank.o
0x008271F0	0x00C166F0	?nslWaveGetLength@@YAHW4nslWaveID@@@Z	int __cdecl nslWaveGetLength(enum nslWaveID)	nslWaveBank.o
0x00827220	0x00C16720	?nslWaveIsStreaming@@YAHW4nslWaveID@@@Z	int __cdecl nslWaveIsStreaming(enum nslWaveID)	nslWaveBank.o
0x00827250	0x00C16750	?nslWaveIsLooping@@YAHW4nslWaveID@@@Z	int __cdecl nslWaveIsLooping(enum nslWaveID)	nslWaveBank.o
0x00827280	0x00C16780	?nslWaveGetChannelCount@@YAHW4nslWaveID@@@Z	int __cdecl nslWaveGetChannelCount(enum nslWaveID)	nslWaveBank.o
0x008272D0	0x00C167D0	?nslWaveIsImportant@@YAHW4nslWaveID@@@Z	int __cdecl nslWaveIsImportant(enum nslWaveID)	nslWaveBank.o
0x00827300	0x00C16800	?nslWaveBankLoad@@YA?AW4nslWaveBankID@@W4nflFileID@@II@Z	enum nslWaveBankID __cdecl nslWaveBankLoad(enum nflFileID,unsigned int,unsigned int)	nslWaveBank.o
0x008273C0	0x00C168C0	?nslWaveBankGetState@@YA?AW4nslWaveBankState@@W4nslWaveBankID@@@Z	enum nslWaveBankState __cdecl nslWaveBankGetState(enum nslWaveBankID)	nslWaveBank.o
0x00827420	0x00C16920	?nslWaveBankPtr@@YAPAUnslWaveBank@@W4nslWaveBankID@@@Z	struct nslWaveBank * __cdecl nslWaveBankPtr(enum nslWaveBankID)	nslWaveBank.o
0x00827470	0x00C16970	?nslWaveBankGetName@@YAPBDW4nslWaveBankID@@@Z	char const * __cdecl nslWaveBankGetName(enum nslWaveBankID)	nslWaveBank.o
0x008274C0	0x00C169C0	?nslWaveBankGetFile@@YA?AW4nflFileID@@W4nslWaveBankID@@@Z	enum nflFileID __cdecl nslWaveBankGetFile(enum nslWaveBankID)	nslWaveBank.o
0x00827510	0x00C16A10	?nslWaveBankGetFileOffset@@YAIW4nslWaveBankID@@@Z	unsigned int __cdecl nslWaveBankGetFileOffset(enum nslWaveBankID)	nslWaveBank.o
0x00827560	0x00C16A60	?nslWaveBankGetWave@@YA?AW4nslWaveID@@W4nslWaveBankID@@H@Z	enum nslWaveID __cdecl nslWaveBankGetWave(enum nslWaveBankID,int)	nslWaveBank.o
0x008275C0	0x00C16AC0	?nslWaveBankGetWaveName@@YAPBDW4nslWaveBankID@@H@Z	char const * __cdecl nslWaveBankGetWaveName(enum nslWaveBankID,int)	nslWaveBank.o
0x008275E0	0x00C16AE0	?nslWaveBankGetWaveCount@@YAHW4nslWaveBankID@@@Z	int __cdecl nslWaveBankGetWaveCount(enum nslWaveBankID)	nslWaveBank.o
0x00827630	0x00C16B30	?nslWaveBankGetAramSize@@YAHW4nslWaveBankID@@@Z	int __cdecl nslWaveBankGetAramSize(enum nslWaveBankID)	nslWaveBank.o
