ida_ea	name	signature	source_cpp
0x0082E3F0	?GetVersion@nvlMovieBase@@SAIXZ	public: static unsigned int __cdecl nvlMovieBase::GetVersion(void)	
0x0082E400	?GetFileID@nvlMovieBase@@QAE?AW4nflFileID@@XZ	public: enum nflFileID __thiscall nvlMovieBase::GetFileID(void)	
0x0082E410	?ReleaseMovie@nvlMovieBase@@QAE?AW4nflFileID@@XZ	public: enum nflFileID __thiscall nvlMovieBase::ReleaseMovie(void)	
0x0082E4C0	?SetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@W42@@Z	public: enum nvlMovieState __thiscall nvlMovieBase::SetMovieState(enum nvlMovieState)	
0x0082E4D0	?GetMovieState@nvlMovieBase@@QAE?AW4nvlMovieState@@XZ	public: enum nvlMovieState __thiscall nvlMovieBase::GetMovieState(void)	
0x0082E4E0	?SetUserDataCallback@nvlMovieBase@@QAEXP6AXPAEI_NPAX@Z2@Z	public: void __thiscall nvlMovieBase::SetUserDataCallback(void (__cdecl*)(unsigned char *,unsigned int,bool,void *),void *)	
0x0082E500	?GetNumFrames@nvlMovieBase@@QAEHXZ	public: int __thiscall nvlMovieBase::GetNumFrames(void)	
0x0082E510	?GetFrameNumber@nvlMovieBase@@QAEHXZ	public: int __thiscall nvlMovieBase::GetFrameNumber(void)	
0x0082E520	?GetTexture@nvlMovieBase@@QAEPAUnglTexture@@XZ	public: struct nglTexture * __thiscall nvlMovieBase::GetTexture(void)	
0x0082E530	?DecodeFrame@nvlMovieBase@@UAE?AW4nvlFrameState@@XZ	public: virtual enum nvlFrameState __thiscall nvlMovieBase::DecodeFrame(void)	
0x0082E540	?SetConvertNTSCtoPAL@nvlMovieBase@@SAX_N@Z	public: static void __cdecl nvlMovieBase::SetConvertNTSCtoPAL(bool)	
0x0082E550	?SetAudioTrack@nvlMovieBase@@QAE?AW4nvlResult@@H@Z	public: enum nvlResult __thiscall nvlMovieBase::SetAudioTrack(int)	
0x0082E560	?IsBufferLoading@nvlMovieBase@@QAE_NXZ	public: bool __thiscall nvlMovieBase::IsBufferLoading(void)	
0x0082E590	?Reset@nvlMovieBase@@UAEXXZ	public: virtual void __thiscall nvlMovieBase::Reset(void)	
0x0082E610	?CheckNextNFLRequest@nvlMovieBase@@AAEXXZ	private: void __thiscall nvlMovieBase::CheckNextNFLRequest(void)	
0x0082E730	??0nvlMovieBase@@QAE@XZ	public: __thiscall nvlMovieBase::nvlMovieBase(void)	
0x0082E780	??1nvlMovieBase@@UAE@XZ	public: virtual __thiscall nvlMovieBase::~nvlMovieBase(void)	
0x0082E790	?InitMovie@nvlMovieBase@@UAE?AW4nvlResult@@XZ	public: virtual enum nvlResult __thiscall nvlMovieBase::InitMovie(void)	
0x0082E970	?BufferCheckBytes@nvlMovieBase@@QAE_NH_N@Z	public: bool __thiscall nvlMovieBase::BufferCheckBytes(int,bool)	
0x0082EB80	?IsBufferFull@nvlMovieBase@@QAE_NXZ	public: bool __thiscall nvlMovieBase::IsBufferFull(void)	
0x0082EBF0	?RequestCallback@nvlMovieBase@@QAEXW4nflRequestState@@W4nflRequestID@@@Z	public: void __thiscall nvlMovieBase::RequestCallback(enum nflRequestState,enum nflRequestID)	
