object	checklist_file	inventory_file	plan_file	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
87cdisp.obj	analysis/87cdisp_obj_checklist.tsv	analysis/87cdisp_obj_inventory.tsv	analysis/87cdisp_obj_plan.tsv	5	0	0	5	0	0	0
87ctran.obj	analysis/87ctran_obj_checklist.tsv	analysis/87ctran_obj_inventory.tsv	analysis/87ctran_obj_plan.tsv	4	0	0	4	0	0	0
87ctrigh.obj	analysis/87ctrigh_obj_checklist.tsv	analysis/87ctrigh_obj_inventory.tsv	analysis/87ctrigh_obj_plan.tsv	6	0	0	6	0	0	0
87disp.obj	analysis/87disp_obj_checklist.tsv	analysis/87disp_obj_inventory.tsv	analysis/87disp_obj_plan.tsv	2	0	0	2	0	0	0
87except.obj	analysis/87except_obj_checklist.tsv	analysis/87except_obj_inventory.tsv	analysis/87except_obj_plan.tsv	1	0	0	1	0	0	0
87fmod.obj	analysis/87fmod_obj_checklist.tsv	analysis/87fmod_obj_inventory.tsv	analysis/87fmod_obj_plan.tsv	2	0	0	2	0	0	0
AeAssert.o	analysis/AeAssert_o_checklist.tsv	analysis/AeAssert_o_inventory.tsv	analysis/AeAssert_o_plan.tsv	12	8	4	0	0	0	0
AeHash.o	analysis/AeHash_o_checklist.tsv	analysis/AeHash_o_inventory.tsv	analysis/AeHash_o_plan.tsv	1	1	0	0	0	0	0
Broc.o	analysis/Broc_o_checklist.tsv	analysis/Broc_o_inventory.tsv	analysis/Broc_o_plan.tsv	161	95	66	0	0	0	0
ByteOrder.obj	analysis/ByteOrder_obj_checklist.tsv	analysis/ByteOrder_obj_inventory.tsv	analysis/ByteOrder_obj_plan.tsv	5	0	0	5	0	0	0
ByteOrderIO.obj	analysis/ByteOrderIO_obj_checklist.tsv	analysis/ByteOrderIO_obj_inventory.tsv	analysis/ByteOrderIO_obj_plan.tsv	14	0	0	14	0	0	0
CallFunctor.o	analysis/CallFunctor_o_checklist.tsv	analysis/CallFunctor_o_inventory.tsv	analysis/CallFunctor_o_plan.tsv	1	1	0	0	0	0	0
CircularBuffer.obj	analysis/CircularBuffer_obj_checklist.tsv	analysis/CircularBuffer_obj_inventory.tsv	analysis/CircularBuffer_obj_plan.tsv	6	0	0	6	0	0	0
FNXSDet.obj	analysis/FNXSDet_obj_checklist.tsv	analysis/FNXSDet_obj_inventory.tsv	analysis/FNXSDet_obj_plan.tsv	10	0	0	10	0	0	0
InplaceFileBuilder.o	analysis/InplaceFileBuilder_o_checklist.tsv	analysis/InplaceFileBuilder_o_inventory.tsv	analysis/InplaceFileBuilder_o_plan.tsv	1	1	0	0	0	0	0
InplaceTree.o	analysis/InplaceTree_o_checklist.tsv	analysis/InplaceTree_o_inventory.tsv	analysis/InplaceTree_o_plan.tsv	1	1	0	0	0	0	0
MemoryUnit.o	analysis/MemoryUnit_o_checklist.tsv	analysis/MemoryUnit_o_inventory.tsv	analysis/MemoryUnit_o_plan.tsv	35	23	12	0	0	0	0
PoolAllocator.o	analysis/PoolAllocator_o_checklist.tsv	analysis/PoolAllocator_o_inventory.tsv	analysis/PoolAllocator_o_plan.tsv	64	17	47	0	0	0	0
PtrFixupTable.o	analysis/PtrFixupTable_o_checklist.tsv	analysis/PtrFixupTable_o_inventory.tsv	analysis/PtrFixupTable_o_plan.tsv	2	2	0	0	0	0	0
SearchGraph.obj	analysis/SearchGraph_obj_checklist.tsv	analysis/SearchGraph_obj_inventory.tsv	analysis/SearchGraph_obj_plan.tsv	18	0	0	18	0	0	0
ShaderCommon.o	analysis/ShaderCommon_o_checklist.tsv	analysis/ShaderCommon_o_inventory.tsv	analysis/ShaderCommon_o_plan.tsv	33	18	15	0	0	0	0
UnpackVoice.obj	analysis/UnpackVoice_obj_checklist.tsv	analysis/UnpackVoice_obj_inventory.tsv	analysis/UnpackVoice_obj_plan.tsv	9	0	0	9	0	0	0
XVoiceCmdsLib.obj	analysis/XVoiceCmdsLib_obj_checklist.tsv	analysis/XVoiceCmdsLib_obj_inventory.tsv	analysis/XVoiceCmdsLib_obj_plan.tsv	5	0	0	5	0	0	0
XboxMemoryUnit.o	analysis/XboxMemoryUnit_o_checklist.tsv	analysis/XboxMemoryUnit_o_inventory.tsv	analysis/XboxMemoryUnit_o_plan.tsv	46	28	18	0	0	0	0
_ctype.obj	analysis/_ctype_obj_checklist.tsv	analysis/_ctype_obj_inventory.tsv	analysis/_ctype_obj_plan.tsv	15	0	0	15	0	0	0
_filbuf.obj	analysis/_filbuf_obj_checklist.tsv	analysis/_filbuf_obj_inventory.tsv	analysis/_filbuf_obj_plan.tsv	1	0	0	1	0	0	0
_file.obj	analysis/_file_obj_checklist.tsv	analysis/_file_obj_inventory.tsv	analysis/_file_obj_plan.tsv	7	0	0	7	0	0	0
_flsbuf.obj	analysis/_flsbuf_obj_checklist.tsv	analysis/_flsbuf_obj_inventory.tsv	analysis/_flsbuf_obj_plan.tsv	1	0	0	1	0	0	0
_flswbuf.obj	analysis/_flswbuf_obj_checklist.tsv	analysis/_flswbuf_obj_inventory.tsv	analysis/_flswbuf_obj_plan.tsv	1	0	0	1	0	0	0
_fptostr.obj	analysis/_fptostr_obj_checklist.tsv	analysis/_fptostr_obj_inventory.tsv	analysis/_fptostr_obj_plan.tsv	1	0	0	1	0	0	0
_freebuf.obj	analysis/_freebuf_obj_checklist.tsv	analysis/_freebuf_obj_inventory.tsv	analysis/_freebuf_obj_plan.tsv	1	0	0	1	0	0	0
_getbuf.obj	analysis/_getbuf_obj_checklist.tsv	analysis/_getbuf_obj_inventory.tsv	analysis/_getbuf_obj_plan.tsv	1	0	0	1	0	0	0
_open.obj	analysis/_open_obj_checklist.tsv	analysis/_open_obj_inventory.tsv	analysis/_open_obj_plan.tsv	1	0	0	1	0	0	0
_sftbuf.obj	analysis/_sftbuf_obj_checklist.tsv	analysis/_sftbuf_obj_inventory.tsv	analysis/_sftbuf_obj_plan.tsv	2	0	0	2	0	0	0
_stricmp.obj	analysis/_stricmp_obj_checklist.tsv	analysis/_stricmp_obj_inventory.tsv	analysis/_stricmp_obj_plan.tsv	1	0	0	1	0	0	0
_strnicm.obj	analysis/_strnicm_obj_checklist.tsv	analysis/_strnicm_obj_inventory.tsv	analysis/_strnicm_obj_plan.tsv	1	0	0	1	0	0	0
abort.obj	analysis/abort_obj_checklist.tsv	analysis/abort_obj_inventory.tsv	analysis/abort_obj_plan.tsv	1	0	0	1	0	0	0
abs.obj	analysis/abs_obj_checklist.tsv	analysis/abs_obj_inventory.tsv	analysis/abs_obj_plan.tsv	2	0	0	2	0	0	0
ac97.obj	analysis/ac97_obj_checklist.tsv	analysis/ac97_obj_inventory.tsv	analysis/ac97_obj_plan.tsv	55	0	0	55	0	0	0
ac97xmo.obj	analysis/ac97xmo_obj_checklist.tsv	analysis/ac97xmo_obj_inventory.tsv	analysis/ac97xmo_obj_plan.tsv	31	0	0	31	0	0	0
accounts.obj	analysis/accounts_obj_checklist.tsv	analysis/accounts_obj_inventory.tsv	analysis/accounts_obj_plan.tsv	42	0	0	42	0	0	0
acos.obj	analysis/acos_obj_checklist.tsv	analysis/acos_obj_inventory.tsv	analysis/acos_obj_plan.tsv	1	0	0	1	0	0	0
adler32.o	analysis/adler32_o_checklist.tsv	analysis/adler32_o_inventory.tsv	analysis/adler32_o_plan.tsv	2	2	0	0	0	0	0
advnotif.obj	analysis/advnotif_obj_checklist.tsv	analysis/advnotif_obj_inventory.tsv	analysis/advnotif_obj_plan.tsv	21	0	0	21	0	0	0
ae_controller.o	analysis/ae_controller_o_checklist.tsv	analysis/ae_controller_o_inventory.tsv	analysis/ae_controller_o_plan.tsv	2	2	0	0	0	0	0
ae_fixed_string.o	analysis/ae_fixed_string_o_checklist.tsv	analysis/ae_fixed_string_o_inventory.tsv	analysis/ae_fixed_string_o_plan.tsv	9	9	0	0	0	0	0
ae_heap.o	analysis/ae_heap_o_checklist.tsv	analysis/ae_heap_o_inventory.tsv	analysis/ae_heap_o_plan.tsv	12	8	4	0	0	0	0
afmv_dx_idct.o	analysis/afmv_dx_idct_o_checklist.tsv	analysis/afmv_dx_idct_o_inventory.tsv	analysis/afmv_dx_idct_o_plan.tsv	3	3	0	0	0	0	0
afmv_dx_rgb.o	analysis/afmv_dx_rgb_o_checklist.tsv	analysis/afmv_dx_rgb_o_inventory.tsv	analysis/afmv_dx_rgb_o_plan.tsv	2	2	0	0	0	0	0
allocate.obj	analysis/allocate_obj_checklist.tsv	analysis/allocate_obj_inventory.tsv	analysis/allocate_obj_plan.tsv	18	0	0	18	0	0	0
anim.o	analysis/anim_o_checklist.tsv	analysis/anim_o_inventory.tsv	analysis/anim_o_plan.tsv	741	728	13	0	0	0	0
api.obj	analysis/api_obj_checklist.tsv	analysis/api_obj_inventory.tsv	analysis/api_obj_plan.tsv	259	0	0	259	0	0	0
apk.o	analysis/apk_o_checklist.tsv	analysis/apk_o_inventory.tsv	analysis/apk_o_plan.tsv	24	23	1	0	0	0	0
apsAction.o	analysis/apsAction_o_checklist.tsv	analysis/apsAction_o_inventory.tsv	analysis/apsAction_o_plan.tsv	19	11	8	0	0	0	0
apsActionList.o	analysis/apsActionList_o_checklist.tsv	analysis/apsActionList_o_inventory.tsv	analysis/apsActionList_o_plan.tsv	26	15	11	0	0	0	0
apsBillboardNode.o	analysis/apsBillboardNode_o_checklist.tsv	analysis/apsBillboardNode_o_inventory.tsv	analysis/apsBillboardNode_o_plan.tsv	33	2	31	0	0	0	0
apsBillboardRenderer.o	analysis/apsBillboardRenderer_o_checklist.tsv	analysis/apsBillboardRenderer_o_inventory.tsv	analysis/apsBillboardRenderer_o_plan.tsv	12	4	8	0	0	0	0
apsColorBillboardNode.o	analysis/apsColorBillboardNode_o_checklist.tsv	analysis/apsColorBillboardNode_o_inventory.tsv	analysis/apsColorBillboardNode_o_plan.tsv	16	2	14	0	0	0	0
apsColorBillboardRenderer.o	analysis/apsColorBillboardRenderer_o_checklist.tsv	analysis/apsColorBillboardRenderer_o_inventory.tsv	analysis/apsColorBillboardRenderer_o_plan.tsv	11	3	8	0	0	0	0
apsColorRectangleNode.o	analysis/apsColorRectangleNode_o_checklist.tsv	analysis/apsColorRectangleNode_o_inventory.tsv	analysis/apsColorRectangleNode_o_plan.tsv	16	2	14	0	0	0	0
apsColorRectangleRenderer.o	analysis/apsColorRectangleRenderer_o_checklist.tsv	analysis/apsColorRectangleRenderer_o_inventory.tsv	analysis/apsColorRectangleRenderer_o_plan.tsv	21	8	13	0	0	0	0
apsColorUVANode.o	analysis/apsColorUVANode_o_checklist.tsv	analysis/apsColorUVANode_o_inventory.tsv	analysis/apsColorUVANode_o_plan.tsv	16	2	14	0	0	0	0
apsColorUVARectangleNode.o	analysis/apsColorUVARectangleNode_o_checklist.tsv	analysis/apsColorUVARectangleNode_o_inventory.tsv	analysis/apsColorUVARectangleNode_o_plan.tsv	16	2	14	0	0	0	0
apsColorUVARectangleRenderer.o	analysis/apsColorUVARectangleRenderer_o_checklist.tsv	analysis/apsColorUVARectangleRenderer_o_inventory.tsv	analysis/apsColorUVARectangleRenderer_o_plan.tsv	19	4	15	0	0	0	0
apsColorUVARenderer.o	analysis/apsColorUVARenderer_o_checklist.tsv	analysis/apsColorUVARenderer_o_inventory.tsv	analysis/apsColorUVARenderer_o_plan.tsv	11	3	8	0	0	0	0
apsCommon.o	analysis/apsCommon_o_checklist.tsv	analysis/apsCommon_o_inventory.tsv	analysis/apsCommon_o_plan.tsv	48	34	14	0	0	0	0
apsDebug.o	analysis/apsDebug_o_checklist.tsv	analysis/apsDebug_o_inventory.tsv	analysis/apsDebug_o_plan.tsv	3	2	1	0	0	0	0
apsEffect.o	analysis/apsEffect_o_checklist.tsv	analysis/apsEffect_o_inventory.tsv	analysis/apsEffect_o_plan.tsv	145	57	88	0	0	0	0
apsEffectTemplate.o	analysis/apsEffectTemplate_o_checklist.tsv	analysis/apsEffectTemplate_o_inventory.tsv	analysis/apsEffectTemplate_o_plan.tsv	69	48	21	0	0	0	0
apsError.o	analysis/apsError_o_checklist.tsv	analysis/apsError_o_inventory.tsv	analysis/apsError_o_plan.tsv	8	8	0	0	0	0	0
apsGroup.o	analysis/apsGroup_o_checklist.tsv	analysis/apsGroup_o_inventory.tsv	analysis/apsGroup_o_plan.tsv	42	30	12	0	0	0	0
