index	status	map_line
1	PORTED	0002:00491b10 ?rel_cmp_ge@@YA?B_NMMM@Z 00C81010 f i phys_constraint_solver_multithreaded.o
2	PORTED	0002:00491b40 ?Mul@math@@YA?AVMat33@1@ABV21@ABVDiagMat33@1@@Z 00C81040 f i phys_constraint_solver_multithreaded.o
3	PORTED	0002:00491be0 ??Dmath@@YA?AVMat33@0@ABV10@ABVDiagMat33@0@@Z 00C810E0 f i phys_constraint_solver_multithreaded.o
4	PORTED	0002:00491c80 ?is_no_auto_remove@rigid_body@@QBE?BIXZ 00C81180 f i phys_constraint_solver_multithreaded.o
5	PORTED	0002:00491c90 ?object_vel_@pulse_sum_normal@@ABEABVDir3@math@@XZ 00C81190 f i phys_constraint_solver_multithreaded.o
6	PORTED	0002:00491ca0 ?object_col_pt_@pulse_sum_normal@@ABEABVDir3@math@@XZ 00C811A0 f i phys_constraint_solver_multithreaded.o
7	FIXED	0002:00491cb0 ?set_object_vel@pulse_sum_normal@@QAEXABVDir3@math@@@Z 00C811B0 f i phys_constraint_solver_multithreaded.o
8	FIXED	0002:00491d00 ?set_object_col_pt@pulse_sum_normal@@QAEXABVDir3@math@@@Z 00C81200 f i phys_constraint_solver_multithreaded.o
9	PORTED	0002:00491d50 ?get_pulse_sum@pulse_sum_normal@@QBE?BMXZ 00C81250 f i phys_constraint_solver_multithreaded.o
10	PORTED	0002:00491d60 ?object_vel_@pulse_sum_point@@ABEABVDir3@math@@XZ 00C81260 f i phys_constraint_solver_multithreaded.o
11	PORTED	0002:00491d70 ?object_col_pt_@pulse_sum_point@@ABEABVDir3@math@@XZ 00C81270 f i phys_constraint_solver_multithreaded.o
12	FIXED	0002:00491d80 ?set_object_vel@pulse_sum_point@@AAEXABVDir3@math@@@Z 00C81280 f i phys_constraint_solver_multithreaded.o
13	FIXED	0002:00491dd0 ?set_object_col_pt@pulse_sum_point@@AAEXABVDir3@math@@@Z 00C812D0 f i phys_constraint_solver_multithreaded.o
14	FIXED	0002:00491e20 ?phys_diag_multiply_and_square@pulse_sum_point@@AAE?BVDir3@math@@ABV23@0@Z 00C81320 f i phys_constraint_solver_multithreaded.o
15	PORTED	0002:00491ef0 ?object_vel_@pulse_sum_angular@@ABEABVDir3@math@@XZ 00C813F0 f i phys_constraint_solver_multithreaded.o
16	PORTED	0002:00491f00 ?object_col_pt_@pulse_sum_angular@@ABEABVDir3@math@@XZ 00C81400 f i phys_constraint_solver_multithreaded.o
17	FIXED	0002:00491f10 ?set_object_vel@pulse_sum_angular@@AAEXABVDir3@math@@@Z 00C81410 f i phys_constraint_solver_multithreaded.o
18	FIXED	0002:00491f60 ?set_object_col_pt@pulse_sum_angular@@AAEXABVDir3@math@@@Z 00C81460 f i phys_constraint_solver_multithreaded.o
19	VERIFIED	0002:00491fb0 ??0vec2@pulse_sum_contact@@QAE@XZ 00C814B0 f i phys_constraint_solver_multithreaded.o
20	VERIFIED	0002:00491fc0 ??0vec2@pulse_sum_contact@@QAE@MM@Z 00C814C0 f i phys_constraint_solver_multithreaded.o
21	VERIFIED	0002:00491fe0 ??G@YA?BUvec2@pulse_sum_contact@@ABU01@0@Z 00C814E0 f i phys_constraint_solver_multithreaded.o
22	VERIFIED	0002:00492010 ??Zvec2@pulse_sum_contact@@QAEXABU01@@Z 00C81510 f i phys_constraint_solver_multithreaded.o
23	PORTED	0002:00492040 ?object_vel_@psc_cpi@pulse_sum_contact@@QBEABVDir3@math@@XZ 00C81540 f i phys_constraint_solver_multithreaded.o
24	PORTED	0002:00492050 ?object_col_pt_@psc_cpi@pulse_sum_contact@@QBEABVDir3@math@@XZ 00C81550 f i phys_constraint_solver_multithreaded.o
25	FIXED	0002:00492060 ?set_object_vel@psc_cpi@pulse_sum_contact@@QAEXPAV2@ABVDir3@math@@@Z 00C81560 f i phys_constraint_solver_multithreaded.o
26	FIXED	0002:004920b0 ?set_object_col_pt@psc_cpi@pulse_sum_contact@@QAEXPAV2@ABVDir3@math@@@Z 00C815B0 f i phys_constraint_solver_multithreaded.o
27	PORTED	0002:00492100 ?get_std_max_penalty_restitution_vel@pulse_sum_contact@@SA?BMXZ 00C81600 f i phys_constraint_solver_multithreaded.o
28	VERIFIED	0002:00492110 ?set@user_rigid_body_restore_info@pulse_sum_constraint_solver@@QAEXPAV12@PAPAVuser_rigid_body@@PAVtemp_user_rigid_body@2@@Z 00C81610 f i phys_constraint_solver_multithreaded.o
29	VERIFIED	0002:00492130 ?restore@user_rigid_body_restore_info@pulse_sum_constraint_solver@@QAEXXZ 00C81630 f i phys_constraint_solver_multithreaded.o
30	FIXED	0002:00492140 ?psc_is_persistant@pulse_sum_constraint_solver@@SA?BHQAVpulse_sum_cache@@H@Z 00C81640 f i phys_constraint_solver_multithreaded.o
