index	status	map_line
1	PORTED	0002:00487130 ?fast_is_within_buffer_limits@phys_memory_heap@@QAE_NPAXH@Z 00C76630 f i phys_contact_manifold.o
2	PORTED	0002:00487160 ?phys_v2_cross@@YA?BMABVDir3@math@@0@Z 00C76660 f i phys_contact_manifold.o
3	PORTED	0002:004871d0 ?phys_v2_le@@YA?B_NABVDir3@math@@0@Z 00C766D0 f i phys_contact_manifold.o
4	PORTED	0002:00487270 ?phys_v2_rotr@@YA?BVDir3@math@@ABV12@@Z 00C76770 f i phys_contact_manifold.o
5	PORTED	0002:004872e0 ?get_convex_poly_min_length_sq@phys_contact_manifold@@SA?BMXZ 00C767E0 f i phys_contact_manifold.o
6	PORTED	0002:004872f0 ?get_convex_poly_min_sin_sq@phys_contact_manifold@@SA?BMXZ 00C767F0 f i phys_contact_manifold.o
7	PORTED	0002:00487300 ?get_poly_vert@phys_contact_manifold@@QBEABVDir3@math@@H@Z 00C76800 f i phys_contact_manifold.o
8	PORTED	0002:00487350 ?next_pv@isect_info@phys_contact_manifold_process@@QAEPAPAUcontact_manifold_mesh_point@@PAPAU3@@Z 00C76850 f i phys_contact_manifold.o
9	PORTED	0002:00487370 ?prev_pv@isect_info@phys_contact_manifold_process@@QAEPAPAUcontact_manifold_mesh_point@@PAPAU3@@Z 00C76870 f i phys_contact_manifold.o
10	PORTED	0002:00487390 ?get_poly_vert_displacement_factor@phys_contact_manifold_process@@SA?BMXZ 00C76890 f i phys_contact_manifold.o
11	PORTED	0002:004873a0 ?compute_convex_poly_area@phys_contact_manifold@@QAE?BMXZ 00C768A0 f phys_contact_manifold.o
12	PORTED	0002:00487460 ?compute_convex_poly_perimeter@phys_contact_manifold@@QAE?BMXZ 00C76960 f phys_contact_manifold.o
13	VERIFIED	0002:004874f0 ?qsort@phys_contact_manifold@@QAEXPAPAUcontact_manifold_mesh_point@@0@Z 00C769F0 f phys_contact_manifold.o
14	VERIFIED	0002:00487590 ?setup_list_sorted_mesh_point@phys_contact_manifold@@QAEXXZ 00C76A90 f phys_contact_manifold.o
15	VERIFIED	0002:004875b0 ?generate_convex_poly_internal@phys_contact_manifold@@QAEXXZ 00C76AB0 f phys_contact_manifold.o
16	VERIFIED	0002:004877c0 ?find_bottom@phys_contact_manifold_process@@QAE_NPAUbridge@1@PAUisect_info@1@1@Z 00C76CC0 f phys_contact_manifold.o
17	PORTED	0002:00487a10 ?comp_feature_normal@phys_contact_manifold@@QAE?BVDir3@math@@ABVMat43@3@@Z 00C76F10 f phys_contact_manifold.o
18	PORTED	0002:00487ea0 ?generate_convex_poly@phys_contact_manifold@@QAEXABVMat43@math@@@Z 00C773A0 f phys_contact_manifold.o
19	PORTED	0002:004880a0 ?intersect_poly_segment@phys_contact_manifold_process@@QAEXPAVphys_contact_manifold@@ABVDir3@math@@1@Z 00C775A0 f phys_contact_manifold.o
20	VERIFIED	0002:00488340 ?intersect_poly_poly@phys_contact_manifold_process@@QAEXXZ 00C77840 f phys_contact_manifold.o
21	PORTED	0002:004889f0 ?rht@phys_contact_manifold@@SA_NABVDir3@math@@0MM@Z 00C77EF0 f i phys_contact_manifold.o
22	PORTED	0002:00488ac0 ?init@isect_info@phys_contact_manifold_process@@QAEXPAVphys_contact_manifold@@@Z 00C77FC0 f i phys_contact_manifold.o
23	VERIFIED	0002:00488b30 ?update@isect_info@phys_contact_manifold_process@@QAEXXZ 00C78030 f i phys_contact_manifold.o
24	VERIFIED	0002:00488ba0 ??0isect_info@phys_contact_manifold_process@@QAE@XZ 00C780A0 f i phys_contact_manifold.o
25	PORTED	0002:00488bb0 ?phys_v3_to_v2_inv_multiply@@YA?BVDir3@math@@ABVMat43@2@ABV12@@Z 00C780B0 f i phys_contact_manifold.o
26	PORTED	0002:00488c50 ?displace_contact_p@@YAXPAPAUcontact_manifold_mesh_point@@ABVDir3@math@@ABVMat43@3@@Z 00C78150 f i phys_contact_manifold.o
