index	status	map_line
1	VERIFIED	0002:0048b050 ??0phys_proftimer_callbacks@@QAE@XZ 00C7A550 f i physics_system_internal.o
2	PORTED	0002:0048b060 ?PHYS_START_PROF_TIMER@@YAXW4phys_proftimer_e@@@Z 00C7A560 f i physics_system_internal.o
3	PORTED	0002:0048b080 ?PHYS_STOP_PROF_TIMER@@YAXW4phys_proftimer_e@@@Z 00C7A580 f i physics_system_internal.o
4	FIXED	0002:0048b0a0 ?time_sub@@YA?BMABVouter_time@@0@Z 00C7A5A0 f i physics_system_internal.o
5	VERIFIED	0002:0048b0b0 ?get_time_scale@rigid_body@@QBEABVouter_time@@XZ 00C7A5B0 f i physics_system_internal.o
6	FIXED	0002:0048b0c0 ?get_max_delta_t@rigid_body@@QBE?BMXZ 00C7A5C0 f i physics_system_internal.o
7	VERIFIED	0002:0048b0d0 ?list_partition_head_reset@pulse_sum_constraint_solver@@QAEXXZ 00C7A5D0 f i physics_system_internal.o
8	VERIFIED	0002:0048b0e0 ?list_partition_head_add@pulse_sum_constraint_solver@@QAEXPAVrigid_body@@@Z 00C7A5E0 f i physics_system_internal.o
9	VERIFIED	0002:0048b100 ?outer_prolog_update@rigid_body_constraint@@QAEXABVouter_time@@@Z 00C7A600 f i physics_system_internal.o
10	VERIFIED	0002:0048b110 ?outer_epilog_update@rigid_body_constraint@@QAEXABVouter_time@@@Z 00C7A610 f i physics_system_internal.o
11	VERIFIED	0002:0048b120 ?get_solver_priority@rigid_body_constraint_contact@@QBE?BIXZ 00C7A620 f i physics_system_internal.o
12	VERIFIED	0002:0048b130 ?prolog_frame_advance@rbint@@SAXPAVuser_rigid_body@@ABVouter_time@@@Z 00C7A630 f i physics_system_internal.o
13	VERIFIED	0002:0048b1c0 ?take_next_step@rbint@@SAXPAVuser_rigid_body@@ABVouter_time@@@Z 00C7A6C0 f i physics_system_internal.o
14	VERIFIED	0002:0048b2a0 ?take_last_step@rbint@@SAXPAVuser_rigid_body@@ABVouter_time@@@Z 00C7A7A0 f i physics_system_internal.o
15	VERIFIED	0002:0048b380 ?epilog_frame_advance@rbint@@SAXQAVrigid_body@@ABVouter_time@@@Z 00C7A880 f i physics_system_internal.o
16	FIXED	0002:0048b3f0 ?reset@list_constraint_solver@phys_constraint_solver_multithreaded@@QAEXAAVpulse_sum_constraint_solver@@@Z 00C7A8F0 f i physics_system_internal.o
17	FIXED	0002:0048b410 ?add@list_constraint_solver@phys_constraint_solver_multithreaded@@QAEXPAVrigid_body@@@Z 00C7A910 f i physics_system_internal.o
18	VERIFIED	0002:0048b430 ?set_flag@physics_system@@QAEXIH@Z 00C7A930 f i physics_system_internal.o
19	VERIFIED	0002:0048b460 ?set_outside_sub_delta_t@physics_system@@QAEXM@Z 00C7A960 f i physics_system_internal.o
20	VERIFIED	0002:0048b480 ?set_next@rbcint@@SAXPAVrigid_body_constraint@@0@Z 00C7A980 f i physics_system_internal.o
21	PORTED	0002:0048b490 ?IPN_init@@YAXPAVrigid_body@@@Z 00C7A990 f i physics_system_internal.o
22	FIXED	0002:0048b4c0 ?IPN_get_max_delta_t@@YA?BMPAVrigid_body@@@Z 00C7A9C0 f i physics_system_internal.o
23	PORTED	0002:0048b540 ?IPN_reset_rbc_lists@@YAXPAVrigid_body@@@Z 00C7AA40 f i physics_system_internal.o
24	FIXED	0002:0048b5b0 ?verify_time_scale@@YAXPAVrigid_body_constraint@@ABVouter_time@@@Z 00C7AAB0 f physics_system_internal.o
25	VERIFIED	0002:0048b650 ?IPN_merge@@YAXPAVrigid_body@@0@Z 00C7AB50 f physics_system_internal.o
26	VERIFIED	0002:0048b730 ?IPN_verify_time_scale@@YAXPAVrigid_body@@@Z 00C7AC30 f physics_system_internal.o
27	VERIFIED	0002:0048b890 ?IPN_verify_rigid_bodies@@YAXPAVrigid_body@@@Z 00C7AD90 f physics_system_internal.o
28	VERIFIED	0002:0048c830 ?generate_partitions_and_stuff@physics_system@@QAEXPAUlist_constraint_solver@phys_constraint_solver_multithreaded@@PAHM@Z 00C7BD30 f physics_system_internal.o
29	VERIFIED	0002:0048d550 ?get_alignment@physics_system@@SA?BHXZ 00C7CA50 f physics_system_internal.o
30	VERIFIED	0002:0048d560 ?get_buffer_size@physics_system@@SA?BHABVphys_mem_info@@@Z 00C7CA60 f physics_system_internal.o
31	VERIFIED	0002:0048d620 ?time_step@physics_system@@QAEXM_N@Z 00C7CB20 f physics_system_internal.o
32	VERIFIED	0002:0048da40 ??0physics_system@@QAE@XZ 00C7CF40 f physics_system_internal.o
33	FIXED	0002:0048dc70 ?allocate_buffer@physics_system@@SAPAV1@ABVphys_mem_info@@AAVphys_memory_heap@@@Z 00C7D170 f physics_system_internal.o
34	FIXED	0002:0048de20 ?create_inst@physics_system@@SAXAAVphys_mem_info@@@Z 00C7D320 f physics_system_internal.o
35	VERIFIED	0002:0048dec0 ?frame_advance@physics_system@@QAEXM@Z 00C7D3C0 f physics_system_internal.o
36	VERIFIED	0002:0048e130 ?free_buffer@physics_system@@SAXPAV1@@Z 00C7D630 f physics_system_internal.o
37	VERIFIED	0002:0048e140 ?destroy_inst@physics_system@@SAXXZ 00C7D640 f physics_system_internal.o
38	PORTED	0002:0048e170 ?IPN_partition_process@@YAXABVrigid_body_constraint@@@Z 00C7D670 f i physics_system_internal.o
39	PORTED	0002:0048e1d0 ?IPN_get_partition@@YAPAVrigid_body@@ABVrigid_body_constraint@@@Z 00C7D6D0 f i physics_system_internal.o
40	VERIFIED	0002:0048e230 ??0?$phys_link_list@Vpulse_sum_node@@@@QAE@XZ 00C7D730 f i physics_system_internal.o
41	VERIFIED	0002:0048e240 ??0?$phys_link_list@Vpulse_sum_normal@@@@QAE@XZ 00C7D740 f i physics_system_internal.o
42	VERIFIED	0002:0048e250 ??0?$phys_link_list@Vpulse_sum_point@@@@QAE@XZ 00C7D750 f i physics_system_internal.o
43	VERIFIED	0002:0048e260 ??0?$phys_link_list@Vpulse_sum_angular@@@@QAE@XZ 00C7D760 f i physics_system_internal.o
44	VERIFIED	0002:0048e270 ??0?$phys_link_list@Vpulse_sum_wheel@@@@QAE@XZ 00C7D770 f i physics_system_internal.o
45	VERIFIED	0002:0048e280 ??0?$phys_link_list@Vpulse_sum_contact@@@@QAE@XZ 00C7D780 f i physics_system_internal.o
46	PORTED	0002:0048e290 ??0?$phys_heap_memory_pool@Vuser_rigid_body@@@@QAE@XZ 00C7D790 f i physics_system_internal.o
47	VERIFIED	0002:0048e2b0 ?get_buffer_size@?$phys_heap_memory_pool@Vuser_rigid_body@@@@SA?BHH@Z 00C7D7B0 f i physics_system_internal.o
48	PORTED	0002:0048e2c0 ??0?$phys_heap_memory_pool@Vrigid_body@@@@QAE@XZ 00C7D7C0 f i physics_system_internal.o
49	VERIFIED	0002:0048e2e0 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body@@@@SA?BHH@Z 00C7D7E0 f i physics_system_internal.o
50	PORTED	0002:0048e2f0 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAE@XZ 00C7D7F0 f i physics_system_internal.o
51	VERIFIED	0002:0048e310 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@SA?BHH@Z 00C7D810 f i physics_system_internal.o
52	VERIFIED	0002:0048e320 ?calc_index_array@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAEXXZ 00C7D820 f i physics_system_internal.o
53	VERIFIED	0002:0048e360 ?get_count@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QBE?BHXZ 00C7D860 f i physics_system_internal.o
54	FIXED	0002:0048e370 ?swap_adjacent_fast@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAEXPAViterator@1@0@Z 00C7D870 f i physics_system_internal.o
55	PORTED	0002:0048e430 ?get_buffer_size@?$phys_memory_heap_template@D@@SA?BHH@Z 00C7D930 f i physics_system_internal.o
56	PORTED	0002:0048e440 ?get_alignment@?$phys_memory_heap_template@D@@SA?BHXZ 00C7D940 f i physics_system_internal.o
57	PORTED	0002:0048e450 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_point@@@@QAE@XZ 00C7D950 f i physics_system_internal.o
58	VERIFIED	0002:0048e470 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_point@@@@SA?BHH@Z 00C7D970 f i physics_system_internal.o
59	PORTED	0002:0048e480 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_hinge@@@@QAE@XZ 00C7D980 f i physics_system_internal.o
60	VERIFIED	0002:0048e4a0 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_hinge@@@@SA?BHH@Z 00C7D9A0 f i physics_system_internal.o
61	PORTED	0002:0048e4b0 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_distance@@@@QAE@XZ 00C7D9B0 f i physics_system_internal.o
62	VERIFIED	0002:0048e4d0 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_distance@@@@SA?BHH@Z 00C7D9D0 f i physics_system_internal.o
63	PORTED	0002:0048e4e0 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_custom_orientation@@@@QAE@XZ 00C7D9E0 f i physics_system_internal.o
64	VERIFIED	0002:0048e500 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_custom_orientation@@@@SA?BHH@Z 00C7DA00 f i physics_system_internal.o
65	PORTED	0002:0048e510 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_custom_path@@@@QAE@XZ 00C7DA10 f i physics_system_internal.o
66	VERIFIED	0002:0048e530 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_custom_path@@@@SA?BHH@Z 00C7DA30 f i physics_system_internal.o
67	PORTED	0002:0048e540 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_ragdoll@@@@QAE@XZ 00C7DA40 f i physics_system_internal.o
68	VERIFIED	0002:0048e560 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_ragdoll@@@@SA?BHH@Z 00C7DA60 f i physics_system_internal.o
69	PORTED	0002:0048e570 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_wheel@@@@QAE@XZ 00C7DA70 f i physics_system_internal.o
70	VERIFIED	0002:0048e590 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_wheel@@@@SA?BHH@Z 00C7DA90 f i physics_system_internal.o
71	PORTED	0002:0048e5a0 ??0?$phys_heap_memory_pool@Vrigid_body_constraint_angular_actuator@@@@QAE@XZ 00C7DAA0 f i physics_system_internal.o
72	VERIFIED	0002:0048e5c0 ?get_buffer_size@?$phys_heap_memory_pool@Vrigid_body_constraint_angular_actuator@@@@SA?BHH@Z 00C7DAC0 f i physics_system_internal.o
73	PORTED	0002:0048e5d0 ??Fiterator@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAEXH@Z 00C7DAD0 f i physics_system_internal.o
74	PORTED	0002:0048e5e0 ?remove_all@?$phys_inplace_avl_tree@Vrigid_body_pair_key@@Vrigid_body_constraint_contact@@@@QAEXXZ 00C7DAE0 f i physics_system_internal.o
75	PORTED	0002:0048e5f0 ??$get_next@Vrigid_body_constraint_point@@@rbcint@@SAPAVrigid_body_constraint_point@@PBV1@@Z 00C7DAF0 f i physics_system_internal.o
76	PORTED	0002:0048e600 ??$get_next@Vrigid_body_constraint_hinge@@@rbcint@@SAPAVrigid_body_constraint_hinge@@PBV1@@Z 00C7DB00 f i physics_system_internal.o
77	PORTED	0002:0048e610 ??$get_next@Vrigid_body_constraint_distance@@@rbcint@@SAPAVrigid_body_constraint_distance@@PBV1@@Z 00C7DB10 f i physics_system_internal.o
78	PORTED	0002:0048e620 ??$get_next@Vrigid_body_constraint_ragdoll@@@rbcint@@SAPAVrigid_body_constraint_ragdoll@@PBV1@@Z 00C7DB20 f i physics_system_internal.o
79	PORTED	0002:0048e630 ??$get_next@Vrigid_body_constraint_wheel@@@rbcint@@SAPAVrigid_body_constraint_wheel@@PBV1@@Z 00C7DB30 f i physics_system_internal.o
80	PORTED	0002:0048e640 ??$get_next@Vrigid_body_constraint_angular_actuator@@@rbcint@@SAPAVrigid_body_constraint_angular_actuator@@PBV1@@Z 00C7DB40 f i physics_system_internal.o
81	PORTED	0002:0048e650 ??$get_next@Vrigid_body_constraint_custom_orientation@@@rbcint@@SAPAVrigid_body_constraint_custom_orientation@@PBV1@@Z 00C7DB50 f i physics_system_internal.o
82	PORTED	0002:0048e660 ??$get_next@Vrigid_body_constraint_custom_path@@@rbcint@@SAPAVrigid_body_constraint_custom_path@@PBV1@@Z 00C7DB60 f i physics_system_internal.o
83	PORTED	0002:0048e670 ??$get_next@Vrigid_body_constraint_contact@@@rbcint@@SAPAVrigid_body_constraint_contact@@PBV1@@Z 00C7DB70 f i physics_system_internal.o
84	PORTED	0002:0048e680 ??$IPN_add@Vrigid_body_constraint_point@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_point@@PAV1@@Z 00C7DB80 f i physics_system_internal.o
85	PORTED	0002:0048e6c0 ??$IPN_add@Vrigid_body_constraint_hinge@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_hinge@@PAV1@@Z 00C7DBC0 f i physics_system_internal.o
86	PORTED	0002:0048e700 ??$IPN_add@Vrigid_body_constraint_distance@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_distance@@PAV1@@Z 00C7DC00 f i physics_system_internal.o
87	PORTED	0002:0048e740 ??$IPN_add@Vrigid_body_constraint_ragdoll@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_ragdoll@@PAV1@@Z 00C7DC40 f i physics_system_internal.o
88	PORTED	0002:0048e780 ??$IPN_add@Vrigid_body_constraint_wheel@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_wheel@@PAV1@@Z 00C7DC80 f i physics_system_internal.o
89	PORTED	0002:0048e7c0 ??$IPN_add@Vrigid_body_constraint_angular_actuator@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_angular_actuator@@PAV1@@Z 00C7DCC0 f i physics_system_internal.o
90	PORTED	0002:0048e800 ??$IPN_add@Vrigid_body_constraint_custom_orientation@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_custom_orientation@@PAV1@@Z 00C7DD00 f i physics_system_internal.o
91	PORTED	0002:0048e840 ??$IPN_add@Vrigid_body_constraint_custom_path@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_custom_path@@PAV1@@Z 00C7DD40 f i physics_system_internal.o
92	PORTED	0002:0048e880 ??$IPN_add@Vrigid_body_constraint_contact@@@@YAXPAVrigid_body@@PAPAVrigid_body_constraint_contact@@PAV1@@Z 00C7DD80 f i physics_system_internal.o
93	SKIPPED	0002:0048e8c0 ??$tl_max@HI@@YAHABHABI@Z 00C7DDC0 f i physics_system_internal.o  SKIPPED: inline template/container helper; supplied by its template definition
94	PORTED	0002:0048e8e0 ?epilog_cache@rigid_body_constraint_contact@@QAEXXZ 00C7DDE0 f i physics_system_internal.o
95	FIXED	0002:0048e8f0 ?mul_L@rbint@@SA?BVDir3@math@@PBVrigid_body@@ABV23@@Z 00C7DDF0 f i physics_system_internal.o
96	FIXED	0002:0048e9f0 ?calc_col_mat@rbint@@SAXPAVuser_rigid_body@@ABVouter_time@@@Z 00C7DEF0 f i physics_system_internal.o
97	FIXED	0002:0048ebc0 ?prolog_frame_advance@rbint@@SAXPAVrigid_body@@ABVouter_time@@@Z 00C7E0C0 f i physics_system_internal.o
98	VERIFIED	0002:0048ed20 ?IPN_setup_time_step_info@@YAXPAVrigid_body@@PAHM@Z 00C7E220 f i physics_system_internal.o
99	VERIFIED	0002:0048ede0 ??0environment_rigid_body@@QAE@XZ 00C7E2E0 f i physics_system_internal.o
100	VERIFIED	0002:0048edf0 ??0?$phys_memory_heap_template@D@@QAE@XZ 00C7E2F0 f i physics_system_internal.o
101	VERIFIED	0002:0048ee00 ??0pulse_sum_constraint_solver@@QAE@XZ 00C7E300 f i physics_system_internal.o
102	PORTED	0002:0048ee40 ??0?$phys_inplace_avl_tree@Vrigid_body_pair_key@@Vrigid_body_constraint_contact@@@@QAE@XZ 00C7E340 f i physics_system_internal.o
103	FIXED	0002:0048ee50 ?get_alignment@?$phys_heap_memory_pool@Vuser_rigid_body@@@@SA?BHXZ 00C7E350 f i physics_system_internal.o
104	FIXED	0002:0048ee60 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body@@@@SA?BHXZ 00C7E360 f i physics_system_internal.o
105	FIXED	0002:0048ee70 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@SA?BHXZ 00C7E370 f i physics_system_internal.o
106	VERIFIED	0002:0048ee80 ?before_begin@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAE?AViterator@1@XZ 00C7E380 f i physics_system_internal.o
107	FIXED	0002:0048eea0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_point@@@@SA?BHXZ 00C7E3A0 f i physics_system_internal.o
108	FIXED	0002:0048eeb0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_hinge@@@@SA?BHXZ 00C7E3B0 f i physics_system_internal.o
109	FIXED	0002:0048eec0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_distance@@@@SA?BHXZ 00C7E3C0 f i physics_system_internal.o
110	FIXED	0002:0048eed0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_custom_orientation@@@@SA?BHXZ 00C7E3D0 f i physics_system_internal.o
111	FIXED	0002:0048eee0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_custom_path@@@@SA?BHXZ 00C7E3E0 f i physics_system_internal.o
112	FIXED	0002:0048eef0 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_ragdoll@@@@SA?BHXZ 00C7E3F0 f i physics_system_internal.o
113	FIXED	0002:0048ef00 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_wheel@@@@SA?BHXZ 00C7E400 f i physics_system_internal.o
114	FIXED	0002:0048ef10 ?get_alignment@?$phys_heap_memory_pool@Vrigid_body_constraint_angular_actuator@@@@SA?BHXZ 00C7E410 f i physics_system_internal.o
115	VERIFIED	0002:0048ef20 ?next@iterator@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAE?AV12@XZ 00C7E420 f i physics_system_internal.o
116	VERIFIED	0002:0048ef40 ?prev@iterator@?$phys_heap_memory_pool@Vrigid_body_constraint_contact@@@@QAE?AV12@XZ 00C7E440 f i physics_system_internal.o
