index	status	map_line
1	VERIFIED	0002:0047e8c0 ??0outer_time@@QAE@XZ 00C6DDC0 f i physics_system.o
2	PORTED	0002:0047e8d0 ?is_user_rigid_body@rigid_body@@QBE?BIXZ 00C6DDD0 f i physics_system.o
3	PORTED	0002:0047e8e0 ?get_constraint_count@rigid_body@@QBE?BHXZ 00C6DDE0 f i physics_system.o
4	PORTED	0002:0047e8f0 ?set_avl_key@rigid_body_constraint_contact@@QAEXABVrigid_body_pair_key@@@Z 00C6DDF0 f i physics_system.o
5	PORTED	0002:0047e910 ??0rigid_body_constraint_point@@QAE@XZ 00C6DE10 f i physics_system.o
6	PORTED	0002:0047e940 ??0ragdoll_joint_limit_info@@QAE@XZ 00C6DE40 f i physics_system.o
7	PORTED	0002:0047e950 ??0rigid_body_constraint_custom_orientation@@QAE@XZ 00C6DE50 f i physics_system.o
8	PORTED	0002:0047e9a0 ?get_dictator@rbint@@SAPBVMat43@math@@PBVuser_rigid_body@@@Z 00C6DEA0 f i physics_system.o
9	PORTED	0002:0047e9e0 ?constraint_info_reset@rbint@@SAXPAVrigid_body@@@Z 00C6DEE0 f i physics_system.o
10	PORTED	0002:0047ea00 ?increment_constraint_count@rbint@@SAXPAVrigid_body@@@Z 00C6DF00 f i physics_system.o
11	PORTED	0002:0047ea10 ?increment_contact_count@rbint@@SAXPAVrigid_body@@H@Z 00C6DF10 f i physics_system.o
12	VERIFIED	0002:0047ea30 ?solver_memory_buffer_set@physics_system@@QAEXPAXH@Z 00C6DF30 f i physics_system.o
13	VERIFIED	0002:0047ea50 ?solver_memory_buffer_nullify@physics_system@@QAEXXZ 00C6DF50 f i physics_system.o
14	PORTED	0002:0047ea70 ?process_constraint_info@rbcint@@SAXPAVrigid_body_constraint@@@Z 00C6DF70 f i physics_system.o
15	PORTED	0002:0047eaa0 ?process_constraint_info@rbcint@@SAXPAVrigid_body_constraint_wheel@@@Z 00C6DFA0 f i physics_system.o
16	PORTED	0002:0047eaf0 ?set@rbcint@@SAXPAVrigid_body_constraint@@QAVrigid_body@@1@Z 00C6DFF0 f i physics_system.o
17	VERIFIED	0002:0047eb10 ??0phys_mem_info@@QAE@XZ 00C6E010 f physics_system.o
18	PORTED	0002:0047eb40 ?get_environment_rigid_body@phys_sys@@SAPAVenvironment_rigid_body@@XZ 00C6E040 f physics_system.o
19	PORTED	0002:0047eb50 ?set_max_delta_t@phys_sys@@SAXM@Z 00C6E050 f physics_system.o
20	PORTED	0002:0047eb70 ?get_max_delta_t@phys_sys@@SAMXZ 00C6E070 f physics_system.o
21	PORTED	0002:0047eb80 ?set_v_tol@phys_sys@@SAXHH@Z 00C6E080 f physics_system.o
22	PORTED	0002:0047eba0 ?get_v_tol@phys_sys@@SAXPAH0@Z 00C6E0A0 f physics_system.o
23	PORTED	0002:0047ebc0 ?set_vp_tol@phys_sys@@SAXHH@Z 00C6E0C0 f physics_system.o
24	PORTED	0002:0047ebe0 ?get_vp_tol@phys_sys@@SAXPAH0@Z 00C6E0E0 f physics_system.o
25	PORTED	0002:0047ec00 ?set_collision_callback@phys_sys@@SAXP6AXXZ@Z 00C6E100 f physics_system.o
26	PORTED	0002:0047ec20 ?phys_frame_advance@phys_sys@@SAXM@Z 00C6E120 f physics_system.o
27	PORTED	0002:0047ec40 ?phys_init@phys_sys@@SAXAAVphys_mem_info@@@Z 00C6E140 f physics_system.o
28	PORTED	0002:0047ec50 ?phys_shutdown@phys_sys@@SAXXZ 00C6E150 f physics_system.o
29	PORTED	0002:0047ec60 ?solver_memory_buffer_set@phys_sys@@SAXPAXH@Z 00C6E160 f physics_system.o
30	PORTED	0002:0047ec80 ?solver_memory_buffer_nullify@phys_sys@@SAXXZ 00C6E180 f physics_system.o
31	PORTED	0002:0047eca0 ?set_phys_proftimer_callbacks@phys_sys@@SAXABVphys_proftimer_callbacks@@@Z 00C6E1A0 f physics_system.o
32	PORTED	0002:0047ecc0 ?get_rbc_contact@phys_sys@@SAPAVrigid_body_constraint_contact@@QAVrigid_body@@0@Z 00C6E1C0 f physics_system.o
33	PORTED	0002:0047ed50 ?max_slots_rigid_body@phys_sys@@SAHXZ 00C6E250 f physics_system.o
34	PORTED	0002:0047ed60 ?max_slots_user_rigid_body@phys_sys@@SAHXZ 00C6E260 f physics_system.o
35	PORTED	0002:0047ed70 ?max_slots_rbc_point@phys_sys@@SAHXZ 00C6E270 f physics_system.o
36	PORTED	0002:0047ed80 ?max_slots_rbc_hinge@phys_sys@@SAHXZ 00C6E280 f physics_system.o
37	PORTED	0002:0047ed90 ?max_slots_rbc_dist@phys_sys@@SAHXZ 00C6E290 f physics_system.o
38	PORTED	0002:0047eda0 ?max_slots_rbc_ragdoll@phys_sys@@SAHXZ 00C6E2A0 f physics_system.o
39	PORTED	0002:0047edb0 ?max_slots_rbc_wheel@phys_sys@@SAHXZ 00C6E2B0 f physics_system.o
40	PORTED	0002:0047edc0 ?max_slots_rbc_angular_actuator@phys_sys@@SAHXZ 00C6E2C0 f physics_system.o
41	PORTED	0002:0047edd0 ?max_slots_rbc_custom_orientation@phys_sys@@SAHXZ 00C6E2D0 f physics_system.o
42	PORTED	0002:0047ede0 ?max_slots_rbc_custom_path@phys_sys@@SAHXZ 00C6E2E0 f physics_system.o
43	PORTED	0002:0047edf0 ?max_slots_rbc_contact@phys_sys@@SAHXZ 00C6E2F0 f physics_system.o
44	PORTED	0002:0047ee00 ?available_slots_rigid_body@phys_sys@@SAHXZ 00C6E300 f physics_system.o
45	PORTED	0002:0047ee20 ?available_slots_user_rigid_body@phys_sys@@SAHXZ 00C6E320 f physics_system.o
46	PORTED	0002:0047ee40 ?available_slots_rbc_point@phys_sys@@SAHXZ 00C6E340 f physics_system.o
47	PORTED	0002:0047ee60 ?available_slots_rbc_hinge@phys_sys@@SAHXZ 00C6E360 f physics_system.o
48	PORTED	0002:0047ee80 ?available_slots_rbc_dist@phys_sys@@SAHXZ 00C6E380 f physics_system.o
49	PORTED	0002:0047eea0 ?available_slots_rbc_ragdoll@phys_sys@@SAHXZ 00C6E3A0 f physics_system.o
50	PORTED	0002:0047eec0 ?available_slots_rbc_wheel@phys_sys@@SAHXZ 00C6E3C0 f physics_system.o
51	PORTED	0002:0047eee0 ?available_slots_rbc_angular_actuator@phys_sys@@SAHXZ 00C6E3E0 f physics_system.o
52	PORTED	0002:0047ef00 ?available_slots_rbc_custom_orientation@phys_sys@@SAHXZ 00C6E400 f physics_system.o
53	PORTED	0002:0047ef20 ?available_slots_rbc_custom_path@phys_sys@@SAHXZ 00C6E420 f physics_system.o
54	PORTED	0002:0047ef40 ?available_slots_rbc_contact@phys_sys@@SAHXZ 00C6E440 f physics_system.o
55	PORTED	0002:0047ef60 ?used_slots_rigid_body@phys_sys@@SAHXZ 00C6E460 f physics_system.o
56	PORTED	0002:0047ef70 ?used_slots_user_rigid_body@phys_sys@@SAHXZ 00C6E470 f physics_system.o
