ida_ea	va	name	signature	family
0x0087EB10	0x00C6E010	??0phys_mem_info@@QAE@XZ	public: __thiscall phys_mem_info::phys_mem_info(void)	physics_system.o
0x0087EB40	0x00C6E040	?get_environment_rigid_body@phys_sys@@SAPAVenvironment_rigid_body@@XZ	public: static class environment_rigid_body * __cdecl phys_sys::get_environment_rigid_body(void)	physics_system.o
0x0087EB50	0x00C6E050	?set_max_delta_t@phys_sys@@SAXM@Z	public: static void __cdecl phys_sys::set_max_delta_t(float)	physics_system.o
0x0087EB70	0x00C6E070	?get_max_delta_t@phys_sys@@SAMXZ	public: static float __cdecl phys_sys::get_max_delta_t(void)	physics_system.o
0x0087EB80	0x00C6E080	?set_v_tol@phys_sys@@SAXHH@Z	public: static void __cdecl phys_sys::set_v_tol(int,int)	physics_system.o
0x0087EBA0	0x00C6E0A0	?get_v_tol@phys_sys@@SAXPAH0@Z	public: static void __cdecl phys_sys::get_v_tol(int *,int *)	physics_system.o
0x0087EBC0	0x00C6E0C0	?set_vp_tol@phys_sys@@SAXHH@Z	public: static void __cdecl phys_sys::set_vp_tol(int,int)	physics_system.o
0x0087EBE0	0x00C6E0E0	?get_vp_tol@phys_sys@@SAXPAH0@Z	public: static void __cdecl phys_sys::get_vp_tol(int *,int *)	physics_system.o
0x0087EC00	0x00C6E100	?set_collision_callback@phys_sys@@SAXP6AXXZ@Z	public: static void __cdecl phys_sys::set_collision_callback(void (__cdecl*)(void))	physics_system.o
0x0087EC20	0x00C6E120	?phys_frame_advance@phys_sys@@SAXM@Z	public: static void __cdecl phys_sys::phys_frame_advance(float)	physics_system.o
0x0087EC40	0x00C6E140	?phys_init@phys_sys@@SAXAAVphys_mem_info@@@Z	public: static void __cdecl phys_sys::phys_init(class phys_mem_info &)	physics_system.o
0x0087EC50	0x00C6E150	?phys_shutdown@phys_sys@@SAXXZ	public: static void __cdecl phys_sys::phys_shutdown(void)	physics_system.o
0x0087EC60	0x00C6E160	?solver_memory_buffer_set@phys_sys@@SAXPAXH@Z	public: static void __cdecl phys_sys::solver_memory_buffer_set(void *,int)	physics_system.o
0x0087EC80	0x00C6E180	?solver_memory_buffer_nullify@phys_sys@@SAXXZ	public: static void __cdecl phys_sys::solver_memory_buffer_nullify(void)	physics_system.o
0x0087ECA0	0x00C6E1A0	?set_phys_proftimer_callbacks@phys_sys@@SAXABVphys_proftimer_callbacks@@@Z	public: static void __cdecl phys_sys::set_phys_proftimer_callbacks(class phys_proftimer_callbacks const &)	physics_system.o
0x0087ECC0	0x00C6E1C0	?get_rbc_contact@phys_sys@@SAPAVrigid_body_constraint_contact@@QAVrigid_body@@0@Z	public: static class rigid_body_constraint_contact * __cdecl phys_sys::get_rbc_contact(class rigid_body * const,class rigid_body * const)	physics_system.o
0x0087ED50	0x00C6E250	?max_slots_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rigid_body(void)	physics_system.o
0x0087ED60	0x00C6E260	?max_slots_user_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_user_rigid_body(void)	physics_system.o
0x0087ED70	0x00C6E270	?max_slots_rbc_point@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_point(void)	physics_system.o
0x0087ED80	0x00C6E280	?max_slots_rbc_hinge@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_hinge(void)	physics_system.o
0x0087ED90	0x00C6E290	?max_slots_rbc_dist@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_dist(void)	physics_system.o
0x0087EDA0	0x00C6E2A0	?max_slots_rbc_ragdoll@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_ragdoll(void)	physics_system.o
0x0087EDB0	0x00C6E2B0	?max_slots_rbc_wheel@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_wheel(void)	physics_system.o
0x0087EDC0	0x00C6E2C0	?max_slots_rbc_angular_actuator@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_angular_actuator(void)	physics_system.o
0x0087EDD0	0x00C6E2D0	?max_slots_rbc_custom_orientation@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_custom_orientation(void)	physics_system.o
0x0087EDE0	0x00C6E2E0	?max_slots_rbc_custom_path@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_custom_path(void)	physics_system.o
0x0087EDF0	0x00C6E2F0	?max_slots_rbc_contact@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_contact(void)	physics_system.o
0x0087EE00	0x00C6E300	?available_slots_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rigid_body(void)	physics_system.o
0x0087EE20	0x00C6E320	?available_slots_user_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_user_rigid_body(void)	physics_system.o
0x0087EE40	0x00C6E340	?available_slots_rbc_point@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_point(void)	physics_system.o
0x0087EE60	0x00C6E360	?available_slots_rbc_hinge@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_hinge(void)	physics_system.o
0x0087EE80	0x00C6E380	?available_slots_rbc_dist@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_dist(void)	physics_system.o
0x0087EEA0	0x00C6E3A0	?available_slots_rbc_ragdoll@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_ragdoll(void)	physics_system.o
0x0087EEC0	0x00C6E3C0	?available_slots_rbc_wheel@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_wheel(void)	physics_system.o
0x0087EEE0	0x00C6E3E0	?available_slots_rbc_angular_actuator@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_angular_actuator(void)	physics_system.o
0x0087EF00	0x00C6E400	?available_slots_rbc_custom_orientation@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_custom_orientation(void)	physics_system.o
0x0087EF20	0x00C6E420	?available_slots_rbc_custom_path@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_custom_path(void)	physics_system.o
0x0087EF40	0x00C6E440	?available_slots_rbc_contact@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::available_slots_rbc_contact(void)	physics_system.o
0x0087EF60	0x00C6E460	?used_slots_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::used_slots_rigid_body(void)	physics_system.o
0x0087EF70	0x00C6E470	?used_slots_user_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::used_slots_user_rigid_body(void)	physics_system.o
