ida_ea	name	signature	source_cpp
0x0087EB10	??0phys_mem_info@@QAE@XZ	public: __thiscall phys_mem_info::phys_mem_info(void)	
0x0087EB40	?get_environment_rigid_body@phys_sys@@SAPAVenvironment_rigid_body@@XZ	public: static class environment_rigid_body * __cdecl phys_sys::get_environment_rigid_body(void)	
0x0087EB50	?set_max_delta_t@phys_sys@@SAXM@Z	public: static void __cdecl phys_sys::set_max_delta_t(float)	
0x0087EB70	?get_max_delta_t@phys_sys@@SAMXZ	public: static float __cdecl phys_sys::get_max_delta_t(void)	
0x0087EB80	?set_v_tol@phys_sys@@SAXHH@Z	public: static void __cdecl phys_sys::set_v_tol(int,int)	
0x0087EBA0	?get_v_tol@phys_sys@@SAXPAH0@Z	public: static void __cdecl phys_sys::get_v_tol(int *,int *)	
0x0087EBC0	?set_vp_tol@phys_sys@@SAXHH@Z	public: static void __cdecl phys_sys::set_vp_tol(int,int)	
0x0087EBE0	?get_vp_tol@phys_sys@@SAXPAH0@Z	public: static void __cdecl phys_sys::get_vp_tol(int *,int *)	
0x0087EC00	?set_collision_callback@phys_sys@@SAXP6AXXZ@Z	public: static void __cdecl phys_sys::set_collision_callback(void (__cdecl*)(void))	
0x0087EC20	?phys_frame_advance@phys_sys@@SAXM@Z	public: static void __cdecl phys_sys::phys_frame_advance(float)	
0x0087EC40	?phys_init@phys_sys@@SAXAAVphys_mem_info@@@Z	public: static void __cdecl phys_sys::phys_init(class phys_mem_info &)	
0x0087EC50	?phys_shutdown@phys_sys@@SAXXZ	public: static void __cdecl phys_sys::phys_shutdown(void)	
0x0087EC60	?solver_memory_buffer_set@phys_sys@@SAXPAXH@Z	public: static void __cdecl phys_sys::solver_memory_buffer_set(void *,int)	
0x0087EC80	?solver_memory_buffer_nullify@phys_sys@@SAXXZ	public: static void __cdecl phys_sys::solver_memory_buffer_nullify(void)	
0x0087ECA0	?set_phys_proftimer_callbacks@phys_sys@@SAXABVphys_proftimer_callbacks@@@Z	public: static void __cdecl phys_sys::set_phys_proftimer_callbacks(class phys_proftimer_callbacks const &)	
0x0087ECC0	?get_rbc_contact@phys_sys@@SAPAVrigid_body_constraint_contact@@QAVrigid_body@@0@Z	public: static class rigid_body_constraint_contact * __cdecl phys_sys::get_rbc_contact(class rigid_body * const,class rigid_body * const)	
0x0087ED50	?max_slots_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rigid_body(void)	
0x0087ED60	?max_slots_user_rigid_body@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_user_rigid_body(void)	
0x0087ED70	?max_slots_rbc_point@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_point(void)	
0x0087ED80	?max_slots_rbc_hinge@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_hinge(void)	
0x0087ED90	?max_slots_rbc_dist@phys_sys@@SAHXZ	public: static int __cdecl phys_sys::max_slots_rbc_dist(void)	
