index	status	map_line
1	VERIFIED	0002:00488cd0 ?set_joint_limit_active@rigid_body_constraint_ragdoll@@QAEXI_N@Z 00C781D0 f i rbc_def_ragdoll.o
2	PORTED	0002:00488d40 ?calc_damp_params@pulse_sum_normal@@SAXMMPAM@Z 00C78240 f i rbc_def_ragdoll.o
3	PORTED	0002:00488d70 ?set_pulse_sum_limits_unbounded@pulse_sum_angular@@QAEXXZ 00C78270 f i rbc_def_ragdoll.o
4	PORTED	0002:00488d90 ?set_pulse_sum_limits_cone@pulse_sum_angular@@QAEXM@Z 00C78290 f i rbc_def_ragdoll.o
5	PORTED	0002:00488db0 ?set_pulse_sum_limits_negative@pulse_sum_angular@@QAEXXZ 00C782B0 f i rbc_def_ragdoll.o
6	PORTED	0002:00488dd0 ?setup_vel_simple@pulse_sum_angular@@QAEXXZ 00C782D0 f i rbc_def_ragdoll.o
7	PORTED	0002:00488df0 ?setup_vel_custom_right_side@pulse_sum_angular@@QAEXMM@Z 00C782F0 f i rbc_def_ragdoll.o
8	PORTED	0002:00488e30 ?get_std_active_limit_angle_eps@pulse_sum_angular@@SA?BMXZ 00C78330 f i rbc_def_ragdoll.o
9	PORTED	0002:00488e40 ?get_std_active_limit_sin_angle_eps@pulse_sum_angular@@SA?BMXZ 00C78340 f i rbc_def_ragdoll.o
10	PORTED	0002:00488e50 ?get_std_max_penalty_restitution_vel@pulse_sum_angular@@SA?BMXZ 00C78350 f i rbc_def_ragdoll.o
11	PORTED	0002:00488e60 ??0pulse_sum_point@@QAE@XZ 00C78360 f i rbc_def_ragdoll.o
12	PORTED	0002:00488e70 ??0pulse_sum_angular@@QAE@XZ 00C78370 f i rbc_def_ragdoll.o
13	VERIFIED	0002:00488e80 ?set@rigid_body_constraint_ragdoll@@QAEXABVDir3@math@@0@Z 00C78380 f rbc_def_ragdoll.o
14	VERIFIED	0002:00488ed0 ?set_damp_k@rigid_body_constraint_ragdoll@@QAEXM@Z 00C783D0 f rbc_def_ragdoll.o
15	VERIFIED	0002:00488f00 ?set@ragdoll_joint_limit_info@@QAEXABVDir3@math@@M@Z 00C78400 f rbc_def_ragdoll.o
16	VERIFIED	0002:00488fd0 ?set_b1_ud_loc@ragdoll_joint_limit_info@@QAEXABVDir3@math@@@Z 00C784D0 f rbc_def_ragdoll.o
17	VERIFIED	0002:00489040 ?set_theta_limit@ragdoll_joint_limit_info@@QAEXM@Z 00C78540 f rbc_def_ragdoll.o
