ida_ea	va	name	signature	family
0x006BC300	0x00AAB800	?SetEnabled@FogConfig@@YAXH@Z	void __cdecl FogConfig::SetEnabled(int)	render.o
0x006BC310	0x00AAB810	?SetRange@FogConfig@@YAXMM@Z	void __cdecl FogConfig::SetRange(float,float)	render.o
0x006BC330	0x00AAB830	?SetVal@FogConfig@@YAXMM@Z	void __cdecl FogConfig::SetVal(float,float)	render.o
0x006BC350	0x00AAB850	?SetColor@FogConfig@@YAXMMM@Z	void __cdecl FogConfig::SetColor(float,float,float)	render.o
0x006BC4A0	0x00AAB9A0	?SetColorInt@FogConfig@@YAXHHH@Z	void __cdecl FogConfig::SetColorInt(int,int,int)	render.o
0x006BC4F0	0x00AAB9F0	?Apply@FogConfig@@YAXXZ	void __cdecl FogConfig::Apply(void)	render.o
0x006BC550	0x00AABA50	?GetEnabled@FogConfig@@YAXAAH@Z	void __cdecl FogConfig::GetEnabled(int &)	render.o
0x006BC560	0x00AABA60	?GetColor@FogConfig@@YAXAAM00@Z	void __cdecl FogConfig::GetColor(float &,float &,float &)	render.o
0x006BC5A0	0x00AABAA0	?GetColorInt@FogConfig@@YAXAAH00@Z	void __cdecl FogConfig::GetColorInt(int &,int &,int &)	render.o
0x006BC5F0	0x00AABAF0	?GetRange@FogConfig@@YAXAAM0@Z	void __cdecl FogConfig::GetRange(float &,float &)	render.o
0x006BC620	0x00AABB20	?GetVal@FogConfig@@YAXAAM0@Z	void __cdecl FogConfig::GetVal(float &,float &)	render.o
0x006BC870	0x00AABD70	?SetLightGridFailedColor@LightGridMgr@@QAEXXZ	public: void __thiscall LightGridMgr::SetLightGridFailedColor(void)	render.o
0x006BC8B0	0x00AABDB0	?GetGridInfo@LightGridMgr@@AAE_NABUTOC@LightGrid@@HABVPosition3@math@@PAPBUGridPoint@3@PAM@Z	private: bool __thiscall LightGridMgr::GetGridInfo(struct LightGrid::TOC const &,int,class math::Position3 const &,struct LightGrid::GridPoint const * *,float *)	render.o
0x006BCBB0	0x00AAC0B0	?GetAmbientColors@LightGridMgr@@AAEXPAPBUGridPoint@LightGrid@@PAVPosition3@math@@@Z	private: void __thiscall LightGridMgr::GetAmbientColors(struct LightGrid::GridPoint const * *,class math::Position3 *)	render.o
0x006BCE00	0x00AAC300	??0TimerRenderBars@@QAE@XZ	public: __thiscall TimerRenderBars::TimerRenderBars(void)	render.o
0x006BCE60	0x00AAC360	?Init@TimerRenderBars@@QAEXXZ	public: void __thiscall TimerRenderBars::Init(void)	render.o
0x006BCEE0	0x00AAC3E0	?DeltaTimeScale@TimerRenderBars@@QAEXH@Z	public: void __thiscall TimerRenderBars::DeltaTimeScale(int)	render.o
0x006BCF00	0x00AAC400	?Init@DebugRender@@QAEXXZ	public: void __thiscall DebugRender::Init(void)	render.o
0x006BD000	0x00AAC500	?extract_color@@YAIABVColor@@@Z	unsigned int __cdecl extract_color(class Color const &)	render.o
0x006BD060	0x00AAC560	?compute_orth_unit_vector@@YA?BVDir3@math@@ABV12@@Z	class math::Dir3 const __cdecl compute_orth_unit_vector(class math::Dir3 const &)	render.o
0x006BD200	0x00AAC700	?RenderLineBox@DebugRender@@SAXABVMat43@math@@ABVDiagMat33@3@ABVColor@@@Z	public: static void __cdecl DebugRender::RenderLineBox(class math::Mat43 const &,class math::DiagMat33 const &,class Color const &)	render.o
0x006BD230	0x00AAC730	?RenderQuad2D@DebugRender@@SAXMMMMMABVColor@@@Z	public: static void __cdecl DebugRender::RenderQuad2D(float,float,float,float,float,class Color const &)	render.o
0x006BD2D0	0x00AAC7D0	?RenderText@DebugRender@@SAXPBDHHABVColor@@MM@Z	public: static void __cdecl DebugRender::RenderText(char const *,int,int,class Color const &,float,float)	render.o
0x006BD390	0x00AAC890	?XModelEnforceExist@@YAXH@Z	void __cdecl XModelEnforceExist(int)	render.o
0x006BD3A0	0x00AAC8A0	?XModelSetOptimize@@YAXH@Z	void __cdecl XModelSetOptimize(int)	render.o
0x006BD3B0	0x00AAC8B0	?XModelGetSurfaces@@YAHV?$IVPointer@VXModel@@@@PAPAPAVXSurface@@H@Z	int __cdecl XModelGetSurfaces(class IVPointer<class XModel>,class XSurface * * *,int)	render.o
0x006BD3C0	0x00AAC8C0	?XModelGetSurfaceName@@YAPBDV?$IVPointer@VXModel@@@@HH@Z	char const * __cdecl XModelGetSurfaceName(class IVPointer<class XModel>,int,int)	render.o
0x006BD3D0	0x00AAC8D0	?XSurfaceCloneSurface@@YAPAVXSurface@@PAV1@@Z	class XSurface * __cdecl XSurfaceCloneSurface(class XSurface *)	render.o
0x006BD440	0x00AAC940	?XSurfaceGetNumVerts@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetNumVerts(class XSurface *)	render.o
0x006BD450	0x00AAC950	?XSurfaceGetNumTris@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetNumTris(class XSurface *)	render.o
0x006BD460	0x00AAC960	?XSurfaceTileMode@@YA?AW4XSurfTile_e@@PAVXSurface@@@Z	enum XSurfTile_e __cdecl XSurfaceTileMode(class XSurface *)	render.o
0x006BD470	0x00AAC970	?XSurfaceGetTris@@YAXPAVXSurface@@PAGG@Z	void __cdecl XSurfaceGetTris(class XSurface *,unsigned short *,unsigned short)	render.o
0x006BD5C0	0x00AACAC0	?XSurfaceGetVertexInfoArray@@YA?ATXVariantVertexInfo_u@@PAVXSurface@@@Z	union XVariantVertexInfo_u __cdecl XSurfaceGetVertexInfoArray(class XSurface *)	render.o
0x006BD5D0	0x00AACAD0	?XSurfaceGetTexCoordArray@@YAPAY01MPAVXSurface@@@Z	float (* __cdecl XSurfaceGetTexCoordArray(class XSurface *))[2]	render.o
0x006BD5E0	0x00AACAE0	?XSurfaceGetBlendInfoArray@@YAPAUXBlendInfo@@PAVXSurface@@@Z	struct XBlendInfo * __cdecl XSurfaceGetBlendInfoArray(class XSurface *)	render.o
0x006BD5F0	0x00AACAF0	?XSurfaceGetBoneIndex@@YAHPAVXSurface@@@Z	int __cdecl XSurfaceGetBoneIndex(class XSurface *)	render.o
0x006BD600	0x00AACB00	?XSurfaceRemapTextureCoordinates@@YAXPAVXSurface@@QAM1HH@Z	void __cdecl XSurfaceRemapTextureCoordinates(class XSurface *,float * const,float * const,int,int)	render.o
0x006BD800	0x00AACD00	?XSurfaceGetVerts@@YAXPAVXSurface@@PAUDObjSkelMat@@PAM22@Z	void __cdecl XSurfaceGetVerts(class XSurface *,struct DObjSkelMat *,float *,float *,float *)	render.o
0x006BDC00	0x00AAD100	?OnBankUnloaded@XModelPartsManager@@EAEXAAVXModelPartsBank@@@Z	private: virtual void __thiscall XModelPartsManager::OnBankUnloaded(class XModelPartsBank &)	render.o
0x006BDC10	0x00AAD110	?DObjInit@@YAXXZ	void __cdecl DObjInit(void)	render.o
0x006BDC20	0x00AAD120	?DObjShutdown@@YAXXZ	void __cdecl DObjShutdown(void)	render.o
0x006BDC30	0x00AAD130	?DObjIgnoreCollision@@YAHPAVDObj@@H@Z	int __cdecl DObjIgnoreCollision(class DObj *,int)	render.o
0x006BDC60	0x00AAD160	?DObjGetHierarchyBits@@YAXPAVDObj@@HQAH@Z	void __cdecl DObjGetHierarchyBits(class DObj *,int,int * const)	render.o
0x006BDDF0	0x00AAD2F0	?DObjCompleteHierarchyBits@@YAXPAVDObj@@QAH@Z	void __cdecl DObjCompleteHierarchyBits(class DObj *,int * const)	render.o
0x006BDEE0	0x00AAD3E0	?DObjCalcSkel@@YAXPAVDObj@@QAH@Z	void __cdecl DObjCalcSkel(class DObj *,int * const)	render.o
0x006BDEF0	0x00AAD3F0	?DObjGetMatrixArray@@YAPAUDObjSkelMat@@PBVDObj@@H@Z	struct DObjSkelMat * __cdecl DObjGetMatrixArray(class DObj const *,int)	render.o
0x006BDF70	0x00AAD470	?DObjGetAllocSkelSize@@YAHPAVDObj@@@Z	int __cdecl DObjGetAllocSkelSize(class DObj *)	render.o
0x006BDF90	0x00AAD490	?DObjSkelExists@@YAHPAVDObj@@H@Z	int __cdecl DObjSkelExists(class DObj *,int)	render.o
0x006BDFB0	0x00AAD4B0	?DObjSkelExistsConst@@YAHPAVDObj@@H@Z	int __cdecl DObjSkelExistsConst(class DObj *,int)	render.o
0x006BDFD0	0x00AAD4D0	?DObjGetNumModels@@YAHPAVDObj@@@Z	int __cdecl DObjGetNumModels(class DObj *)	render.o
0x006BDFE0	0x00AAD4E0	?DObjSetRotTransIndex@@YAHPAVDObj@@QAHH@Z	int __cdecl DObjSetRotTransIndex(class DObj *,int * const,int)	render.o
0x006BDFF0	0x00AAD4F0	?DObjSetControlRotTransIndex@@YAHPAVDObj@@QAHH@Z	int __cdecl DObjSetControlRotTransIndex(class DObj *,int * const,int)	render.o
0x006BE150	0x00AAD650	?DObjGetNumSurfaces@@YAHPAVDObj@@PAH@Z	int __cdecl DObjGetNumSurfaces(class DObj *,int *)	render.o
0x006BE160	0x00AAD660	?DObjGetSurface@@YAPAVXSurface@@PAVDObj@@HHPAH@Z	class XSurface * __cdecl DObjGetSurface(class DObj *,int,int,int *)	render.o
0x006BE170	0x00AAD670	?DObjGetSurfaceName@@YAPBDPAVDObj@@HHPAH@Z	char const * __cdecl DObjGetSurfaceName(class DObj *,int,int,int *)	render.o
0x006BE180	0x00AAD680	?DObjGetSurfaces@@YAXPAVDObj@@PAUDSurface_s@@QAHPAH@Z	void __cdecl DObjGetSurfaces(class DObj *,struct DSurface_s *,int * const,int *)	render.o
0x006BE190	0x00AAD690	?DObjGetTree@@YAPAVXAnimTree@@PAVDObj@@@Z	class XAnimTree * __cdecl DObjGetTree(class DObj *)	render.o
0x006BE1E0	0x00AAD6E0	?DObjNumBones@@YAHPAVDObj@@@Z	int __cdecl DObjNumBones(class DObj *)	render.o
0x006BE320	0x00AAD820	?GetMat@DObj@@QAEABVMat43@math@@H@Z	public: class math::Mat43 const & __thiscall DObj::GetMat(int)	render.o
0x006BE390	0x00AAD890	?R_XModelDebugAxes@@YAXPAVtrRefEntity@@QAH@Z	void __cdecl R_XModelDebugAxes(class trRefEntity *,int * const)	render.o
0x006BE630	0x00AADB30	?nglListAddMesh_GetScaledMatrix@@YAPAVMat43@math@@ABV12@PAVnglMeshParams@@@Z	class math::Mat43 * __cdecl nglListAddMesh_GetScaledMatrix(class math::Mat43 const &,class nglMeshParams *)	render.o
0x006BE890	0x00AADD90	?render_view_model_arms@@YAXHAAVnglMeshParams@@ABVMat43@math@@AAV23@@Z	void __cdecl render_view_model_arms(int,class nglMeshParams &,class math::Mat43 const &,class math::Mat43 &)	render.o
0x006BEA90	0x00AADF90	?render_view_model_weapon@@YAXHAAVnglMeshParams@@AAVMat43@math@@@Z	void __cdecl render_view_model_weapon(int,class nglMeshParams &,class math::Mat43 &)	render.o
0x006BEB80	0x00AAE080	?ModelLightingHack@@YAXXZ	void __cdecl ModelLightingHack(void)	render.o
0x006BECC0	0x00AAE1C0	??0world_t@@QAE@XZ	public: __thiscall world_t::world_t(void)	render.o
0x006BECD0	0x00AAE1D0	?RE_LoadWorldMap@@YAXPBDPAH@Z	void __cdecl RE_LoadWorldMap(char const *,int *)	render.o
0x006BED00	0x00AAE200	?R_PerformanceCounters@@YAXXZ	void __cdecl R_PerformanceCounters(void)	render.o
0x006BED10	0x00AAE210	?R_IssueRenderCommands@@YAXH@Z	void __cdecl R_IssueRenderCommands(int)	render.o
0x006BED20	0x00AAE220	?R_SyncRenderThread@@YAXXZ	void __cdecl R_SyncRenderThread(void)	render.o
0x006BED30	0x00AAE230	?R_AddDrawSurfCmd@@YAXPAUdrawSurf_s@@H@Z	void __cdecl R_AddDrawSurfCmd(struct drawSurf_s *,int)	render.o
0x006BED40	0x00AAE240	?RE_SetColor@@YAXPBM@Z	void __cdecl RE_SetColor(float const *)	render.o
0x006BEDB0	0x00AAE2B0	?RE_StretchPic@@YAXMMMMMMMMPAUnglTexture@@M@Z	void __cdecl RE_StretchPic(float,float,float,float,float,float,float,float,struct nglTexture *,float)	render.o
0x006BEE50	0x00AAE350	?RE_DrawQuadPic@@YAXPAY01$$CBM0PAUnglTexture@@@Z	void __cdecl RE_DrawQuadPic(float const (*)[2],float const (*)[2],struct nglTexture *)	render.o
0x006BEF40	0x00AAE440	?RE_BeginFrame@@YAXXZ	void __cdecl RE_BeginFrame(void)	render.o
0x006BF020	0x00AAE520	?RE_SaveScreen@@YAXXZ	void __cdecl RE_SaveScreen(void)	render.o
0x006BF030	0x00AAE530	?RE_TrackStatistics@@YAXPAUtrStatistics_t@@@Z	void __cdecl RE_TrackStatistics(struct trStatistics_t *)	render.o
0x006BF040	0x00AAE540	?R_ShutdownDebug@@YAXXZ	void __cdecl R_ShutdownDebug(void)	render.o
0x006BF060	0x00AAE560	?RE_LocateDebugStrings@@YAXPAUtrDebugString_t@@H@Z	void __cdecl RE_LocateDebugStrings(struct trDebugString_t *,int)	render.o
0x006BF080	0x00AAE580	?RE_LocateDebugLines@@YAXPAUtrDebugLine_t@@H@Z	void __cdecl RE_LocateDebugLines(struct trDebugLine_t *,int)	render.o
0x006BF330	0x00AAE830	?R_SetPlaneSidesDPVS@@YAXPAUdpvs_plane_t@@@Z	void __cdecl R_SetPlaneSidesDPVS(struct dpvs_plane_t *)	render.o
0x006BF380	0x00AAE880	?RE_GetFarPlaneDist@@YAMXZ	float __cdecl RE_GetFarPlaneDist(void)	render.o
0x006BF830	0x00AAED30	?R_AddModelToCell@@YAXPAVBspCell@@PAVtrRefEntity@@ABVVector4@math@@@Z	void __cdecl R_AddModelToCell(class BspCell *,class trRefEntity *,class math::Vector4 const &)	render.o
0x006BFB40	0x00AAF040	?RE_SetCullDist@@YAXM@Z	void __cdecl RE_SetCullDist(float)	render.o
0x006BFB70	0x00AAF070	?_codListAddMesh@@YAPAVnglMeshNode@@PAUnglMesh@@ABVMat43@math@@PAVnglMeshParams@@PAUnglShaderParamSet@@P6AXPAV1@@Z@Z	class nglMeshNode * __cdecl _codListAddMesh(struct nglMesh *,class math::Mat43 const &,class nglMeshParams *,struct nglShaderParamSet *,void (__cdecl*)(class nglMeshNode *))	render.o
